4f54772257ccd2e398b2f919a0e283191749e15d9fbc9a27823023453369777c,743999542de49e416c577ae8eda33c1a17095998df7ba105610a9ecf2a2cf473,62f3c22ab5f824a880ead972b8ccc9c4c49b3ba1804870de194061ce02aa8862,58bbee96690a5a3bf47dd2434c5522d3c096e4e07d1816ec120c20ec9daa177a,c9b297cd985035220e908ac66b8f1ff8fdab8adefe69ea4cda5ed180fdae835a,23c3a0b06a46c3f12e45596f8330a4647aacc095758175bb82887e1f660b2f33,8ddab78a050a65e444f40955012dc1ce7d2b151f2326417f2ca570cf17ca4234,e59e0a4a6ebb2a7c8d86020e79174d94d7f471b476e9e3924f4df165d957d336,61b94b4a059d765b84fd924e7577c1e93680145e75bc7693780d7fa1e334ce67,c9d1db61cc11d86e5865892a2b5afd6e4e3248f0b26bbfce06228f545af9b6ba,3ba09084b2cc9c1a82c721e7e896943799a9c405ac169d2cf3507f99602479bf,8d5713c9f2c315544ef852d71e601bb55758e5c0f1962f7cda52e407428c41ab,80dec0a764ad5dd7332a61215e82ae625d91cfc717fe9fe8ee1be8862b03d49e,fb21e8528d203644ff5d94574cbf8595bc5f0269367898b583f00e839c2f194f,1c8914a38c752c1e64ca93a08624f771116e120620aa7509957077ccc9e36771,1af449de5d67320f4f183e122275c290818339a761965c6395114b002918e56e,67f894a91efee4689c5d53101d0fa677cba81560f3c88e463f4bc7591e987039,63b0bff80e293a6f430672a249a9590b001a2ec742e509ac40d43eef999a8ad5
"0","12","5000","0","0","0","0","0","0","0","0","用空花大旋轉飛行共2000ｍ吧","0","0","1","2000","94002","0"
"0","12","10000","0","0","0","0","0","0","0","0","用空花大旋轉飛行共4000ｍ吧","0","0","2","4000","94002","0"
"0","12","15000","0","0","0","0","0","0","0","0","用空花大旋轉飛行共6000ｍ吧","0","0","3","6000","94002","0"
"0","12","20000","0","0","0","0","0","0","0","0","用空花大旋轉飛行共8000ｍ吧","0","0","4","8000","94002","0"
"23001","8","50","0","2","0","0","0","0","0","0","用空花大旋轉飛行共10000ｍ吧","0","5","5","10000","91002","0"
"0","12","25000","0","0","0","0","0","0","0","0","用空花大旋轉飛行共12000ｍ吧","0","0","6","12000","94002","0"
"0","12","30000","0","0","0","0","0","0","0","0","用空花大旋轉飛行共14000ｍ吧","0","0","7","14000","94002","0"
"0","12","35000","0","0","0","0","0","0","0","0","用空花大旋轉飛行共16000ｍ吧","0","0","8","16000","94002","0"
"0","12","40000","0","0","0","0","0","0","0","0","用空花大旋轉飛行共18000ｍ吧","0","0","9","18000","94002","0"
"23001","8","50","0","2","0","0","0","0","0","0","用空花大旋轉飛行共20000ｍ吧","0","5","10","20000","91002","0"
"0","12","55000","0","0","0","0","0","0","0","0","用空花大旋轉飛行共22000ｍ吧","0","0","11","22000","94002","0"
"0","12","35000","0","0","0","0","0","0","0","0","用空花大旋轉飛行共24000ｍ吧","0","0","12","24000","94002","0"
"0","12","40000","0","0","0","0","0","0","0","0","用空花大旋轉飛行共26000ｍ吧","0","0","13","26000","94002","0"
"0","12","45000","0","0","0","0","0","0","0","0","用空花大旋轉飛行共28000ｍ吧","0","0","14","28000","94002","0"
"91002","7","1","0","8","0","0","0","10","0","2","用空花大旋轉飛行共30000ｍ吧","0","150","15","30000","1405","23001"
