8c6bc6c4cbf084591d8c6ead3560f0f0754034cf641fad84483d40dcbc1d0f1e,d6c5ba4c170f9e33e67509d365b2bf429e5e8e9d71f0bd9c629e34eb0dcc2628,40390e5b5663322259d13a330f69d1a91ddf64814700175a212333b13db22362,f2a8653eaf24897315b2fd616583edadd3fb515f8c84d5aa2bf4ae0c4ee0cac3,1143b481d240c04a24e6046326838f23beeb603f926e30296094ef6d386e3814,b61cb1247afe2e49a9b94942d34f6c10e1914a7e4d6a7a0dda59d1c33f05dc1d,00d16db0da2c4abe9b5141a9919405c4e68637b4940fd92b6181203b723cecfc,13aeeb8f6bf9eb206c90814bd4364d2dab8f752f1e82afeede0788ce7a3db075
"101071","1","101101","101581","101431","101101","101281","100101"
"101101","2","102071","101581","102431","102101","102341","100101"
"102071","3","102101","102581","102432","103071","102342","100101"
"102101","4","103071","102582","103431","103101","103341","100101"
"103071","5","103101","103581","103432","103072","103342","100101"
"103552","6","103072","103582","103432","104101","103343","100101"
"103072","7","104101","103552","103583","104102","104341","100101"
"104551","8","104102","103553","104101","104103","104342","100101"
"104552","9","104103","104551","104102","104104","104343","100101"
"104553","10","104104","104552","104103","105101","104284","100101"
"105551","11","105101","104554","104344","105102","105341","100101"
"105552","12","105102","105551","105341","105103","105282","100101"
"105553","13","105103","105552","105342","105104","105343","100101"
"105554","14","105104","105553","105343","105105","105344","100101"
"105555","15","105105","105554","105344","105106","105285","100101"
"105556","16","105106","105555","105285","105107","105286","100101"
"105557","17","105107","105556","105286","106101","105287","100101"
"106551","18","106101","105557","105287","106102","106281","100101"
"106552","19","106102","106551","106281","106103","106282","100101"
"106553","20","106103","106552","106282","107101","106283","100101"
"107551","21","107101","106553","106283","107102","107281","100101"
"107552","22","107102","107551","107281","107103","107282","100101"
"107553","23","107103","107552","107282","108101","107283","100101"
"108551","24","108101","107553","107283","108102","108401","100101"
"108552","25","108102","108551","108401","108103","108312","100101"
"108553","26","108103","108552","108312","108104","108403","100101"
"108554","27","108104","108553","108403","109101","108494","100101"
"109551","28","109101","108554","108494","109102","109401","100101"
"109552","29","109102","109551","109401","109103","109282","100101"
"109553","30","109103","109552","109282","109104","109493","100101"
"109554","31","109104","109553","109493","10010032","109494","100101"
"10055032","32","10010032","109554","109494","10010033","10028032","100101"
"10055033","33","10010033","10055032","10028032","10010034","10028033","100101"
"10055034","34","10010034","10055033","10028033","999999","10028034","100101"
"101611","1","101251","101581","101521","101251","101371","100201"
"101611","2","102251","101611","102461","102252","102371","100201"
"102612","3","102252","102581","102521","103251","102372","100201"
"102613","4","103251","102614","103521","103252","103521","100201"
"103612","5","103252","103581","103461","103222","103371","100201"
"103613","6","103222","103613","103522","104251","103372","100201"
"103614","7","104251","103461","103614","104252","104371","100201"
"104611","8","104252","103614","104461","104253","104372","100201"
"104612","9","104253","104611","104522","104254","104523","100201"
"104613","10","104254","104612","104523","105251","104373","100201"
"105581","11","105251","104613","104373","105252","105371","100201"
"105582","12","105252","105581","105371","105253","105522","100201"
"105583","13","105253","105582","105372","105254","105462","100201"
"105584","14","105254","105583","105373","105255","105374","100201"
"105585","15","105255","105584","105374","105256","105463","100201"
"105586","16","105256","105585","105463","105257","105524","100201"
"105587","17","105257","105586","105524","106251","105464","100201"
"106581","18","106251","105587","105464","106252","106461","100201"
"106582","19","106252","106581","106461","106253","106521","100201"
"106583","20","106253","106582","106372","107251","106462","100201"
"107581","21","107251","106583","106462","107252","107461","100201"
"107582","22","107252","107581","107461","107253","107462","100201"
"107583","23","107253","107582","107462","108251","107463","100201"
"108581","24","108251","107583","107463","108252","108371","100201"
"108582","25","108252","108581","108371","108253","108372","100201"
"108583","26","108253","108582","108372","108254","108373","100201"
"108584","27","108254","108583","108373","109251","108374","100201"
"109581","28","109251","108584","108374","109252","109371","100201"
"109582","29","109252","109581","109371","109253","109372","100201"
"109583","30","109253","109582","109372","109254","109373","100201"
"109584","31","109254","109583","109373","10025032","109374","100201"
"10058032","32","10025032","109584","109374","10025033","10037032","100201"
"10058033","33","10025033","10058032","10037032","10025034","10037033","100201"
"10058034","34","10025034","10058033","10037033","999999","10037034","100201"
"101071","1","101011","101581","101401","101011","101281","100301"
"101071","2","102011","101551","102493","102014","102311","100301"
"102071","3","102014","102551","102401","103011","102282","100301"
"102582","4","103011","102552","103581","103012","103311","100301"
"103071","5","103012","103551","103401","103013","103282","100301"
"103552","6","103013","103552","103401","104011","103283","100301"
