e7444589d543c19707b89917abc737254f961729b1075dddb41072582e8da271,c5cf2d513540e8faf1030fb941f09467b3fcb1cea85d06c669c054e977f1d382,4cc9bce936ae8787e3a080fc744d5fb439125496590f2b707e68fc7719fd3152,4216f253e1fb17c94030dd7d5ba35c912e3296843922245767898ce34cc84ef6,66b4cb4e06d1b2ada5362a56388ed380cea81880fd3bb0bd945f7e43d4ad84c9,8d04e31a007fbebb3862334538aab109dae048dc82394bf27ec98589d287ae8f
"1","自動","1","1","","2019/02/15 15:00:00"
"2","預設","2","2","","2019/02/15 15:00:00"
"3","周年","3","3","","2020/08/03 16:00:00"
"4","粉紅色","4","1","","2020/04/20 12:00:00"
"5","紅色","5","1","","2020/04/20 12:00:00"
"6","黃色","6","1","","2020/04/20 12:00:00"
"7","綠色","7","1","","2020/04/20 12:00:00"
"8","淺藍色","8","1","","2020/04/20 12:00:00"
"9","藍色","9","1","","2020/04/20 12:00:00"
"10","紫色","10","1","","2020/04/20 12:00:00"
"11","灰色","11","1","","2020/04/20 12:00:00"
