829d636c8a3dc68c4aa2176ba4ab2142bb06e4b94709fa89f6283a14aeefe99c,231b7272b9fd34ff4a5ad2b31c7f369c502aa1cd0343b5fe9e487b00ae5a22e6,62617835e4d2007ff860ecfb34cb5074d2330a4c7b1f62277ecbed1f4030000e,f5f9cf7b2e03ff0c5ab316dc26ab862f5fdc5e8650a10eed01ca661975cb25f7,865c774c4ae1284104d1a69378a50ea49a3ec6cfaaf73312b23bd03b2fd518bb,a5d4b6f5ea4aeaa9c40d18caf3000d4b72c0e0c3fc5ae651a2e1d3c6e69522f9,e058d2abfbb1e9699cf15a85ef6c4da02a4b032e7a5068425fdca7848b26b5e2,2c7eaac3f003631237b4c9ff7b043b63f14f6cf88e67bde02bfe0ba099543d70,239c6818330949efb484953ed9ab3dd9d49e4e0123c570d0e766a3cc9ba98764
"0","1001","10000","100101","全難易度合計取得10000分","0","1001","100101","1"
"0","1001","30000","100102","全難易度合計取得30000分","0","1001","100102","1"
"0","1001","50000","100103","全難易度合計取得50000分","0","1001","100103","1"
"0","1001","70000","100104","全難易度合計取得70000分","0","1001","100104","1"
"1","1001","90000","100105","全難易度合計取得90000分","0","1001","100105","1"
"1","1001","105000","100106","全難易度合計取得105000分","0","1001","100106","1"
"1","1001","120000","100107","全難易度合計取得120000分","0","1001","100107","1"
"1","1001","135000","100108","全難易度合計取得135000分","0","1001","100108","1"
"2","1001","0","100109","在NORMAL1難易度戰鬥1次","1","1002","100109","1"
"2","1001","0","100110","在NORMAL2難易度戰鬥1次","1","1003","100110","1"
"2","1001","0","100111","在NORMAL3難易度戰鬥1次","1","1004","100111","1"
"3","1001","10000","100112","在NORMAL難易度取得10000分","1","1001","100112","1"
"3","1001","20000","100113","在NORMAL難易度取得20000分","1","1001","100113","1"
"3","1001","30000","100114","在NORMAL難易度取得30000分","1","1001","100114","1"
"4","1001","0","100115","在HARD1難易度戰鬥1次","2","1002","100115","1"
"4","1001","0","100116","在HARD2難易度戰鬥1次","2","1003","100116","1"
"4","1001","0","100117","在HARD3難易度戰鬥1次","2","1004","100117","1"
"5","1001","15000","100118","在HARD難易度取得15000分","2","1001","100118","1"
"5","1001","30000","100119","在HARD難易度取得30000分","2","1001","100119","1"
"5","1001","45000","100120","在HARD難易度取得45000分","2","1001","100120","1"
"6","1001","0","100121","在EXTRA1難易度戰鬥1次","3","1002","100121","1"
"6","1001","0","100122","在EXTRA2難易度戰鬥1次","3","1003","100122","1"
"6","1001","0","100123","在EXTRA3難易度戰鬥1次","3","1004","100123","1"
"7","1001","20000","100124","在EXTRA難易度取得20000分","3","1001","100124","1"
"7","1001","40000","100125","在EXTRA難易度取得40000分","3","1001","100125","1"
"7","1001","60000","100126","在EXTRA難易度取得60000分","3","1001","100126","1"
"0","1002","10000","100201","全難易度合計取得10000分","0","1001","100201","1"
"0","1002","30000","100202","全難易度合計取得30000分","0","1001","100202","1"
"0","1002","50000","100203","全難易度合計取得50000分","0","1001","100203","1"
"0","1002","70000","100204","全難易度合計取得70000分","0","1001","100204","1"
"1","1002","90000","100205","全難易度合計取得90000分","0","1001","100205","1"
"1","1002","105000","100206","全難易度合計取得105000分","0","1001","100206","1"
"1","1002","120000","100207","全難易度合計取得120000分","0","1001","100207","1"
"1","1002","135000","100208","全難易度合計取得135000分","0","1001","100208","1"
"2","1002","0","100209","在NORMAL1難易度戰鬥1次","1","1002","100209","1"
"2","1002","0","100210","在NORMAL2難易度戰鬥1次","1","1003","100210","1"
"2","1002","0","100211","在NORMAL3難易度戰鬥1次","1","1004","100211","1"
"3","1002","10000","100212","在NORMAL難易度取得10000分","1","1001","100212","1"
"3","1002","20000","100213","在NORMAL難易度取得20000分","1","1001","100213","1"
"3","1002","30000","100214","在NORMAL難易度取得30000分","1","1001","100214","1"
"4","1002","0","100215","在HARD1難易度戰鬥1次","2","1002","100215","1"
"4","1002","0","100216","在HARD2難易度戰鬥1次","2","1003","100216","1"
"4","1002","0","100217","在HARD3難易度戰鬥1次","2","1004","100217","1"
"5","1002","15000","100218","在HARD難易度取得15000分","2","1001","100218","1"
"5","1002","30000","100219","在HARD難易度取得30000分","2","1001","100219","1"
"5","1002","45000","100220","在HARD難易度取得45000分","2","1001","100220","1"
"6","1002","0","100221","在EXTRA1難易度戰鬥1次","3","1002","100221","1"
"6","1002","0","100222","在EXTRA2難易度戰鬥1次","3","1003","100222","1"
"6","1002","0","100223","在EXTRA3難易度戰鬥1次","3","1004","100223","1"
"7","1002","20000","100224","在EXTRA難易度取得20000分","3","1001","100224","1"
"7","1002","40000","100225","在EXTRA難易度取得40000分","3","1001","100225","1"
"7","1002","60000","100226","在EXTRA難易度取得60000分","3","1001","100226","1"
"0","1003","10000","100301","全難易度合計取得10000分","0","1001","100301","1"
"0","1003","30000","100302","全難易度合計取得30000分","0","1001","100302","1"
"0","1003","50000","100303","全難易度合計取得50000分","0","1001","100303","1"
"0","1003","70000","100304","全難易度合計取得70000分","0","1001","100304","1"
"1","1003","90000","100305","全難易度合計取得90000分","0","1001","100305","1"
"1","1003","105000","100306","全難易度合計取得105000分","0","1001","100306","1"
"1","1003","120000","100307","全難易度合計取得120000分","0","1001","100307","1"
"1","1003","135000","100308","全難易度合計取得135000分","0","1001","100308","1"
"2","1003","0","100309","在NORMAL1難易度戰鬥1次","1","1002","100309","1"
"2","1003","0","100310","在NORMAL2難易度戰鬥1次","1","1003","100310","1"
"2","1003","0","100311","在NORMAL3難易度戰鬥1次","1","1004","100311","1"
"3","1003","10000","100312","在NORMAL難易度取得10000分","1","1001","100312","1"
"3","1003","20000","100313","在NORMAL難易度取得20000分","1","1001","100313","1"
"3","1003","30000","100314","在NORMAL難易度取得30000分","1","1001","100314","1"
"4","1003","0","100315","在HARD1難易度戰鬥1次","2","1002","100315","1"
"4","1003","0","100316","在HARD2難易度戰鬥1次","2","1003","100316","1"
