931a8f6715206aac6951d56a8f4bd9db93f3627681ea87570702f988349dac35,fe287427d9edc1787bb4757f2b34200a9468b364e0de5556683b593bbda8f604,92694169b1f4d8bf51c55b7dc6672e92395e5d4a11b8b6dcebcc1d22a35e5fe0,350bffd24091e66e691bf3e3855d08beccb8611ab0cb1c809c6cd3cdf6e9cd27,6655bb5a3c5d054598bd60640788ddbe718310b4c1d44e357012dfc97aa0d5e0,5bfffb98a4cbf7ecfc7c9689708a7f797a717d194eb0b096260d1b5031207dfb,6e3229eeb663300bd9f50384a438b74a130f6abd2bc7d48d197f6c769724a07e,a39d1447ceed0fe692d1ecc549514336c0a6f6ed52507d103f933a8e4507a004,276bcc25d5746ddfec8321217a9335011e19ceba70eb1b4add09094632e4943c
"1001","達成公主騎士RANK 5","129","1","1001","5","1002","0","20021"
"1002","達成公主騎士RANK 10","129","1","1002","10","1002","0","20021"
"1003","達成公主騎士RANK 30","129","1","1003","30","1002","0","20021"
"1004","達成公主騎士RANK 50","129","1","1004","50","1002","0","20021"
"1005","達成公主騎士RANK 100","129","1","1005","100","1002","0","20021"
"1006","達成公主騎士RANK 150","129","1","1006","150","1002","0","20021"
"1007","達成公主騎士RANK 200","129","1","1007","200","1002","0","20021"
"1007","達成公主騎士RANK250","129","1","1008","250","1002","0","20021"
"1007","達成公主騎士RANK300","129","1","1009","300","1002","0","20021"
"1007","達成公主騎士RANK450","129","1","1010","450","1002","0","20021"
"1007","達成公主騎士RANK520","129","1","1011","520","1002","0","20021"
"1007","達成公主騎士RANK620","129","1","1012","620","1002","0","20021"
"2001","讓火屬性的屬性等級提升到50","129","2","2001","50","1003","1","20022"
"2002","讓火屬性的屬性等級提升到100","129","2","2002","100","1003","1","20022"
"2003","讓火屬性的屬性等級提升到150","129","2","2003","150","1003","1","20022"
"2004","讓火屬性的屬性等級提升到200","129","2","2004","200","1003","1","20022"
"2005","讓火屬性的屬性等級提升到250","129","2","2005","250","1003","1","20022"
"2006","讓火屬性的屬性等級提升到300","129","2","2006","300","1003","1","20022"
"2007","讓火屬性的屬性等級提升到350","129","2","2007","350","1003","1","20022"
"2008","讓火屬性的屬性等級提升到400","129","2","2008","400","1003","1","20022"
"2009","讓火屬性的屬性等級提升到450","129","2","2009","450","1003","1","20022"
"2010","讓火屬性的屬性等級提升到500","129","2","2010","500","1003","1","20022"
"2011","讓火屬性的屬性等級提升到550","129","2","2011","550","1003","1","20022"
"2012","讓火屬性的屬性等級提升到600","129","2","2012","600","1003","1","20022"
"2013","讓火屬性的屬性等級提升到650","129","2","2013","650","1003","1","20022"
"2014","讓火屬性的屬性等級提升到700","129","2","2014","700","1003","1","20022"
"2015","讓火屬性的屬性等級提升到750","129","2","2015","750","1003","1","20022"
"2015","讓火屬性的屬性等級提升到800","129","2","2016","800","1003","1","20022"
"2015","讓火屬性的屬性等級提升到900","129","2","2017","900","1003","1","20022"
"2015","讓火屬性的屬性等級提升到1000","129","2","2018","1000","1003","1","20022"
"2015","讓火屬性的屬性等級提升到1100","129","2","2019","1100","1003","1","20022"
"2015","讓火屬性的屬性等級提升到1200","129","2","2020","1200","1003","1","20022"
"2015","讓火屬性的屬性等級提升到1250","129","2","2021","1250","1003","1","20022"
"2001","讓水屬性的屬性等級提升到50","129","3","3001","50","1003","2","20022"
"2002","讓水屬性的屬性等級提升到100","129","3","3002","100","1003","2","20022"
"2003","讓水屬性的屬性等級提升到150","129","3","3003","150","1003","2","20022"
"2004","讓水屬性的屬性等級提升到200","129","3","3004","200","1003","2","20022"
"2005","讓水屬性的屬性等級提升到250","129","3","3005","250","1003","2","20022"
