718eb6db3f028af318c2a1a7f9c8c2a204644d8c040f7d60da0a34816f4e69da,913546aa970bca83b8e2dfd1911a55eca81c63ee26bf871874b66f378e0c8e40,788387918dcb0321b6e2875e0744d2522d53091594b69626a3b5802db5f01cf1,f28fe90552b6cfd075bcfdff8bade7fc93ccc870f9b041db95f7de4b34e0b7aa,94adb50f770c80bf4a4ccee5ee709442316d5e41e8a6e619559fd9936b030777,454774f20723229dc03470e1909a3ca9ad5c9024e296f927368312ed84678376,febef8bfd5436e916cffe2369723914ed2d74887ea9f0e8e61639d25a3623390,9dc69c52a799b2fd6f2e1a1be0599691664e7b5f35dbbcfb063f0b0c326bfd1b,4c0fd99c7325bcc207a1e1d7b4a3e814af05135a5a17e49397ffd1f9938b7cb7,2eb67b1859814554ced6e095f5d127995b144833baa5b938a7ee7ee1d33f3fec,c0868522d3b1439dc9a7f819f0abf281c72b171dc68b1d09d75786a0cdcef007
"2","1","8","25021","8","31","283001001","91002","10","2","25013"
"2","2","8","25021","8","31","283001002","91002","10","2","25013"
"2","3","8","25021","8","32","283001003","91002","10","2","25013"
"2","4","8","25021","8","32","283001004","91002","10","2","25013"
"2","5","8","25021","8","33","283001005","91002","10","2","25013"
"2","6","9","25021","8","33","283001006","91002","10","2","25013"
"2","7","9","25021","8","34","283001007","91002","10","2","25013"
"2","8","9","25021","8","35","283001008","91002","10","2","25013"
"2","9","9","25021","8","35","283001009","91002","10","2","25013"
"2","10","10","25021","8","37","283001010","91002","30","2","25013"
"2","11","10","25021","8","41","283001011","91002","10","2","25013"
"2","12","11","25021","8","43","283001012","91002","10","2","25013"
"2","13","11","25021","8","46","283001013","91002","10","2","25013"
"2","14","12","25021","8","48","283001014","91002","10","2","25013"
"2","15","12","25021","8","50","283001015","91002","10","2","25013"
"2","16","13","25021","8","53","283001016","91002","10","2","25013"
"2","17","14","25021","8","55","283001017","91002","10","2","25013"
"2","18","14","25021","8","58","283001018","91002","10","2","25013"
"2","19","15","25021","8","60","283001019","91002","10","2","25013"
"2","20","15","25021","8","62","283001020","91002","30","2","25013"
"2","21","16","25021","8","68","283001021","91002","10","2","25013"
"2","22","16","25021","8","70","283001022","91002","10","2","25013"
"2","23","16","25021","8","72","283001023","91002","10","2","25013"
"2","24","17","25021","8","75","283001024","91002","10","2","25013"
"2","25","18","25021","8","77","283001025","91002","10","2","25013"
"2","26","18","25021","8","79","283001026","91002","10","2","25013"
"2","27","19","25021","8","82","283001027","91002","10","2","25013"
"2","28","19","25021","8","84","283001028","91002","10","2","25013"
"2","29","19","25021","8","86","283001029","91002","10","2","25013"
"2","30","20","25021","8","89","283001030","91002","30","2","25013"
"2","31","20","25021","8","94","283001031","91002","10","2","25013"
"2","32","21","25021","8","96","283001032","91002","10","2","25013"
"2","33","21","25021","8","99","283001033","91002","10","2","25013"
"2","34","22","25021","8","101","283001034","91002","10","2","25013"
"2","35","22","25021","8","103","283001035","91002","10","2","25013"
"2","36","23","25021","8","106","283001036","91002","10","2","25013"
"2","37","23","25021","8","108","283001037","91002","10","2","25013"
"2","38","24","25021","8","111","283001038","91002","10","2","25013"
"2","39","25","25021","8","113","283001039","91002","10","2","25013"
"2","40","25","25021","8","115","283001040","91002","30","2","25013"
"2","41","26","25021","8","121","283001041","91002","10","2","25013"
"2","42","27","25021","8","123","283001042","91002","10","2","25013"
"2","43","28","25021","8","125","283001043","91002","10","2","25013"
"2","44","28","25021","8","128","283001044","91002","10","2","25013"
"2","45","29","25021","8","130","283001045","91002","10","2","25013"
"2","46","30","25021","8","132","283001046","91002","10","2","25013"
"2","47","30","25021","8","135","283001047","91002","10","2","25013"
"2","48","31","25021","8","137","283001048","91002","10","2","25013"
"2","49","31","25021","8","139","283001049","91002","10","2","25013"
"2","50","31","25021","8","142","283001050","91002","30","2","25013"
"2","51","32","25021","8","144","283001051","91002","10","2","25013"
"2","52","32","25021","8","146","283001052","91002","10","2","25013"
"2","53","32","25021","8","149","283001053","91002","10","2","25013"
"2","54","33","25021","8","152","283001054","91002","10","2","25013"
"2","55","33","25021","8","155","283001055","91002","10","2","25013"
"2","56","33","25021","8","157","283001056","91002","10","2","25013"
"2","57","34","25021","8","160","283001057","91002","10","2","25013"
"2","58","34","25021","8","163","283001058","91002","10","2","25013"
"2","59","34","25021","8","166","283001059","91002","10","2","25013"
"2","60","35","25021","8","169","283001060","91002","30","2","25013"
"2","61","35","25021","8","171","283001061","91002","10","2","25013"
"2","62","35","25021","8","174","283001062","91002","10","2","25013"
"2","63","36","25021","8","177","283001063","91002","10","2","25013"
"2","64","36","25021","8","180","283001064","91002","10","2","25013"
"2","65","36","25021","8","182","283001065","91002","10","2","25013"
"2","66","37","25021","8","185","283001066","91002","10","2","25013"
"2","67","37","25021","8","187","283001067","91002","10","2","25013"
"2","68","37","25021","8","190","283001068","91002","10","2","25013"
"2","69","38","25021","8","193","283001069","91002","10","2","25013"
"2","70","38","25021","8","196","283001070","91002","30","2","25013"
"2","71","39","25021","8","200","283001071","91002","10","2","25013"
"2","72","39","25021","8","204","283001072","91002","10","2","25013"
"2","73","40","25021","8","208","283001073","91002","10","2","25013"
"2","74","40","25021","8","212","283001074","91002","10","2","25013"
"2","75","41","25021","8","216","283001075","91002","10","2","25013"
"2","76","41","25021","8","220","283001076","91002","10","2","25013"
"2","77","42","25021","8","224","283001077","91002","10","2","25013"
"2","78","42","25021","8","228","283001078","91002","10","2","25013"
"2","79","43","25021","8","232","283001079","91002","10","2","25013"
"2","80","43","25021","8","236","283001080","91002","30","2","25013"
