b9a8b7f4fd8ae4f1e83af9be586b9d1823baacbec9dd706c751936a3f4f6372d,5aad868396786a9ed2e038dc02ce0f90023d3b7c02a354aeeaa1128e317c833a,28d52f62c7788274d87b33387917397e63f5bde214291015e83202eb95f823c1,1d41d3bb6c1ccda62a8d30f3ba01aa760fc1a8d2d5a8bd16ea053be4a2b9d151,9b09fcbbe455c5d33f0168bc23559619e6ac7ee9d179175d9eadc952bbf8deea,44e53cb17cbdd12800f8ff7b9c4b53880ec6cf09d95f610a0f0a407f27d9304c,5dd7c3c70b4632d94a7397b00393816bc50f9efe57cfce804d6ae9a3726544f5
"1","91002","2500","獲得累積分數2500分","101","10","8"
"1","91002","5000","獲得累積分數5000分","102","10","8"
"1","91002","10000","獲得累積分數10000分","103","10","8"
"1","91002","12500","獲得累積分數12500分","104","10","8"
"1","91002","15000","獲得累積分數15000分","105","10","8"
"1","91002","20000","獲得累積分數20000分","106","10","8"
"1","91002","25000","獲得累積分數25000分","107","10","8"
"1","91002","30000","獲得累積分數30000分","108","10","8"
"1","91002","35000","取得累積分數35000分","109","10","8"
"1","91002","40000","取得累積分數40000分","110","10","8"
"1","91002","45000","取得累積分數45000分","111","10","8"
"1","11001302","50000","取得累積分數50000分","112","1","15"
"2","91002","2500","獲得累積分數2500分","201","10","8"
"2","91002","5000","獲得累積分數5000分","202","10","8"
"2","91002","10000","獲得累積分數10000分","203","10","8"
"2","91002","12500","獲得累積分數12500分","204","10","8"
"2","91002","15000","獲得累積分數15000分","205","10","8"
"2","91002","20000","獲得累積分數20000分","206","10","8"
"2","91002","25000","獲得累積分數25000分","207","10","8"
"2","91002","30000","獲得累積分數30000分","208","10","8"
"2","91002","35000","取得累積分數35000分","209","10","8"
"2","91002","40000","取得累積分數40000分","210","10","8"
"2","91002","45000","取得累積分數45000分","211","10","8"
"2","11001303","50000","取得累積分數50000分","212","1","15"
