9795ccd1bedb8d8c2dc68780453451a4ec02003224aec1f788d8391a50bbd855,5c3b7fba4c8bfea396aa7de1c8811da2bfcb6c31a95bfe40a9d9a7d45fcff358,1e6f98660aff3efc38151ddbdf96735f5d54470317b113b3e1cb01c35bbe9788,787ce7a50338202b7257f827fef369f532df30735c63cb6ed0729520a64dc937,d7009b3ab56bf749208b36c911700fe989aaf2b7d6eee861d7e1d32b89438457,d4706bd0a7c0ccac688108dc08ff1509378566ca7022ea42fe81bc94aa6db628,723b15dd0c3e0b29a80d902ae4a675ab59b48f75771dd1da6e9cd222b3ba711e,aefd0c1ab2efe034c1dd9e3009e3e050e08cea8278dbffb6285a444a5bbe14d8,b4e5dd52a4c597818544c2499a631c4fb692f1a569c1e2f612174e238cee4406,933969fea7e28ab3b47526a8c2281a6ccd2211649959e4da58860f1119440b08,799dd79512bb0623b03c06364fb41d04e95c800b5d1c1f61af14ad8affb9873e
"110311","110","-280","1","1.55","382","idle_normal","61001","5152061","1","1"
"131911","106","-210","0","1.55","145","idle_normal","61002","5152061","1","1"
"102311","107","-225","0","1.55","-50","joy_idle_normal","61003","5152061","1","1"
"102111","108","-240","0","1.55","-245","wish_idle","61004","5152061","1","1"
"107711","109","-255","0","1.55","-440","idle_normal","61005","5152061","1","1"
"122811","103","-105","0","1.45","40","doya_idle","61006","5152061","1","1"
"122911","104","-120","0","1.45","-160","idle_normal","61007","5152061","1","1"
"122711","105","-135","0","1.45","-355","idle_normal","61008","5152061","1","1"
"210","","","","","","","61009","5152061","13","110311"
"206","","","","","","","61010","5152061","13","131911"
"209","","","","","","","61011","5152061","13","107711"
"205","","","","","","","61012","5152061","13","122711"
"203","","","","","","","61013","5152061","13","122811"
"204","","","","","","","61014","5152061","13","122911"
"208","","","","","","","61015","5152061","13","102111"
"207","","","","","","","61016","5152061","13","102311"
"2","210","160","0","0.75","-110","empty","61017","5152061","5","2"
"3","210","-45","0","1","352","empty","61018","5152061","5","3"
"1","0","1","","1","0","","61019","5152061","31","1"
"2","0","1","","0","0","","61020","5152061","31","2"
"3","0","1","","1","0","","61021","5152061","31","3"
"11","0","1","","0","0","","61022","5152061","31","11"
"0","","","","","","","61023","5152061","91","0"
"telop_1","","","","","","","61024","5152061","37","3"
"0","0","","","","","","61025","5152061","102","0"
"0","","","","","","","61026","5152061","93","1"
"callout_in","0","1","0","0.2","callout_loop","","61027","5152061","3","110311"
"0","","","","","","","61028","5152061","93","0.1"
"vo_rag_6001","0","","","","0","","61029","5152061","21","vo_rag"
"1001_in","0","","","0","","","61030","5152061","3","3"
"1","","","","","","","61031","5152061","93","1.9"
"1001_mid","0","","","0","","","61032","5152061","3","3"
"","","","","","","","61033","5152061","92",""
"1001_out","0","","","0","","","61034","5152061","3","3"
