63b3ceafed5ce6a6a7ebd91e0d021958f1fadebff666ace6928594324a9396a1,2b35452b4d741963efc160a4e5f27b94b0df9ee011c9e028161bd23d83124d4e,9665d1ac97be82f6e6d08b2a3b1dd9e63a244d438ad79cd44e592f4a43cc474a,676c86b751707dd43e15af0e333bb9f098c53dcb174bf2473b4c532462882566,67589063100851098e28a2cd9afea259ae58f16865123047279eac4e2019716b,b653398910dc9b7bdbc7744ec73740731db19bd63a30fa6e2d30e24aa0a98585,d98dec4c89e332d2166d5fe5b2590acb0a64ae64a026694b118b400b16ca2fc9,23a04953d0f38b48526fbcee3083bfdc74b6bf7019360c6a4e7b8f1790e7829a,59bb25d0d2386a701d57fc63a7d816b6345634a961106bb12d07ad6b9f998a33,06ed5ef0b0e163faced0984c8894cd14b886d7fe15dd6c387f774fef4e7bf3df,15197b43053728cc56375da4180e4449c69dea4c58cc3d026764e46ded7e11ef
"1001","100701","0","0","0","0","0","0","0","0","0"
"1010","100301","0","0","0","0","0","0","0","0","0"
"1011","105201","0","0","0","0","0","0","0","0","0"
"1012","104601","0","0","0","0","0","0","0","0","0"
"1013","101301","0","0","0","0","0","0","0","0","0"
"1014","111001","0","0","0","0","0","0","0","0","0"
"1015","101801","0","0","0","0","0","0","0","0","0"
"1016","102001","0","0","0","0","0","0","0","0","0"
"1017","103001","0","0","0","0","0","0","0","0","0"
"1018","102801","0","0","0","0","0","0","0","0","0"
"1019","103301","0","0","0","0","0","0","0","0","0"
"1020","103601","0","0","0","0","0","0","0","0","0"
"1021","102301","0","0","0","0","0","0","0","0","0"
"1022","106101","0","0","0","0","0","0","0","0","0"
"1023","110901","0","0","0","0","0","0","0","0","0"
"1096","100101","0","0","0","0","0","0","0","0","0"
"1099","101201","0","0","0","0","0","0","0","0","0"
"1100","106501","0","0","0","0","0","0","0","0","0"
"1101","101601","0","0","0","0","0","0","0","0","0"
"1140","107101","0","0","0","0","0","0","0","0","0"
"1164","107001","0","0","0","0","0","0","0","0","0"
"1166","102801","0","0","0","0","0","0","0","0","0"
"1171","105901","0","0","0","0","0","0","0","0","0"
"1174","105701","0","0","0","0","0","0","0","0","0"
"1175","100601","0","0","0","0","0","0","0","0","0"
"1210","104301","0","0","0","0","0","0","0","0","0"
"1214","102801","0","0","0","0","0","0","0","0","0"
"1218","100701","0","0","0","0","0","0","0","0","0"
"1221","106801","0","0","0","0","0","0","0","0","0"
"1223","101001","0","0","0","0","0","0","0","0","0"
"1225","106001","0","0","0","0","0","0","0","0","0"
"1231","103801","0","0","0","0","0","0","0","0","0"
"1232","100701","0","0","0","0","0","0","0","0","0"
"1233","104901","0","0","0","0","0","0","0","0","0"
"1239","107001","0","0","0","0","0","0","0","0","0"
"1240","100801","0","0","0","0","0","0","0","0","0"
"1246","101601","0","0","0","0","0","0","0","0","0"
"1255","101301","0","0","0","0","0","0","0","0","0"
"1261","102001","0","0","0","0","0","0","0","0","0"
"1262","104301","0","0","0","0","0","0","0","0","0"
"1263","101101","0","0","0","0","0","0","0","0","0"
"1264","100801","0","0","0","0","0","0","0","0","0"
"1265","101701","0","0","0","0","0","0","0","0","0"
"1266","106001","0","0","0","0","0","0","0","0","0"
"1267","105301","0","0","0","0","0","0","0","0","0"
"2088","101001","0","0","0","0","0","0","0","0","0"
"2089","110901","0","0","0","0","0","0","0","0","0"
"2091","110901","0","0","0","0","0","0","0","0","0"
"2128","101201","103801","0","0","0","0","0","0","0","0"
"2129","105801","106001","105901","0","0","0","0","0","0","0"
"2130","104701","107101","103701","100501","0","0","0","0","0","0"
"2135","101401","104301","0","0","0","0","0","0","0","0"
"2137","103001","100801","104501","105501","105301","0","0","0","0","0"
"2139","101601","101801","105001","0","0","0","0","0","0","0"
"2143","104401","102901","107101","0","0","0","0","0","0","0"
"2148","101101","106601","100101","106701","0","0","0","0","0","0"
"2149","102201","100601","0","0","0","0","0","0","0","0"
"2151","105301","103701","103801","101401","0","0","0","0","0","0"
"2154","102801","103201","0","0","0","0","0","0","0","0"
"2157","105201","101001","103301","0","0","0","0","0","0","0"
"2162","104901","102701","0","0","0","0","0","0","0","0"
"2163","104001","111001","110901","110801","0","0","0","0","0","0"
"2164","104401","101001","101701","0","0","0","0","0","0","0"
"2167","101701","103001","101601","0","0","0","0","0","0","0"
"2169","105801","105901","106001","102501","0","0","0","0","0","0"
"2229","104301","101001","101401","101701","0","0","0","0","0","0"
"2230","106001","0","0","0","0","0","0","0","0","0"
"2231","102801","102301","102101","102501","0","0","0","0","0","0"
"2248","101601","0","0","0","0","0","0","0","0","0"
"2279","100401","102001","103601","0","0","0","0","0","0","0"
"2280","105301","103701","103801","101401","0","0","0","0","0","0"
"2281","104901","101801","104501","0","0","0","0","0","0","0"
"2282","106701","106501","106601","0","0","0","0","0","0","0"
"2283","104701","107101","103701","100501","0","0","0","0","0","0"
"2284","102301","102101","104201","0","0","0","0","0","0","0"
"2285","104801","103201","104601","0","0","0","0","0","0","0"
"2287","104001","0","0","0","0","0","0","0","0","0"
"2288","103601","0","0","0","0","0","0","0","0","0"
"2289","102101","0","0","0","0","0","0","0","0","0"
"2290","102101","0","0","0","0","0","0","0","0","0"
"3002","100901","0","0","0","0","0","0","0","0","0"
