4e737144808ae0ddb03bf6290dcb2177d12f151b452230b476809250236f1522,29246c71fe7c0def2f925639fc388178d6602698619ff0c2d1d4878e3afa4cbf,c70dd7bc343adfa778e9fbcf277a85e2459511b0b222ca01690c6deb1cb6296c,8e2758145e8798e7bb31bbd56ba7ac738d8c85db386779fd2574b3e9199d2f9e,5e95fc0774adeebdd72c7da1288d8417d71134cd70331c3a06a7b6fb090c3a31,84c9d4f0f39f81c5d9a4de0db492b0894c9b3787cf92622522c0cc8f462bb263,9e862d494600d614dffa6047f6280d8acdbf4020601172b8170c6a3f30f42aca,1749ebb008b23323498cd3e82f3c00353337dca13d2e4d96c3c55fe5f652dfbe,08e812d358d2594fbbcf15a21d58792f0db82b32f96673093b5387ac6a4b6dba,fccddd7135081c12eecbf10435be9783335f70b1c48253f436284b4f6a86f6c2,0267260be9cd1990ebdd41747cfc545637e1e53b69a0ed0cbaf8ae5e6f42f13a,4944fecbde7c66fb12e264abee947beb25076866237c2bd41f32c72faa38c650,9e065837094f7aa3bc1c9835122e08f214fba694a24a9919d1598f06db54a296,a25c09a15a686ff56024095efe3a9732ad4d442d7a51181f1299474d164cd2ad,a3837bd56bf16b127fa558e5d7d02869c4e0f98d999ffc029938c9ce9a24d2cb,a6b7b0b510b945e29ef6d86a9442ae4aca3f1f9f0b1165b0154b20d80d209265,7aed92967e5801e59eedc6b80de6e393e48aea25824b461ea38dacefcef8864d,64114d45fcddae8ec39cda1c21ff24d603c003111d1f12704a2a652a397d52cb,8c62e2ee1dd6ee0aee6e0c45b1a78cacf3c4614b95fabaa075c74b7dcc269d13
"94002","2","0","0","0","0","0","0","1","10000","0","幫忙靜流時獲得 10000pt","0","0","0","0","5000","0","12"
"94002","2","0","0","0","0","0","0","2","20000","0","幫忙靜流時獲得 20000pt","0","0","0","0","10000","0","12"
"91002","2","0","0","0","2","0","23001","3","30000","0","幫忙靜流時獲得 30000pt","0","0","5","0","50","0","8"
"94002","1","0","0","0","0","0","0","4","10000","0","幫忙惠理子時獲得 10000pt","0","0","0","0","5000","0","12"
"94002","1","0","0","0","0","0","0","5","20000","0","幫忙惠理子時獲得 20000pt","0","0","0","0","10000","0","12"
"91002","1","0","0","0","2","0","23001","6","30000","0","幫忙惠理子時獲得 30000pt","0","0","5","0","50","0","8"
"94002","0","0","0","0","0","0","0","7","70000","0","幫忙兩人合計獲得 70000pt","0","0","0","0","15000","0","12"
"94002","0","0","0","0","0","0","0","8","80000","0","幫忙兩人合計獲得 80000pt","0","0","0","0","20000","0","12"
"94002","0","0","0","0","0","0","0","9","90000","0","幫忙兩人合計獲得 90000pt","0","0","0","0","25000","0","12"
"94002","0","0","0","0","0","0","0","10","100000","0","幫忙兩人合計獲得 100000pt","0","0","0","0","30000","0","12"
"94002","0","0","0","0","0","0","0","11","110000","0","幫忙兩人合計獲得 110000pt","0","0","0","0","35000","0","12"
"94002","0","0","0","0","0","0","0","12","120000","0","幫忙兩人合計獲得 120000pt","0","0","0","0","40000","0","12"
"94002","0","0","0","0","0","0","0","13","130000","0","幫忙兩人合計獲得 130000pt","0","0","0","0","45000","0","12"
"94002","0","0","0","0","0","0","0","14","150000","0","幫忙兩人合計獲得 150000pt","0","0","0","0","50000","0","12"
"1113","0","10","0","0","8","0","91002","15","200000","2","幫忙兩人合計獲得 200000pt","0","0","150","0","1","23001","7"
