d2a4097d9665f8d601ef236173eff63520fbfb9cdd093a82f95267f65d04d263,58c251fa72268b42853afca7c60dbe166d60d14467dd45e8a0249b84e85107be,1d44167e55fd32f6dc65fe9c1d9a41159a2123c565c19d707dcb73bc22837c36
"1","101","1"
"2","103","1"
"3","105","1"
"4","101","2"
"5","102","2"
"6","103","2"
"7","105","2"
"8","101","3"
"9","102","3"
"10","103","3"
"11","101","4"
"12","103","4"
"13","104","4"
"14","105","4"
"15","103","5"
"16","104","5"
"17","105","5"
"18","102","6"
"19","104","6"
"20","106","6"
"21","101","7"
"22","102","7"
"23","106","7"
"24","102","8"
"25","103","8"
"26","106","8"
"27","103","9"
"28","104","9"
"29","105","9"
"30","101","10"
"31","103","10"
"32","105","10"
"33","107","11"
"34","108","11"
