33cdb6ba4b4d9b74c787e47678bea752ca0343406c636a1efe4d6c1d9b60e7ea,8a31f34ee69db5b48f795168038951414ae4d35d3da8fae00e9ac25881661909,c1ea941d042fc48af609f57ab463bd35164ce64566e238741c9e345053999f71,2c77fe3b22aa7e1aad873736112d616a75bc871e1823a2e6c9f17f0698da3254,b28c9de1042110556f9c898e20e23a10574574ee490984c3b756bbeb710c8303,8d108fad431da4f5ba2f4242506a4680fad90e172b9fbc1fa5cf624f8992a4e1,df338c023f5695b3f049c979847d975053e58e1c3e6bf4c8c57d004267df5834,c64e1c9c92c2f9763ab7303e10334056981d76d1dea249108dd7705b67e7963f
"塔爾格姆地區","10001","10001","bgm_M32","10001101","10001","bgm_M32","10001101"
"馬席納地區","10002","10002","bgm_M98","10002101","10002","bgm_M98_2","10002101"
"蘭德索爾郊外","10003","10003","bgm_M106","10003101","10003","bgm_M106","10003101"
"塔帕斯海灘 周邊","10004","10004","bgm_M112","10004101","10004","bgm_M112","10004101"
"伊爾席翁的孤島","10005","10005","bgm_M121","10005101","10005","bgm_M121","10005101"
"王城蘭德索爾","10006","10006","bgm_M128","10006101","10006","bgm_M128","10006101"
"蘭德索爾近郊","10007","10007","bgm_M135","10007101","10007","bgm_M135","10007101"
"蘭德索爾近郊","10008","10008","bgm_M121","10008101","10008","bgm_M121","10008101"
"聖誕節","10009","10009","bgm_M171","10009101","10009","bgm_M171","10009101"
"往神殿的參道","10010","10010","bgm_M121","10010101","10010","bgm_M121","10010101"
"情人節","10011","10011","bgm_M189","10011101","10011","bgm_M189","10011101"
"王城蘭德索爾","10012","10012","bgm_M206","10012101","10012","bgm_M206","10012101"
"馬納歷亞","10013","10013","bgm_M215","10013101","10013","bgm_M215","10013101"
"塔爾格姆地區","10014","10014","bgm_M32","10014101","10014","bgm_M32","10014101"
"大江戶大街","10015","10015","bgm_M189","10015101","10015","bgm_M189","10015101"
