ab988b3e7782e33a91f6fabb61629b7105b70e3f403c6da66aae48a9bc23f245,c4c56180e5417e2d196fcf3f9d45dcea0cadb508277b8123fac32a068bc48fa8,553cb05cb781cc1e94a87b5cf8723aca656b93ca324503674619aab382e35b22,70de9088b87232839cf5791e18748d8b4c0c432c7c531ef3cb3548392067d1be,c3e9f2e7a08206f21c181279f14b5f7d804c15528941b26511a5eac50098ed34,b4323a442b4013578627cf53f7f8be8a8ce97656a62a4bac52d9c65d2daaefd4,33090e459c1efb16279320345a12db09b91ceaf579bbbfdf8c081a4cd524a83f,ee394152238efc78327918a25eb9d5b3d5c924d677012a514d5bea088b2eff2c,5da3f86cb287af442b4fcca7f1a148507246a1a247732850602c2a46a584b20e,817d69fb0bd9a76b05dae6bc61bdded0bfbaab1242763df3bf882e6b97a1806e,fcdf4ec59b4fe884b70dd6c7cbf533908aa358839188501c11230d9caba7cf0f
"-165","-345","5","10","2","1010801","1","1010801001","0","70","dsb_idle_normal"
"165","-345","5","4","2","1010801","2","1010801002","1","70","dsb_idle_worry"
"-215","-350","5","10","2","1010801","99","1010801003","0","70","dsb_lago"
"0","1","31","1","1","1010801","1","1010801004","","0",""
"0","1","31","3","1","1010801","3","1010801005","","0",""
"0","1","31","4","1","1010801","4","1010801006","","0",""
"0","1","31","14","1","1010801","10","1010801007","","0",""
"0","1","31","24","1","1010801","20","1010801008","","0",""
"-168","1","31","34","1","1010801","30","1010801009","","155",""
"-168","1","31","34","1","1010801","31","1010801010","","-155",""
"-175","1","31","42","1","1010801","32","1010801011","","-222",""
"0","1","31","40","0","1010801","40","1010801012","","0",""
"","","13","1","","1010801","170","1010801013","","",""
"","","13","2","","1010801","170","1010801014","","",""
"","","91","0","","1010801","","1010801015","","",""
"","","23","se_10044200","","1010801","se_10044200_cmn_amb","1010801016","","1",""
"","","23","se_10044200","","1010801","se_10044200_cmn_steam","1010801017","","0",""
"","","93","6","","1010801","0","1010801018","","",""
"","","23","se_10044200","","1010801","se_10044200_hotspring_04","1010801019","","1",""
"","","93","1.5","","1010801","0","1010801020","","",""
"","","3","2","0.5","1010801","dsb_talk_anger_Ex8","1010801021","","1",""
"0","","21","vo_dsb_1010801","","1010801","vo_dsb_1001","1010801022","","0",""
"1","1","11","2","0","1010801","好、好燙～！！\n這裡的水溫很奇怪耶……\n老大，這是怎麼回事！？","1010801023","0","10","0.2"
"","","91","0","","1010801","","1010801024","","",""
"","","3","2","0.5","1010801","dsb_idle_worry","1010801025","","1",""
"","","3","1","0.5","1010801","dsb_talk_worry_Ex3","1010801026","","1",""
"0","","21","vo_dsb_1010801","","1010801","vo_dsb_1002","1010801027","","0",""
"1","1","11","1","0","1010801","現在別叫我老大，\n要叫我小老闆娘呀～？","1010801028","0","10","0.2"
"","","91","0","","1010801","","1010801029","","",""
"","","3","1","0.5","1010801","dsb_idle_normal","1010801030","","1",""
"dsb_talk_doya_sing_loop","1","3","2","0.5","1010801","dsb_talk_doya_sing","1010801031","0.5","0",""
"0","","21","vo_dsb_1010801","","1010801","vo_dsb_1003","1010801032","","0",""
"1","1","11","2","0","1010801","嘖。\n什～麼小老闆娘啊……\n明明就是性格扭曲的老太婆老闆娘。","1010801033","0","10","0.2"
"","","91","0","","1010801","","1010801034","","",""
"","","3","2","0.5","1010801","dsb_idle_doya_blink","1010801035","","1",""
"","","3","1","0.5","1010801","dsb_talk_sad2_talkjoy2","1010801036","","1",""
"0","","21","vo_dsb_1010801","","1010801","vo_dsb_1004","1010801037","","0",""
