ca680ce50f13236d4bdc1708dceaa15fffdf5142a33eda4a55aa494117c33d33,b7a06d0da18854a4c6508849b758bb6ba514b5319fb8d23fdf173ae7cbbf7044,a1595080253ed69fb5b14d445988ad872ff2f7d054f8b8bc523c90e3f054cf6c,09ec7e67ae22ba5d49f18fe74f186270fcda4a5b72d4617c035bd44b195700a0,990c0abf9ea21e3a6fe5cdb4c860db965106fcc9ba43a21ea763ae2fce6578ee,e291ffbfff9ebd5d897f8a3b9679e5165dcd421dd2563785ce27f0d748cf7d19,ecab7d741843185242d95c95636b14e6caf49fbafb9d297dd40e494332fb16f7,d1011ef0f00ea48aa5c96d4ce7fbff8cf764bceb751cba7caae95cb36ca08e39,0cd552365cb91a654f1df9a5ebd5e778d99b8891a9b74a5cc37d1f744234c434,3a445b0a93378e66a6b7b0c7f1cce0d1c1819fed7e00e8821c37ae09aedccd96,bafa88523234068b8fec4509830e985687052491203c7726b5ce1a3ecc0418fc,64304b8ac8a804506d0d1f51f1be8f57019e27a174b14b5b5dbb98da8ec70770,fe0b40374f07c499a21919c28260f868772e38bf53887096efc6dcb20f9f5379,4950eebaef60026558f4798f8df377380cd835cf867a16ee64ddf3b9098e8ddb,2446929ceb29310f781dda0de70c9fbdad3683d099e652477d620aed50a46a9f,e66717025cdc755a69aae87fb817db0d94a52558766d773e4d322ea56cec6c51,b405c3126f44aa1b577e8e3098c1c2c842fb4414bb42e705e0c7daf061d1c5ab,20b71ea5649a33fa0a8427724f0ac3a291c138732f368488e52f6977e1c5984e,ea61fa7cbfb054cb3595c339a38a4b45930d031d628a6fdaaa3750f4afe99201,7e3ee7a705b5004d8f611b4f3d2582a4651e55a22c334fa79ba4b2dcfd4320eb,0a6c8c9c688b7be984d09e0168758ea114784575140b82d9427298214e3eaa00
"1","對敵方單體造成{0}的物理傷害","1","0","30","1","單體物理傷害+{0}","0","0","-1","100100101","0","1","0","1","0","3","2.4","0","30","1"
"1","","1","0","50","99","","0","0","-1","100100102","0","3","0","1","0","3","500","0","0","3"
"2","對範圍內的敵人造成{0}的物理傷害","1","0","13.5","99","範圍物理傷害+{0}","0","0","400","100100103","0","1","0","1","0","3","1.08","0","13.5","1"
"1","對敵方單體造成{0}的物理傷害","1","0","20","1","物理傷害+{0}","0","0","-1","100100201","0","1","0","1","0","3","1.6","0","20","1"
"1","對敵方單體造成{0}的物理傷害","1","0","8","1","物理傷害+{0}","0","0","0","100100301","0","1","0","1","0","1","0.6","0","8","1"
"1","提升自身{0}的物理攻擊力","1","0","1","1","物理攻擊力提升+{0}","1","0","0","100100302","0","10","12","2","0","7","11","1","11","10"
"1","對敵方單體造成{0}的物理傷害","1","0","60","1","單體物理傷害+{0}","0","0","-1","100101101","0","1","0","1","0","3","4.8","0","60","1"
"2","對範圍內的敵人造成{0}的物理傷害","1","0","45","99","範圍物理傷害+{0}","0","0","600","100101102","0","1","0","1","0","3","3.6","0","45","1"
"1","對敵方單體造成{0}的物理傷害","1","0","20","1","單體物理傷害+{0}","0","0","-1","100101201","0","1","0","1","0","3","1.6","0","20","1"
"2","對範圍內的敵人造成{0}的物理傷害","1","0","9","99","範圍物理傷害+{0}","0","0","400","100101202","0","1","0","1","0","3","0.72","0","9","1"
"0","提升自身{0}的物理攻擊力","1","0","1","0","物理攻擊力提升+{0}","0","0","0","100150101","0","90","1","0","0","0","15","0","15","2"
"0","提升自身{0}的物理攻擊力","1","0","1","0","物理攻擊力提升+{0}","0","0","0","100151101","0","90","1","0","0","0","15","0","240","2"
"3","回復我方全體{0}的HP","1","0","1","99","HP回復量+{0}","0","0","2160","100200101","0","4","0.45","2","0","3","6","0","6","2"
"1","對敵方單體造成{0}的魔法傷害","1","0","15","1","魔法傷害+{0}","0","0","-1","100200201","0","1","0","1","0","3","1.2","0","15","2"
"3","提升我方全體{0}的物理防禦力","1","0","1","99","物理防禦力提升+{0}","1","0","2160","100200301","0","10","12","2","0","3","0.23","1","0.23","20"
"3","回復我方全體{0}的HP","1","0","1","99","HP回復量+{0}","0","0","2160","100201101","0","4","0.6","2","0","3","8","0","8","2"
"3","提升我方全體{0}的物理防禦力","1","0","1","99","物理防禦力提升+{0}","1","0","2160","100201102","0","10","18","2","0","3","1.2","1","1.2","20"
"3","展開{0}傷害量的物理無效護盾","1","0","45","99","無效傷害量+{0}","0","0","2160","100201103","0","6","0","2","0","3","18","0","45","1"
"3","提升我方全體的行動速度100％","1","0","2","99","","0","0","2160","100201104","0","8","0","2","0","3","18","1","0","2"
"1","對敵方單體造成{0}的魔法傷害","1","0","20","1","魔法傷害+{0}","0","0","-1","100201201","0","1","0","1","0","3","1.6","0","20","2"
"1","降低敵方單體{0}的物理攻擊力","1","0","1","1","物理攻擊力降低+{0}","1","0","-1","100201202","0","10","12","1","0","3","7.5","1","7.5","11"
"0","提升自身{0}的魔法攻擊力","1","0","1","0","魔法攻擊力提升+{0}","0","0","0","100250101","0","90","1","0","0","0","15","0","15","4"
"0","提升自身{0}的魔法攻擊力","1","0","1","0","魔法攻擊力提升+{0}","0","0","0","100251101","0","90","1","0","0","0","15","0","15","4"
"0","提升自身{0}的魔法防禦力","1","0","1","0","","0","0","0","100251102","0","90","1","0","0","0","0","0","30","5"
"1","對敵方單體造成{0}的物理傷害","1","0","60","1","物理傷害+{0}","0","0","-1","100300101","0","1","0","1","0","3","4.8","0","60","1"
"1","對敵方單體造成{0}的物理傷害","1","0","20","1","物理傷害+{0}","0","0","-1","100300201","0","1","0","1","0","3","1.6","0","20","1"
"1","","1","0","0","1","","100300303","0","0","100300301","0","28","0","2","100300302","7","0","0","0","677"
"1","","1","0","0.5","1","","100300305","0","4320","100300302","0","18","0","1","0","3","1.8","0","0","1"
"1","","1","0","1","1","","100300306","0","4320","100300303","0","18","0","1","0","3","1.8","0","0","1"
"1","","1","0","0","1","","100300306","0","0","100300304","0","28","0","2","100300305","7","0","0","0","677"
"1","對敵方單體造成{0}的物理傷害","1","0","20","1","物理傷害+{0}","0","0","-1","100300305","0","1","0","1","0","3","1.6","0","20","1"
"1","","1","0","40","1","","0","0","-1","100300306","0","1","0","1","0","3","3.2","0","40","1"
"1","對敵方單體造成{0}的物理傷害","1","0","120","1","物理傷害+{0}","0","0","-1","100301101","0","1","0","1","0","3","9.6","0","120","1"
"1","將風之刃暫時纏繞於身","1","0","1","1","","0","0","0","100301102","0","35","1","2","0","7","18","0","77","0"
"1","","1","0","1","1","","100301203","0","0","100301201","0","28","0","2","100301202","7","1","0","2","677"
"1","對敵方單體造成{0}的物理傷害","1","0","20","1","物理傷害+{0}","0","0","-1","100301202","0","1","0","1","0","3","1.6","0","20","1"
"1","","1","0","40","1","","0","0","-1","100301203","0","1","0","1","0","3","3.2","0","40","1"
"1","降低敵方單體{0}的物理防禦力","1","0","1","1","物理防禦力降低+{0}","1","0","-1","100301204","0","10","12","1","0","3","0.6","1","0.6","21"
"1","","1","0","1","1","","1","0","-1","100301205","0","10","24","1","0","3","1.2","1","1.2","21"
"1","","1","0","0","1","","100301303","0","0","100301301","0","28","0","2","100301302","7","0","0","0","677"
"1","對敵方單體造成{0}的物理傷害","1","0","40","1","物理傷害+{0}","0","0","-1","100301302","0","1","0","1","0","3","3.2","0","40","1"
"1","","1","0","80","1","","0","0","-1","100301303","0","1","0","1","0","3","6.4","0","80","1"
"1","","1","0","0","1","","100301306","0","0","100301304","0","28","0","2","100301305","7","0","0","0","677"
"1","對敵方單體造成{0}的物理傷害","1","0","40","1","物理傷害+{0}","0","0","-1","100301305","0","1","0","1","0","3","3.2","0","40","1"
"1","","1","0","80","1","","0","0","-1","100301306","0","1","0","1","0","3","6.4","0","80","1"
"1","","1","0","0","1","","100301309","0","0","100301307","0","28","0","2","100301308","7","0","0","0","677"
"1","使自身受到的無法行動狀態無效１次","1","0","1","1","","0","0","-1","100301308","0","100","0","2","0","7","12","0","0","1"
"1","","1","0","2","1","","0","0","-1","100301309","0","100","0","2","0","7","24","0","0","1"
"1","","1","0","-1","1","","10030102","0","-1","100301310","0","22","0","2","0","7","0","0","0","1"
"0","提升自身{0}的物理攻擊力","1","0","1","0","物理攻擊力提升+{0}","0","0","0","100350101","0","90","1","0","0","0","15","0","15","2"
"0","提升自身{0}的物理攻擊力","1","0","1","0","物理攻擊力提升+{0}","0","0","0","100351101","0","90","1","0","0","0","15","0","15","2"
"0","提升自身{0}的最大HP","1","0","1","0","","0","0","0","100351102","0","90","1","0","0","0","0","0","1125","1"
"2","","1","0","0","1","","0","0","2160","100400101","1","7","0","1","0","3","0","0","0","1"
"2","對範圍內的敵人造成{0}的物理傷害","1","0","20.4","99","物理傷害+{0}","0","0","300","100400102","0","1","0","1","0","1","1.62","0","20.4","1"
