23c38d2751f44eef01f03ceaf21e2ab6852fe4b91f8ebdee915513580f096df1,5d517eced234f3081a03e60808cd9d13f5db1d9d5eeaee867e3e36042eb55a79,238233365599d654f45af066e916944891a1fa2df97080a138c7aeb2adc7afdb,e3aab2d081be4444f43bce3b70142f19d9b1ff0d26e46c360aaf519946b35bc7,9eab5542623d8219a774652737018311312dcd5aeda550cc49dd352f33f9ce71,229137d8406ce4a13bf29a43c09c83450d773a85fc80892f8cf75439a4bf558d,18c5b48d806c2df403327bba09f9c1e8c11a80aced776c55093f8912c49b3d9b,602ad4db957b9b17b2a36c55389ff0fe7a2ebcce0f5a3f76d51b957e8ab8e0ef,888a03e72dc665e1e1c697cdbd687bbdd5b34aef9958e52a7a1c96e16244c989
"600","1101002","0","1101001","0","21","0","0","0"
"2400","1101003","0","1101002","600","22","0","0","0"
"1","1","50","1101003","-1500","20","0","0","0"
"900","1101012","0","1101011","0","21","0","0","0"
"2100","1101013","0","1101012","700","22","0","0","0"
"1","1","200","1101013","-1500","20","0","0","0"
"400","1101022","0","1101021","0","21","0","0","0"
"2000","1101023","0","1101022","500","22","0","0","0"
"1","1","350","1101023","-1500","20","0","0","0"
"1000","1101032","0","1101031","0","21","0","0","0"
"1800","1101033","0","1101032","900","22","0","0","0"
"1","1","500","1101033","-1500","20","0","0","0"
"500","1101042","0","1101041","0","21","0","0","0"
"1600","1101043","0","1101042","800","22","0","0","0"
"1","1","750","1101043","-1500","20","0","0","0"
"1","25","2","1101101","2","1","0","2","0"
"1","1","-100","1102001","-2000","20","0","0","0"
"1","20","10","1102101","2","1","0","2","0"
"2","200000","0","1102102","0","10","0","2","0"
"500","1103002","0","1103001","0","21","0","0","0"
"0","1000","0","1103002","0","3","0","2","0"
"3","-15","0","1202001","3000","2","0","2","0"
"3","15","0","1204001","30000","2","0","1","0"
"3","10","0","1205001","30000","2","0","1","0"
"3","10","0","1206001","30000","2","0","1","0"
"3","10","0","1207001","30000","2","0","1","0"
"2","15","0","1208001","3000","2","0","1","0"
"1","25","0","1209001","3000","2","0","1","0"
"2","10","0","1210001","3000","2","0","1","0"
"3000","1210003","0","1210002","0","21","0","0","0"
"1","15","0","1210003","30000","2","0","1","0"
"2","-10","0","1211001","3000","2","0","1","0"
"3000","1211003","0","1211002","0","21","0","0","0"
"1","-15","0","1211003","30000","2","0","2","0"
"1","-10","0","1213001","30000","2","0","2","0"
"2","-10","0","1213002","30000","2","0","2","0"
"3","-25","0","1214001","1500","2","0","2","0"
"3","-20","0","1216001","3000","2","0","2","0"
"3","20","0","1218001","30000","2","0","1","0"
"3","15","0","1219001","30000","2","0","1","0"
"3","15","0","1220001","30000","2","0","1","0"
"3","15","0","1221001","30000","2","0","1","0"
"2","20","0","1222001","3000","2","0","1","0"
"1","30","0","1223001","3000","2","0","1","0"
"2","15","0","1224001","3000","2","0","1","0"
"3000","1224003","0","1224002","0","21","0","0","0"
"1","20","0","1224003","30000","2","0","1","0"
"2","-10","0","1225001","3000","2","0","1","0"
"3000","1225003","0","1225002","0","21","0","0","0"
"1","-20","0","1225003","30000","2","0","2","0"
"1","-15","0","1227001","30000","2","0","2","0"
"2","-15","0","1227002","30000","2","0","2","0"
"3","-35","0","1228001","1500","2","0","2","0"
"3","20","0","1229001","30000","2","0","1","0"
"2","20","0","1230001","3000","2","0","1","0"
"3000","1230003","0","1230002","0","21","0","0","0"
"1","50","0","1230003","30000","2","0","1","0"
"3","-25","0","1232001","3000","2","0","2","0"
"3","25","0","1234001","30000","2","0","1","0"
"3","20","0","1235001","30000","2","0","1","0"
"3","20","0","1236001","30000","2","0","1","0"
"3","20","0","1237001","30000","2","0","1","0"
"2","25","0","1238001","3000","2","0","1","0"
"1","35","0","1239001","3000","2","0","1","0"
"2","20","0","1240001","3000","2","0","1","0"
"3000","1240003","0","1240002","0","21","0","0","0"
"1","25","0","1240003","30000","2","0","1","0"
"2","-10","0","1241001","3000","2","0","1","0"
"3000","1241003","0","1241002","0","21","0","0","0"
"1","-25","0","1241003","30000","2","0","2","0"
"1","-20","0","1242001","30000","2","0","2","0"
"2","-20","0","1242002","30000","2","0","2","0"
"3","-75","0","1244001","1500","2","0","2","0"
"3","20","0","1246001","30000","2","0","1","0"
"3","30","0","1247001","30000","2","0","1","0"
"3000","1247003","0","1247002","0","21","0","0","0"
"1","25","0","1247003","3000","2","0","1","0"
"1","75","0","1248001","3000","2","0","1","0"
"3","-90","0","1249001","1500","2","0","2","0"
"2","10","0","2101001","30000","2","0","1","0"
"2","10","0","2102001","30000","2","0","1","0"
"2","-15","0","2103001","3000","2","0","2","0"
"3","-15","0","2103002","3000","2","0","2","0"
"3","-25","0","2105001","3000","2","0","2","0"
"3","25","0","2107001","30000","2","0","1","0"
"3","10","0","2108001","30000","2","0","1","0"
"3","10","0","2109001","30000","2","0","1","0"
"3","10","0","2110001","30000","2","0","1","0"
"2","15","0","2111001","3000","2","0","1","0"
"1","25","0","2112001","3000","2","0","1","0"
"2","10","0","2113001","3000","2","0","1","0"
"3000","2113003","0","2113002","0","21","0","0","0"
"1","25","0","2113003","30000","2","0","1","0"
"2","-10","0","2114001","3000","2","0","1","0"
"3000","2114003","0","2114002","0","21","0","1","0"
"1","-25","0","2114003","30000","2","0","2","0"
