7e4cb58824d52a5c7f85a32fa29dcd92484ac48a04192a096118008e55eae788,b3d068a5186510cebd5d377ad930277c5071fb891d3ec986e339e04fc72faf41,8f2071b784207b993011b69ff9bf386c7584bd688809573c9a34e04f01110ab6,e597518877dcc865f6cf9fc708c5daca9359838ebd11e471314660359cfcce40,ac5aa46b017a57de1973ec87824462f743fca5ce0f12599caf3e8793b918d1e5,db94bb666ac411f6109d6c4f383ae7e85743c4b5f7688d916715760e71b85658,34f615563c3623da8eab1535db29e2c683e04e589d7133e4b588dec87e64ecac,f71b4695281602ae01c1f1441db348b5664b25b07312ee236183ee6181f9eaf4,5a0d8ad8c69fac90d7bbba146cea59ba3bc9b6e2c049d346cb1a72f785f5c852,824d08d17baafbfa21015a344c7bddc143ffa92e05a161c2676909b7d0d7762e,b60cb26c471a9c180b916fe9682129f23880c94e47342e12a8a6fbe620fbce07,0e3cf73b9691f2904fcdca4954659bad01294120d173459d3efb9487c9bd0423,4afa9229c1bc9ced19567345050ce8765705ee3549460a88f6158aad863d419f,b2142663dbd423f7953f3f0c67d2aa2e2079298dc729060b30e36096e95cf5b2,519719109616567bc874abd6fecf1e96779d2fc7c1ceeb3d896adcb1298c00d1
"0","92407010","92407020","1","90","0","96","前哨冒險","924070100","924073001","6","8","25","92407","924072001"
"92407010","92407020","92407030","2","90","0","96","前哨冒險","924070200","924073002","6","8","25","92407","924072002"
"92407020","92407030","0","3","90","0","96","前哨冒險","924070300","924073003","6","8","25","92407","924072003"
"0","92408010","92408020","1","90","0","540","前哨冒險","924080100","924083001","25","25","25","92408","924082001"
"92408010","92408020","92408030","2","90","0","540","前哨冒險","924080200","924083002","25","25","25","92408","924082002"
"92408020","92408030","0","3","90","0","540","前哨冒險","924080300","924083003","25","25","25","92408","924082003"
"0","92409010","92409020","1","90","0","540","前哨冒險","924090100","924093001","25","25","25","92409","924092001"
"92409010","92409020","92409030","2","90","0","540","前哨冒險","924090200","924093002","25","25","25","92409","924092002"
"92409020","92409030","0","3","90","0","540","前哨冒險","924090300","924093003","25","25","25","92409","924092003"
"0","92410010","92410020","1","90","0","540","前哨冒險","924100100","924103001","25","25","25","92410","924102001"
"92410010","92410020","92410030","2","90","0","540","前哨冒險","924100200","924103002","25","25","25","92410","924102002"
"92410020","92410030","0","3","90","0","540","前哨冒險","924100300","924103003","25","25","25","92410","924102003"
"0","92411010","92411020","1","90","0","540","前哨冒險","924110100","924113001","25","25","25","92411","924112001"
"92411010","92411020","92411030","2","90","0","540","前哨冒險","924110200","924113002","25","25","25","92411","924112002"
"92411020","92411030","0","3","90","0","540","前哨冒險","924110300","924113003","25","25","25","92411","924112003"
"0","92412010","92412020","1","90","0","540","前哨冒險","924120100","924123001","25","25","25","92412","924122001"
"92412010","92412020","92412030","2","90","0","540","前哨冒險","924120200","924123002","25","25","25","92412","924122002"
"92412020","92412030","0","3","90","0","540","前哨冒險","924120300","924123003","25","25","25","92412","924122003"
"0","92414010","92414020","1","90","0","540","前哨冒險","924140100","924143001","25","25","25","92414","924142001"
"92414010","92414020","92414030","2","90","0","540","前哨冒險","924140200","924143002","25","25","25","92414","924142002"
"92414020","92414030","0","3","90","0","540","前哨冒險","924140300","924143003","25","25","25","92414","924142003"
"0","92415010","92415020","1","90","0","540","前哨冒險","924150100","924153001","25","25","25","92415","924152001"
"92415010","92415020","92415030","2","90","0","540","前哨冒險","924150200","924153002","25","25","25","92415","924152002"
"92415020","92415030","0","3","90","0","540","前哨冒險","924150300","924153003","25","25","25","92415","924152003"
"0","92416010","92416020","1","90","0","540","前哨冒險","924160100","924163001","25","25","25","92416","924162001"
"92416010","92416020","92416030","2","90","0","540","前哨冒險","924160200","924163002","25","25","25","92416","924162002"
"92416020","92416030","0","3","90","0","540","前哨冒險","924160300","924163003","25","25","25","92416","924162003"
"0","92417010","92417020","1","90","0","540","前哨冒險","924170100","924173001","25","25","25","92417","924172001"
"92417010","92417020","92417030","2","90","0","540","前哨冒險","924170200","924173002","25","25","25","92417","924172002"
"92417020","92417030","0","3","90","0","540","前哨冒險","924170300","924173003","25","25","25","92417","924172003"
"0","92418010","92418020","1","90","0","540","前哨冒險","924180100","924183001","25","25","25","92418","924182001"
"92418010","92418020","92418030","2","90","0","540","前哨冒險","924180200","924183002","25","25","25","92418","924182002"
"92418020","92418030","0","3","90","0","540","前哨冒險","924180300","924183003","25","25","25","92418","924182003"
"0","92419010","92419020","1","90","0","540","前哨冒險","924190100","924193001","25","25","25","92419","924192001"
"92419010","92419020","92419030","2","90","0","540","前哨冒險","924190200","924193002","25","25","25","92419","924192002"
"92419020","92419030","0","3","90","0","540","前哨冒險","924190300","924193003","25","25","25","92419","924192003"
"0","92420010","92420020","1","90","0","540","前哨冒險","924200100","924203001","25","25","25","92420","924202001"
"92420010","92420020","92420030","2","90","0","540","前哨冒險","924200200","924203002","25","25","25","92420","924202002"
"92420020","92420030","0","3","90","0","540","前哨冒險","924200300","924203003","25","25","25","92420","924202003"
"0","92501010","92501020","1","90","0","540","前哨冒險","925010100","925013001","25","25","25","92413","925012001"
"92501010","92501020","92501030","2","90","0","540","前哨冒險","925010200","925013002","25","25","25","92413","925012002"
"92501020","92501030","0","3","90","0","540","前哨冒險","925010300","925013003","25","25","25","92413","925012003"
