f4ba666090151741b1baebbf18dadc443e47fa23f33df6c3d9a5cc0550f79ad4,dcca15f4767bd740f1cef416a3a29b3dd901ab2440820ba104c5a093d21ce84a,11bf8f58aa41c55a7159bcb370586b49fec3e9497019e58c1b8be4a0abcb4ade,6341ee26f873d930b9950f7bdd860a52cd8ea4e8b698b5fa4c9781e2cb001d85,6ba640c67aabf4399b265ca17fd0d5b760987d6120628b75306416deaae2f1ed,52a14a28d55868a7df13bcd9c2874b390e2e95290576948ee21758c3524ab928
"10","0","1","150","150","1"
"10","0","1","250","400","2"
"10","0","1","400","800","3"
"20","0","2","150","150","1"
"20","0","2","250","400","2"
"20","0","2","400","800","3"
"20","1","2","500","1300","4"
"30","0","3","800","800","1"
"30","0","3","1000","1800","2"
"30","0","3","1200","3000","3"
"30","1","3","1400","4400","4"
"30","2","3","1600","6000","5"
"40","0","4","800","800","1"
"40","0","4","1000","1800","2"
"40","0","4","1200","3000","3"
"40","1","4","1400","4400","4"
"40","2","4","1600","6000","5"
"0","0","5","0","0","0"
