6b93e9c7bcd1bfc6ddf73537cc49e36806a14d8d14bdd9bf04faac6f0030584a,d50d485647548998acf442e687a727fc8b085262b0f92fb06d10d1163ca7aac8,9efb238c115e11d8aa5695a9d49912a4009985e718ade6a173443aa726ee13b1,b8cbc8b0d988ad6f563075417e238c01828e4cfe9f836f8dccbd22e0cc72c43b,d3185964b0cf73bdc612f33e83102e8c45542a850ecdc23370c7ecb8d08342d8,bcba65b0a7f4a6b510aed14a123cb98df41f71f2e3d3d19d0262c7745e8dee10,713af94fcdc0d04f022c6d9167e9263844bcecb9b6156165508b49665e7888a0,f9bb80eac1554cafda3d6d136e7a529aa2057931f37aaa21540a5741acabba23
"6","0","14","25203","25201","1","1","0"
"6","0","14","25203","25201","2","1","0"
"6","0","14","25203","25201","3","1","0"
"6","4","16","25203","25201","4","1","25205"
"6","4","16","25203","25201","5","1","25205"
"6","4","16","25203","25201","6","1","25205"
"8","5","18","25203","25201","7","1","25205"
"8","5","18","25203","25201","8","1","25205"
"8","5","18","25203","25201","9","1","25205"
"10","6","20","25203","25201","10","1","25205"
"10","6","20","25203","25201","11","1","25205"
"10","6","20","25203","25201","12","1","25205"
"12","7","22","25203","25201","13","1","25205"
"12","7","22","25203","25201","14","1","25205"
"12","7","22","25203","25201","15","1","25205"
"6","0","14","25203","25201","1","2","0"
"6","0","14","25203","25201","2","2","0"
"6","0","14","25203","25201","3","2","0"
"6","4","16","25203","25201","4","2","25205"
"6","4","16","25203","25201","5","2","25205"
"6","4","16","25203","25201","6","2","25205"
"8","5","18","25203","25201","7","2","25205"
"8","5","18","25203","25201","8","2","25205"
"8","5","18","25203","25201","9","2","25205"
"10","6","20","25203","25201","10","2","25205"
"10","6","20","25203","25201","11","2","25205"
"10","6","20","25203","25201","12","2","25205"
"12","7","22","25203","25201","13","2","25205"
"12","7","22","25203","25201","14","2","25205"
"12","7","22","25203","25201","15","2","25205"
"14","0","8","25205","25201","1","3","0"
"14","0","8","25205","25201","2","3","0"
"14","0","8","25205","25201","3","3","0"
"16","8","3","25203","25201","4","3","25205"
"16","8","3","25203","25201","5","3","25205"
"16","8","3","25203","25201","6","3","25205"
"18","10","4","25203","25201","7","3","25205"
"18","10","4","25203","25201","8","3","25205"
"18","10","4","25203","25201","9","3","25205"
"20","12","5","25203","25201","10","3","25205"
"20","12","5","25203","25201","11","3","25205"
"20","12","5","25203","25201","12","3","25205"
"22","14","6","25203","25201","13","3","25205"
"22","14","6","25203","25201","14","3","25205"
"22","14","6","25203","25201","15","3","25205"
"14","0","8","25205","25201","1","4","0"
"14","0","8","25205","25201","2","4","0"
"14","0","8","25205","25201","3","4","0"
"16","8","3","25203","25201","4","4","25205"
"16","8","3","25203","25201","5","4","25205"
"16","8","3","25203","25201","6","4","25205"
"18","10","4","25203","25201","7","4","25205"
"18","10","4","25203","25201","8","4","25205"
"18","10","4","25203","25201","9","4","25205"
"20","12","5","25203","25201","10","4","25205"
"20","12","5","25203","25201","11","4","25205"
"20","12","5","25203","25201","12","4","25205"
"22","14","6","25203","25201","13","4","25205"
"22","14","6","25203","25201","14","4","25205"
