f53540fb0d794030840a6381d5041c28939242b24b210bd9c0ec773e59d6cea6,3d64858979dcfdc7e02ef40287d0b0ced4aca714664a09892cc334cedae2f21e,b1bb5b7824022c43c7fa1df949b93ca05e03802f7b779e4e10c9a5f3b2fc899b,218b8ca70a8d313b0c7bd7c576e32d6b9af144dbba64326727a4f98e2e58d85f,ee0dafd271ef1809b44f737cb15c5163308aa95f9c0877b939c25fb8ce308782,84b9d3d87326850a92d827f512d334d0eb448cf5ab0c3513cfe8c98681b6f77e
"0","1","610010501","100","0","10010"
"0","1","610010502","250","0","10010"
"0","1","610010503","450","0","10010"
"4","2","610010601","440","6","10010"
"3","2","610010602","300","3","10010"
"2","2","610010603","140","1","10010"
"1","2","610010605","20","1","10010"
"0","1","610012501","80","0","10012"
"0","1","610012502","180","0","10012"
"0","1","610012503","280","0","10012"
"0","1","610012504","380","0","10012"
"0","1","610013501","-500","0","10013"
"0","1","610013502","-400","0","10013"
"0","1","610013503","-300","0","10013"
"0","1","610015501","0","0","10015"
"0","1","610015502","10","0","10015"
"0","1","610015503","20","0","10015"
"0","1","610017501","-180","0","10017"
"0","1","610017502","-80","0","10017"
"1","2","610021501","20","1","10021"
"2","2","610021502","140","1","10021"
"3","2","610021503","300","1","10021"
"0","1","610025501","-120","0","10025"
"0","1","610025502","-10","0","10025"
"0","1","610025503","30","0","10025"
"0","1","610027502","-220","0","10027"
"0","1","610027503","10","0","10027"
"0","1","610027504","800","0","10027"
"0","1","610027505","100","0","10027"
"0","1","610029501","-120","0","10029"
"0","1","610029502","-10","0","10029"
"0","1","610029503","30","0","10029"
"0","1","610031501","-120","0","10031"
"0","1","610031502","-40","0","10031"
"0","1","610031503","10","0","10031"
"0","1","610031504","50","0","10031"
"0","1","610033501","-120","0","10033"
"0","1","610033502","-10","0","10033"
"0","1","610033503","30","0","10033"
"0","1","610033504","-80","0","10033"
"0","1","610035501","10","0","10035"
"0","1","610035502","-120","0","10035"
"0","1","610035503","90","0","10035"
"0","1","610035601","-220","0","10035"
"0","1","610035602","10","0","10035"
"0","1","610035603","100","0","10035"
"0","1","610035604","800","0","10035"
"0","1","610037501","80","0","10037"
"0","1","610037502","180","0","10037"
"0","1","610037503","280","0","10037"
"0","1","610037504","380","0","10037"
"0","1","610038501","-120","0","10038"
"0","1","610038502","-40","0","10038"
"0","1","610038503","10","0","10038"
"0","1","610038504","50","0","10038"
"0","1","610039501","-500","0","10039"
"0","1","610039502","-400","0","10039"
"0","1","610039503","-300","0","10039"
"0","1","610040501","-205","0","10040"
"0","1","610040502","122","0","10040"
"0","1","610040503","25","0","10040"
"0","1","610040504","295","0","10040"
"0","1","610041501","0","0","10041"
"0","1","610041502","10","0","10041"
"0","1","610041503","20","0","10041"
"0","2","610042501","-120","0","10042"
"0","2","610042502","-40","0","10042"
"0","2","610042503","10","0","10042"
"1","2","610045501","20","1","10045"
"2","2","610045502","140","1","10045"
"3","2","610045503","300","1","10045"
