4ab229fc2363733da65cd9a935f0720dbab3f07d7604887f5fd3f6dd5b7816e2,c9a0f7e4aafa3eb8f42af09019220a2560627b9ea080864dc5738a1c67bc5e08,e2f2a2803090bed7efea80adebed2f67d6531b7455890eeb7751a668b6c7e61c,58d0f9e788d63195c01164e60c92b3d0a31d108017fe4f3260f88948a84e901e,a61fa5f152ab0d7ab353eebffb85b7cb99bae604de2378c6355cfb641689fa41,deaa7c5fcde51763128181cfc280c792342d33b43d68f379628c49a2ef927ae8,b44a3e3d690c42c8d16449edd5316a263f88a7e246e768dd3fb2588a959d9f89,b46cb04cc8c704265c12d2d16859e147e2c2b7f66fde829a94933a21e8bce0b6
"200","4","111","2","3","104","1","5"
"2","4","211","2","3","14","1","5"
"2","4","311","2","3","103","1","5"
"2","4","411","2","3","102","1","5"
"200","4","511","2","3","104","1","5"
"250","4","611","2","3","1","1","5"
"3","4","711","2","3","101","1","5"
"3","4","811","2","3","100","1","5"
"200","4","911","2","3","104","1","5"
"250","4","1011","2","3","1","1","5"
"250","4","1111","2","3","3","1","5"
"250","4","1112","2","3","5","1","5"
"150","4","1211","2","3","6","1","5"
"150","4","1212","2","3","7","1","5"
"200","4","1311","2","3","104","1","5"
"2","4","1411","2","3","103","1","5"
"2","4","1511","2","3","102","1","5"
"250","4","1611","2","3","1","1","5"
"200","4","1711","2","3","104","1","5"
"500","4","1811","2","3","2","1","5"
"500","4","1812","2","3","4","1","5"
"3","4","1911","2","3","101","1","5"
"3","4","2011","2","3","100","1","5"
"200","4","2111","2","3","104","1","5"
"250","4","2211","2","3","1","1","5"
"3","4","2311","2","3","100","1","5"
"3","4","2411","2","3","101","1","5"
"200","4","2511","2","3","104","1","5"
"500","4","2611","2","3","2","1","5"
"500","4","2612","2","3","4","1","5"
"150","4","2711","2","3","6","1","5"
"150","4","2712","2","3","7","1","5"
"500","4","2811","2","3","2","1","5"
"500","4","2812","2","3","4","1","5"
"200","4","2911","2","3","104","1","5"
"250","4","3011","2","3","3","1","5"
"250","4","3012","2","3","5","1","5"
"3","4","3111","2","3","100","1","5"
"3","4","3211","2","3","101","1","5"
"200","4","3311","2","3","104","1","5"
"2","4","3411","2","3","100","1","5"
"200","4","3511","2","3","104","1","5"
"1","4","3611","2","3","103","1","5"
"1","4","3711","2","3","102","1","5"
"250","4","3811","2","3","2","1","5"
"250","4","3812","2","3","4","1","5"
"1","4","3911","2","3","102","1","5"
"200","4","4011","2","3","104","1","5"
"2","4","4111","2","3","100","1","5"
"150","4","4211","2","3","6","1","5"
"150","4","4212","2","3","7","1","5"
"200","4","4311","2","3","104","1","5"
"1","4","4411","2","3","103","1","5"
"200","4","4511","2","3","104","1","5"
"2","4","4611","2","3","101","1","5"
"1","4","4711","2","3","102","1","5"
"200","4","4811","2","3","104","1","5"
"1","4","4911","2","3","103","1","5"
"200","4","5011","2","3","104","1","5"
"2","4","5111","2","3","101","1","5"
"1","4","5211","2","3","102","1","5"
"200","4","5311","2","3","104","1","5"
"150","4","5411","2","3","6","1","5"
"150","4","5412","2","3","7","1","5"
"1","4","5511","2","3","103","1","5"
"200","4","5611","2","3","104","1","5"
"2","4","5711","2","3","100","1","5"
"2","4","5811","2","3","101","1","5"
"1","4","5911","2","3","103","1","5"
"200","4","6011","2","3","104","1","5"
"1","4","6111","2","3","102","1","5"
"250","4","6211","2","3","2","1","5"
"250","4","6212","2","3","4","1","5"
"200","4","6311","2","3","104","1","5"
"1","4","6411","2","3","103","1","5"
"1","4","6511","2","3","102","1","5"
"200","4","6611","2","3","104","1","5"
"150","4","6711","2","3","6","1","5"
"150","4","6712","2","3","7","1","5"
"1","4","6811","2","3","102","1","5"
"200","4","6911","2","3","104","1","5"
"1","4","7011","2","3","103","1","5"
"2","4","7111","2","3","101","1","5"
"2","4","7211","2","3","100","1","5"
"200","4","7311","2","3","104","1","5"
"1","4","7411","2","3","103","1","5"
"1","4","7511","2","3","102","1","5"
"250","4","7611","2","3","2","1","5"
"250","4","7612","2","3","4","1","5"
"200","4","7711","2","3","104","1","5"
"2","4","7811","2","3","101","1","5"
"2","4","7911","2","3","100","1","5"
"200","4","8011","2","3","104","1","5"
"150","4","8111","2","3","6","1","5"
"150","4","8112","2","3","7","1","5"
"2","4","8211","2","3","101","1","5"
"250","4","8311","2","3","2","1","5"
"250","4","8312","2","3","4","1","5"
"1","4","8411","2","3","103","1","5"
"200","4","8511","2","3","104","1","5"
"2","4","8611","2","3","100","1","5"
"1","4","8711","2","3","102","1","5"
"1","4","8811","2","3","103","1","5"
"200","4","8911","2","3","104","1","5"
"1","4","9011","2","3","102","1","5"
"200","4","9111","2","3","104","1","5"
"250","4","9211","2","3","2","1","5"
"250","4","9212","2","3","4","1","5"
"200","4","9311","2","3","104","1","5"
"1","4","9411","2","3","102","1","5"
"1","4","9511","2","3","103","1","5"
"200","4","9611","2","3","104","1","5"
"200","4","9711","2","3","104","1","5"
"2","4","9811","2","3","101","1","5"
"200","4","9911","2","3","104","1","5"
"1","4","10011","2","3","102","1","5"
"1","4","10111","2","3","103","1","5"
"200","4","10211","2","3","104","1","5"
"250","4","10311","2","3","2","1","5"
"250","4","10312","2","3","4","1","5"
"2","4","10411","2","3","100","1","5"
"200","4","10511","2","3","104","1","5"
"1","4","10611","2","3","103","1","5"
"200","4","10711","2","3","104","1","5"
"1","4","10811","2","3","103","1","5"
"2","4","10911","2","3","100","1","5"
"200","4","11011","2","3","104","1","5"
"2","4","11111","2","3","101","1","5"
"200","4","11211","2","3","104","1","5"
"1","4","11311","2","3","102","1","5"
"200","4","11411","2","3","104","1","5"
"1","4","11511","2","3","103","1","5"
"200","4","11611","2","3","104","1","5"
"1","4","11711","2","3","102","1","5"
"200","4","11811","2","3","104","1","5"
"150","4","11911","2","3","6","1","5"
"150","4","11912","2","3","7","1","5"
"200","4","12011","2","3","104","1","5"
