471072f172f5c3882646cc2c66277ffb7c7de75a2f636dc2a4411ec72600160d,daf46ce023cf9e0a4d7e59043091b6bdb9a2f448a80cfedf6d882dc5724ac893,c48b3fb482eb7d467553b8ba9fba7366ef469a6f24eba2b09487bea4608021cf,4bf1cc91691916d026aeba3c2f3919be627141ea923bf2a970e9c61ddda0b9f6,7f0b629e506e99ed4fccc75d6e4eb82343f306400bf7f4cc99594c2d0b400174,0d15230e8569554f49d9a025fcba0145cd0b28cb79a610c1dc4123d6e03eb31d,6f9f0e0d2a0654a07fc18404e123549f59e24df95fada4fe0ee5efe8bdcefbc5,dc5588706a436d11a0db12d142f9b033702e63655fdf3280b376c902fa7bc3d6,201dcf242a8f38cdc852093812ef1b4f428373c7e650b396080a2c3aa2292ae9,d0da796646c5ee48e7b2e6694b6ae96b429599d7aa0b8c663cfca0f34c7ed0d8
"3000","vo_minigame_1013_icon_1_002_001","1000","vo_minigame_1013_icon_2_002_001","狀態逐漸\n變好了呢。","2","1","訓練現在\n才要開始。","2","2"
"3000","vo_minigame_1013_icon_1_003_001","5000","vo_minigame_1013_icon_2_003_001","喂喂，\n還能繼續的吧？","2","2","嘻嘻，局勢\n發展得不錯。","2","2"
"3000","vo_minigame_1013_icon_1_004_001","10000","vo_minigame_1013_icon_2_004_001","嘿嘿，你們\n挺行的嘛！","2","3","這是出色的\n紀錄。","3","2"
"3000","vo_minigame_1013_icon_1_005_001","10000","vo_minigame_1013_icon_2_005_001","我們還不能\n止步於此！","3","4","現在狀態\n絕佳呢。","3","2"
"3000","vo_minigame_1013_icon_1_005_002","10000","vo_minigame_1013_icon_2_005_002","看著吧！\n真琴班過關斬將！","3","5","還能繼續前進。\n給我跟上。","3","2"
"3000","vo_minigame_1013_icon_1_005_003","10000","vo_minigame_1013_icon_2_005_003","唔哦哦哦！\n狀態絕佳！","3","6","惠理子班\n發揮真本事！","3","2"
"3000","vo_minigame_1013_icon_1_006_001","0","vo_minigame_1013_icon_2_006_001","能前進到什麼地方\n真讓人期待！","4","7","接下來是\n前無古人的領域！","3","2"
"1000","vo_minigame_1013_icon_1_007_001","1","vo_minigame_1013_icon_2_007_001","還不能放棄。","5","8","真是棘手……","4","3"
"1000","vo_minigame_1013_icon_1_007_002","1","vo_minigame_1013_icon_2_007_002","捏了把冷汗啊……！","5","9","不可輕敵。","4","3"
"1000","vo_minigame_1013_icon_1_007_003","1","vo_minigame_1013_icon_2_007_003","不准說喪氣話。","5","10","真是可恨……","4","3"
"1500","vo_minigame_1013_icon_1_008_001","99","vo_minigame_1013_icon_2_008_001","真琴班集合！","6","11","人多勢眾呢。","3","4"
"1500","vo_minigame_1013_icon_1_008_002","99","vo_minigame_1013_icon_2_008_002","齊心協力上吧！","6","12","歡迎來到惠理子班。","3","4"
"3000","vo_minigame_1013_icon_1_020_001","0","vo_minigame_1013_icon_2_020_001","賦予大家力量！","8","13","儘管包在\n小七七香身上。","6","1"
"3000","vo_minigame_1013_icon_1_022_001","0","vo_minigame_1013_icon_2_022_001","包在我身上。","9","14","哈哈哈！\n交給我吧！","7","1"
"3000","vo_minigame_1013_icon_1_023_001","0","vo_minigame_1013_icon_2_023_001","好哪，繼續前進吧。","10","15","繼續前進囉。","8","1"
