1f287a0bf3177f9e7b1d60fc3a1b698601f5cdbed6abed1d33e590c29cbff47d,b6cc57d3e2397d1bbde1e1dc0ba3854588cd3c54fe9a6ad845101d359b80076f,f57ae6c12faf69f995a5adc7b98efd1b1c2bc05f5b7456fe32e3c84e3e914c5d,b61444bfb74ed7d1c6bf4835f86008f1df518e4bd1beca78dcf0038c3d38f8fa,ee3a63465ab869901cbe886fe03a165f05695972c9db1230e276044b0cbc4fff,bd54a430f97b92407af24b30b3035c0fc9a85380e091a7b0486692b058b9fd1e,b23892464177335c2bce2d16539df09c8b4dcc4671d7746ef1452a512615fb9b,71caebdb25a77c342d488c5b2f2c919a10806ca1a8037c65d058146b9cddc1d3
"52001","0","1","1","0","1","【料理】骰子增加成為兩個","1"
"52002","0","1","1","0","1","【料理】骰子只會丟出「1」","2"
"52002","0","1","3","0","2","【料理】跳過下次的回合數計算","3"
"52004","0","1","1","0","1","【料理】骰子只會丟出「4」","4"
"52006","0","1","1","0","1","【料理】骰子只會丟出\n「4・5・6」","5"
"52007","0","1","1","0","1","【料理】骰子第1次只會丟出「3」，第2次只會丟出「6」","6"
"52003","0","1","1","0","1","【料理】骰子只會丟出「5」","7"
"52008","0","1","2","0","7","【料理】里程格所獲得的里程將提升200%","8"
"4","0","2","3","0","2","【事件】跳過下次的回合數計算","9"
"5","0","2","2","0","3","【事件】里程格所獲得的里程將提升100%","10"
"6","0","2","2","0","5","【事件】小遊戲所獲得的里程將提升100%","11"
"7","0","2","3","0","4","【事件】里程商店的所有商品折價20%以上","12"
"52009","0","1","1","0","1","【料理】骰子第1次只會丟出「8」，第2次只會丟出「1」","13"
"52010","0","1","2","0","6","【料理】「里程格」「寶物格」\n「商店格」的RANK提升1個","14"
"52011","0","1","1","0","1","【料理】骰子第1次只會丟出「2」，第2次只會丟出「7」","15"
"52012","0","1","1","0","1","【料理】骰子只會丟出\n「1・2・3」","16"
"52012","0","1","3","0","2","【料理】跳過下次的回合數計算","17"
"52014","0","1","1","0","8","【料理】移動時將可以跳過里程格。","18"
"52005","0","1","1","0","1","【料理】下次移動時，將多移動1格。","19"
"52014","2","1","1","2","1","【料理】下次移動時，將多移動1格。","20"
"52015","0","1","1","0","1","【料理】骰子增加成為兩個","21"
