fa1bd7a0531bcdae6442db6a41074d35071bd88ae03cbed75f40b726f91baeaf,edcab9f284990fe518ef3508a663e79baf17d4d6b2026bbf79807ae79596866d,e617830d21edce36e8b01ecca43cb623f22ae854c876704dc116cb5106fe8a20,5a5f7fe0ab384434fc6d412604af1408702cff04fcadf452cfcd3b82dd96f197,baf32150a566f36a1940c8c5c487bc39c88cb3d2ca84d052332d3fd2eb0cf3e7,8ffb2aeb2e295b57a8b5857cef16e816ced418338859b4720d65f2a31b2851dd,27a42cd8b95ffb2314ead0de98a09c25c414882de908af2ff1e6d89c3b13949a,23ee24a97dfed7b692fd76da330833a8a78e444d0ad718709db8aea6aafe84bf
"200","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","1","53001","未鑑定的\n平凡寶物","100","1","未鑑定的平凡寶物"
"400","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","2","53002","未鑑定的\n貴重寶物","200","1","未鑑定的貴重寶物"
"800","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。","3","53003","未鑑定的\n頂級寶物","400","1","未鑑定的頂級寶物"
"200","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","53004","平凡寶石","100","0","平凡寶石"
"400","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","53005","貴重寶石","200","0","貴重寶石"
"800","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","53006","頂級寶石","400","0","頂級寶石"
"200","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","53007","平凡金屬塊","100","0","平凡金屬塊"
"400","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","53008","貴重金屬塊","200","0","貴重金屬塊"
"800","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","53009","頂級金屬塊","400","0","頂級金屬塊"
"200","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","53010","平凡卷軸","100","0","平凡卷軸"
"400","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","53011","貴重卷軸","200","0","貴重卷軸"
"800","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","53012","頂級卷軸","400","0","頂級卷軸"
"200","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","53013","平凡皇冠","100","0","平凡皇冠"
"400","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","53014","貴重皇冠","200","0","貴重皇冠"
"800","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","53015","頂級皇冠","400","0","頂級皇冠"
"200","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","53016","平凡符文","100","0","平凡符文"
"400","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","53017","貴重符文","200","0","貴重符文"
"800","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","53018","頂級符文","400","0","頂級符文"
"200","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","53019","平凡王冠","100","0","平凡王冠"
"400","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","53020","貴重王冠","200","0","貴重王冠"
"800","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","53021","頂級王冠","400","0","頂級王冠"
"200","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","1","53022","平凡古遺物","100","0","平凡古遺物"
"400","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","2","53023","貴重古遺物","200","0","貴重古遺物"
"800","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","3","53024","頂級古遺物","400","0","頂級古遺物"
