94971dfadecf511dff6b5034fc82e4d6f1bec72bfaf5e73074c8b67669b98a69,d9cf323f3aef75323ecb6c94d2fde5e857bca04b35b815f78939a1ab02060a77,aa683f9ca99668724148ea870b14af88e28fb18fc8c22ba18daef27dc98fd221,b8717cefb4444ebb9d5ce06295b75a94bee87d427cdfbffc0448490469f3211f,b4cc9070c563f8608fcf0c6616fa05203160370ff76e808f985ecabd1755d95a,f98d0e49f51945765fb1d66965bbbd8fcf47e9e9418a9df41b3181d66e476253,4872b8ff5b55888c410f25feccc19ab4d9903876ee6fa31fdc2db2c2e80049f3,b2083c5a45fdc1e29f434e8d1487877410957af4e418fbb9dff432215b77ff48,55b7bc37a1d9ae75e507f589756393015e6342b635a1e10586c8d1e0d2622508,5c398c7d78667f65b8826d4748fb5584f412e754b71d953515b21a01f5c40ad5,e6f3f56aa145f5359d65066093d02a5a2e8f41ab492a3db2ac741a30188524e8
"109901","0","0","愛蜜莉雅","0","10153","0","1","0","1000","1"
"109701","0","0","雷姆","0","10153","0","1","0","1000","2"
"109801","0","0","拉姆","0","10153","0","1","0","1000","3"
"110001","0","0","鈴奈","0","20015","0","1","0","1000","1"
"110201","0","0","美咲","0","20015","0","1","0","1000","2"
"110801","0","0","克蘿依","0","20017","0","1","0","1000","1"
"110901","0","0","琪愛兒","0","20017","0","1","0","1000","2"
"111001","0","0","優妮","40","20017","0","1","0","1000","3"
"111301","0","0","美美","0","20018","0","1","0","1000","1"
"111101","0","0","鏡華","0","20018","0","1","0","1000","2"
"111201","0","0","禊","0","20018","0","1","0","1000","3"
"106601","0","0","祈梨","0","20019","0","1","0","1000","1"
"106501","0","0","嘉夜","0","20019","0","1","0","1000","2"
"111601","0","0","望","0","20020","0","1","0","1000","3"
"111501","0","0","克莉絲提娜","0","20020","0","1","0","1000","1"
"111701","0","0","伊莉亞","0","20020","0","1","0","1000","2"
"112201","0","0","霞","0","20022","0","1","0","1000","1"
"112301","0","0","栞","0","20022","0","1","0","1000","2"
"110901","0","0","琪愛兒","0","20023","0","1","0","1000","1"
"110801","0","0","克蘿依","0","20023","0","1","0","1000","2"
"111001","0","0","優妮","0","20023","0","1","0","1000","3"
"103301","0","0","真陽","0","20024","0","1","0","1000","1"
"102601","0","0","鈴","0","20024","0","1","0","1000","2"
"105201","0","0","莉瑪","0","20024","0","1","0","1000","3"
"103801","0","0","栞","0","20024","0","1","0","1000","4"
"112901","0","0","璃乃","0","20025","0","2","0","1000","1"
"113001","0","0","步未","0","20025","0","2","0","1000","2"
"900103","0","0","日和","0","20025","0","2","0","1000","3"
"906601","0","0","祈梨","0","20025","5042004","2","0","1000","4"
"106701","0","0","帆稀","-40","20025","5042004","2","-40","1000","5"
