5dc3a4fdaf8aab6104ba5fc480b908c0f31ef74af534af23a17ee28ed96c7c5a,4488283dfc33aed2b865a52e129eb7065b6ea372262efd887f005d349a7c9e8e,e4a9bcf61b337e3af5712f1b2dfc6009c96970e55f117212eb11b59de33de812,0aaceaf11a61df0ce37382122a1f0884e48f44c247ccc14c29b8475da5b53d22,64a3a7a2210f788f91d53f88885d95e8d0533510620da77e096af5ced1648314,216b374904d5c58690f512999a10fa0e0090b748880f1d834024cde418db11d4,eaf1cadccf82b24b3e9446036b60bd110005f1a9b24d3eecb3a1dccc28426ff0,d8f953742c5b4d908fb26ea97ba95ca5d70d2f5299d5297807acdadab955c800,edb74c1d05a3b16e08c7aebe97d204e1608e3bd8e58a8d01f086b24ef79faa80,a848bfad3cb5ac07a5b45bb44bee48a74341f25758d493f9eb7d7ba3af807846,0c56bb44ff0b4e899263c115585f153eb41eda4b6e88efad8bd59285e1eae02a,195a23d67e9ce4e009bdb6a278f759dcfb3ccbf63ae2b16742b8175745085383,df0c0c368a3ec432c3e8b0137ca27096dc0b873835f9dcc690d9a8cf4bceec03,476dd21d9458b67ce038c946fa4b3ddf917c2682b5324f7c20a88ea9651fbf86,bc820e49800a1aad8b6954594796125c09dec8edf55abe7d3004449d77fe128f,8c6d1b1bf3ff28281723308c50fc0068709ff78a23cd135044a2bda5256a90a1,edd299b9275c0d24ea079c354dd88986d3a7ae1115904da1e6af1719bf67fdf3,2d1df6d699381d1051b744571f58a6304b40a81a1915ecbd4349f907362c0f0a,c150dc0bb3d734505d8dd527e184997d0616cec371650ca4c68a4b0e94b52261
"1","90","6","-100","100701","105501","1","6","123001","103401","6","100701","100111","112201","6","100003","6","1001","0"
"1","90","6","-100","103401","100901","2","6","123001","103401","6","106601","100112","105101","6","100003","6","1001","0"
"1","90","6","-100","110301","110301","3","6","101801","113401","6","112701","100113","106901","6","100003","6","1001","0"
"2","90","5","-100","100201","117301","1","4","100201","103401","4","102901","100121","123001","4","100003","4","1001","0"
"2","90","4","-100","104001","105101","2","4","104001","117301","4","104801","100122","110301","4","100003","4","1001","0"
"2","90","4","-100","101401","118501","3","4","111001","118001","4","101401","100123","100801","4","100003","5","1001","0"
"3","90","3","-100","112201","112201","1","2","100801","117301","1","100701","100131","123001","1","100003","2","1001","0"
"3","90","1","-100","105501","103401","2","2","112201","106601","1","100501","100132","105501","2","100003","1","1001","0"
"3","90","2","-100","124501","113401","3","1","124501","104801","1","105401","100133","110301","3","100003","2","1001","0"
"1","90","6","-100","111401","117301","1","6","111401","103401","6","106601","100211","105001","6","100003","6","1002","0"
"1","90","6","-100","113401","113401","2","6","100801","105401","6","105201","100212","123001","6","100003","6","1002","0"
"1","90","6","-100","105501","105501","3","6","107701","103401","6","100501","100213","123001","6","100003","6","1002","0"
"2","90","4","-100","122801","124101","1","4","119001","103401","4","122801","100221","100901","4","100003","5","1002","0"
"2","90","4","-100","100501","103401","2","4","123001","100501","4","105201","100222","121101","5","100003","4","1002","0"
"2","90","5","-100","118501","105501","3","4","118501","103401","4","100701","100223","123001","5","100003","4","1002","0"
"3","90","1","-100","108901","103401","1","2","123001","108901","1","105201","100231","102601","3","100003","1","1002","0"
"3","90","2","-100","104801","113401","2","1","123001","102601","1","104801","100232","112201","3","100003","2","1002","0"
"3","90","2","-100","106001","100501","3","2","106001","114701","1","100701","100233","110301","7","100003","1","1002","0"
"1","90","6","-100","102901","103401","1","6","125101","122801","6","102901","100311","123001","6","100003","6","1003","0"
"1","90","6","-100","180301","180301","2","6","111001","106601","6","105401","100312","110301","6","100003","6","1003","0"
"1","90","6","-100","121401","123001","3","6","118501","121401","6","101401","100313","118001","6","100003","6","1003","0"
"2","90","4","-100","114701","103401","1","4","123001","106601","4","114701","100321","110301","5","100003","4","1003","0"
"2","90","5","-100","106901","110301","2","4","180201","117301","4","100701","100322","106901","4","100003","4","1003","0"
"2","90","4","-100","124501","105101","3","4","124501","117501","4","103401","100323","113401","5","100003","4","1003","0"
"3","90","1","-100","108101","117301","1","8","123001","108101","1","103401","100331","102601","3","100003","2","1003","0"
"3","90","2","-100","108201","112701","2","1","108201","103401","1","100701","100332","123501","8","100003","2","1003","0"
"3","90","1","-100","108301","101001","3","3","108301","123001","1","101401","100333","100801","8","100003","1","1003","0"
"1","90","6","-100","106601","103401","1","6","110301","106601","6","114701","100411","100901","6","100003","6","1004","0"
"1","90","6","-100","180401","105401","2","6","106901","100501","6","180401","100412","103401","6","100003","6","1004","0"
"1","90","6","-100","100801","101401","3","6","100801","105501","6","103401","100413","123001","6","100003","6","1004","0"
