bbc75610c902a196b6704801815463a9758bdbca51f1bab0ab665e7de5254d0a,2471e771227048b97baa76901cada143969e39b93840d68a9ac52d8543443fe4,26ef54dde7d2adbb252ef38524dd89db374ca1d62d1d5d52bb61da7df4627c95,cb98f3a24c2ebec68c9c27cc8c35d04380ca25985bda9d392c39dc084e78b81f,ec44d43c74a2dea7d5273716d0f4d6369fc15da79b607d1f1f88c3315f73cd83,7cf10310fecabc121a5327b1f9b16900cd87c443abb8b7137edc05db6393b002,aed47b814cda1a387c8e844791482065e716f434aaeb73a7f3d8ed97940e750c,f9047f49485463002306fafdec8827cb3a0a99c7edae6118d91dfd1d5a17d6bd,557f88cef0b1c61668158427700d3999c9de8ca447e0a4e22c14c7f0d8e28808,ad6c1266eff17800b127ceb2a69392af6d65d19f569b7d55230d031dab032967,2cdd820acbdaec3b1e99524ae580ef0d6ef310191d53e5c6d4f628fe0f723ba5,5dd2c70b5e08a9629e27f47686535098b33511cb67b5abfceced9811392e1c39,e6ed05936f7a5c12b45668c3a76252b71175efa7731d9b949f1e0fadc8fb08cd
"2018/09/21 15:59:59","bgm_M90","1","1","8","2018/08/22 16:00:00","2018/08/19 22:59:00","2","1001","0","1","2018/08/15 23:00:00","2018/08/20 22:59:00"
"2018/10/22 15:59:59","bgm_M97","1","2","9","2018/09/21 16:00:00","2018/09/18 22:59:00","2","1002","1001","1","2018/09/14 23:00:00","2018/09/19 22:59:00"
"2018/11/20 04:59:59","bgm_M104","1","1","10","2018/10/22 16:00:00","2018/10/19 22:59:00","2","1003","1002","1","2018/10/15 23:00:00","2018/10/20 22:59:00"
"2018/12/21 15:59:59","bgm_M115","1","2","11","2018/11/20 05:00:00","2018/11/17 11:59:00","2","1004","1003","1","2018/11/13 12:00:00","2018/11/18 11:59:00"
"2019/01/22 15:59:59","bgm_M119","1","1","12","2018/12/21 16:00:00","2018/12/18 22:59:00","2","1005","1004","1","2018/12/14 23:00:00","2018/12/19 22:59:00"
"2019/02/19 04:59:59","bgm_M132","1","2","1","2019/01/22 16:00:00","2019/01/19 22:59:00","2","1006","1005","1","2019/01/15 23:00:00","2019/01/20 22:59:00"
"2019/03/22 04:59:59","bgm_M139","1","1","2","2019/02/19 05:00:00","2019/02/16 11:59:00","2","1007","1006","1","2019/02/12 12:00:00","2019/02/17 11:59:00"
"2019/04/22 04:59:59","bgm_M166","1","2","3","2019/03/22 05:00:00","2019/03/19 11:59:00","2","1008","1007","1","2019/03/15 12:00:00","2019/03/20 11:59:00"
"2019/05/23 04:59:59","bgm_M175","1","1","4","2019/04/22 05:00:00","2019/04/19 11:59:00","2","1009","1008","1","2019/04/15 12:00:00","2019/04/20 11:59:00"
"2019/06/22 04:59:59","bgm_M181","1","2","5","2019/05/23 05:00:00","2019/05/20 11:59:00","2","1010","1009","1","2019/05/16 12:00:00","2019/05/21 11:59:00"
