e654b15a7f1dcbe7139b78490f6b3af5893c87d89bf09631314a5a8917ccf91b,678bc8710351abd77fe519a3cae658384e6b7017b065e766da5cb9fd66e85d39,1b53655d51e51bdba6cc583cfd5e2f1c54676f6e403efb263ef9c30f31da77fe,6fab89d315eb37b22948cc38adb1cab052a926cc18a47d12e28ecc344461ef79,50aaeafe6a71e28dd19b9abf1e264b3baaa27c06ea4dac3803a8db48c2a4ca60,4ef5349ae272d05994edb0fce49686f8ea288beab1da04b72e6d7af4ab6de5a4,82ad93201d86e14e8a5921145018084dbcf45b1fe32d904690f450cf4c15b9b0,55d0677f21bee78d7cb89829669dd70c96dbeffdb78a2003dc41130dc7d79c5a,247a44e0c592fbcc288bc1ed5bb6a64540fa42118dc3a5b38c17c09a6da4df95
"獨一無二的","1","1","0","3","2","1","1","1"
"完美無缺的","1","1","0","3","2","2","1","1"
"蘭德索爾最快的","1","1","1","3","2","3","1","1"
"明鏡止水的","1","1","0","3","2","4","1","1"
"史上最快的","1","1","0","3","2","5","1","1"
"最強最快的","1","1","0","3","2","6","1","1"
"極限的","1","1","2","3","2","7","1","1"
"一百分滿分","1","1","0","3","2","8","1","1"
"最優秀的","1","1","0","3","2","9","1","1"
"橫掃千軍的","1","1","0","3","2","10","1","1"
"獨一無二的","1","1","0","3","2","11","1","1"
"天下無雙的","1","1","0","3","2","12","1","1"
"泰然自若的","1","1","0","3","2","13","0","1"
"極度的","1","1","0","3","2","14","0","1"
"Light Speed","1","1","0","3","2","15","0","1"
"稀世的","1","1","0","3","2","16","0","1"
"極限的","1","1","0","3","2","17","0","1"
"至高的","1","1","0","3","2","18","0","1"
"閃耀的","1","1","0","3","2","19","0","1"
"千錘百鍊的","1","1","0","3","2","20","0","1"
"疾風迅雷的","1","1","0","3","2","21","0","1"
"電光石火的","1","1","0","3","2","22","0","1"
"變化自如的","1","1","0","3","2","23","1","0"
"空前絕後的","1","1","0","3","2","24","1","0"
"代表性的","1","1","0","3","2","25","1","0"
"音速的","1","1","0","3","2","26","1","0"
"超乎常理的","1","1","0","3","2","27","1","0"
"勇猛奮鬥的","1","1","0","3","2","28","1","0"
"勇猛果敢的","1","1","2","3","2","29","1","0"
"威風凜凜的","1","1","2","3","2","30","1","0"
"欲速則不達的","1","1","0","3","2","31","1","0"
"心態良好的","1","1","0","3","2","32","1","0"
"夢想的","1","1","0","3","2","33","0","0"
"佳的","1","1","0","3","2","34","0","0"
"一般般的","1","1","0","3","2","35","0","0"
"新手標記的","1","1","2","3","2","36","0","0"
"有未來的","1","1","0","3","2","37","0","0"
"新手的","1","1","0","3","2","38","0","0"
"初出茅廬的","1","1","0","3","2","39","0","0"
"慢慢的","1","1","0","3","2","40","0","0"
"新銳的","1","1","0","3","2","41","0","0"
"不屈不撓的","1","1","0","3","2","42","0","0"
"百折不撓的","1","1","0","3","2","43","0","0"
"努力的","1","1","0","3","2","44","0","0"
"被選中的","1","2","0","3","2","45","1","1"
"極限的","1","2","2","3","2","46","1","1"
"海藍色的","1","2","1","3","2","47","1","1"
"受海所愛的","1","2","2","3","2","48","1","1"
"統御大海的","1","2","2","3","2","49","1","1"
"傳說的","1","2","0","3","2","50","1","1"
"震撼世界的","1","2","2","3","2","51","1","1"
"超級狂野的","1","2","1","3","2","52","1","1"
"奇蹟般的","1","2","0","3","2","53","1","1"
"一馬當先的","1","2","2","3","2","54","1","1"
"無人能擋的","1","2","1","3","2","55","0","1"
"熱血沸騰的","1","2","2","3","2","56","0","1"
"百萬的","1","2","0","3","2","57","0","1"
"與生俱來的","1","2","1","3","2","58","0","1"
"大海的","1","2","0","3","2","59","0","1"
"腎上腺素全開的","1","2","1","3","2","60","0","1"
"大間產的","1","2","0","3","2","61","0","1"
"熟練的","1","2","0","3","2","62","0","1"
"身經百戰的","1","2","0","3","2","63","0","1"
"如魚得水的","1","2","0","3","2","64","0","1"
"巨大的","1","2","0","3","2","65","0","1"
"不簡單的","1","2","2","3","2","66","1","0"
