ce6910ed8d2395d31e64d8e00af38436c7d77aa22710a41c7544d3be2df07913,754d17758b8be7fa392cc68696231f1f7af5026f799362c6b0b32df408d07cc5,13f87fd1c1ac4aa720064debc5a38c5f546c5ab122c8023158ae0933ff7cd2aa
"15","10000101","2"
"15","10000201","1"
"25","10000401","1"
"50","10000601","3"
"15","10000801","2"
"15","10000901","1"
"25","10001001","3"
"10","10001101","2"
"25","10001501","3"
"15","10001502","1"
"15","20101001","1"
"50","20103001","3"
"25","20105001","2"
"25","20106001","1"
"25","20107001","3"
"25","20108001","2"
"25","20112001","3"
"50","20112002","1"
"30","20115001","1"
"75","20117001","3"
"50","20119001","2"
"50","20120001","1"
"30","20121001","3"
"50","20122001","2"
"30","20126001","3"
"50","20126002","1"
"50","20129001","2"
"50","20131001","1"
"100","20133001","3"
"50","20135001","2"
"50","20136001","1"
"50","20137001","3"
"50","20138001","2"
"50","20142001","3"
"50","20142002","1"
"100","20145001","1"
"100","20146001","3"
"75","20147001","2"
"200","20150001","1"
