cf179139ffa63a31f3f26d7e8b38a13f587c953cc748435f471b2771d97319ca,2d75d2e28a981f2efd71c634997930b4cbf99a069745d960cf6a70ffa62091b9,2e1c24ba659d0b6b9caee57f5550688bf0b06eb47398e5624218d3cd6becbc89,c459b22acd44c1183486bda23ca88e289b644d03263cba0c2a30a57692e35ebe,0285d57d7137611a4b7462bbe4bb7c4d5788cbac63a44c9ab6c56f359adf6ea2,1c02e8d8212067aee995c21fc2edd9db7af0549baa8c6caf2193a467d7983c0b
"212","803100263","211","3001","1","2146041"
"212","803100263","211","3002","1","2146042"
"212","803100263","211","3003","1","2146043"
"212","803100263","211","3004","1","2146044"
"212","803100272","213","3006","1","2147041"
"212","803100272","213","3007","1","2147042"
"313","803100253","202","30011","1","2145039"
"302","803100253","105","30012","0","2145040"
"311","803100256","204","30021","1","2145069"
"312","803100256","205","30022","1","2145070"
"310","803100259","212","30031","1","2145099"
"301","803100259","107","30032","0","2145100"
"307","803100262","110","30041","0","2146039"
"302","803100262","105","30042","0","2146040"
"314","803100267","203","30051","1","2146081"
"312","803100269","205","30061","1","2147019"
"303","803100269","106","30062","0","2147020"
"313","803100271","202","30071","1","2147039"
"310","803100271","212","30072","1","2147040"
"100","803100251","104","300101","0","2145011"
"100","803100251","104","300102","0","2145012"
"102","803100251","105","300103","0","2145013"
"100","803100251","104","300104","0","2145014"
"102","803100251","105","300105","0","2145015"
"103","803100251","106","300106","0","2145016"
"102","803100251","105","300107","0","2145017"
"103","803100251","106","300108","0","2145018"
"111","803100251","204","300109","1","2145019"
"100","803100251","104","300110","0","2145020"
"100","803100252","104","300111","0","2145021"
"102","803100252","105","300112","0","2145022"
"100","803100252","104","300113","0","2145023"
"102","803100252","105","300114","0","2145024"
"103","803100252","106","300115","0","2145025"
"102","803100252","105","300116","0","2145026"
"103","803100252","106","300117","0","2145027"
"111","803100252","204","300118","1","2145028"
"100","803100252","104","300119","0","2145029"
"100","803100252","104","300120","0","2145030"
"102","803100253","105","300121","0","2145031"
"100","803100253","104","300122","0","2145032"
"102","803100253","105","300123","0","2145033"
"112","803100253","208","300124","1","2145034"
"110","803100253","212","300125","1","2145035"
"100","803100253","104","300126","0","2145036"
"102","803100253","105","300127","0","2145037"
"103","803100253","106","300128","0","2145038"
"101","803100254","107","300201","0","2145041"
"101","803100254","107","300202","0","2145042"
"102","803100254","105","300203","0","2145043"
"103","803100254","106","300204","0","2145044"
"113","803100254","202","300205","1","2145045"
"114","803100254","203","300206","1","2145046"
"101","803100254","107","300207","0","2145047"
"113","803100254","202","300208","1","2145048"
"114","803100254","203","300209","1","2145049"
"101","803100254","107","300210","0","2145050"
"101","803100255","107","300211","0","2145051"
"102","803100255","105","300212","0","2145052"
"103","803100255","106","300213","0","2145053"
"113","803100255","202","300214","1","2145054"
"114","803100255","203","300215","1","2145055"
"101","803100255","107","300216","0","2145056"
"113","803100255","202","300217","1","2145057"
"114","803100255","203","300218","1","2145058"
"101","803100255","107","300219","0","2145059"
"101","803100255","107","300220","0","2145060"
"102","803100256","105","300221","0","2145061"
"103","803100256","106","300222","0","2145062"
"101","803100256","107","300223","0","2145063"
"112","803100256","208","300224","1","2145064"
"110","803100256","212","300225","1","2145065"
"102","803100256","105","300226","0","2145066"
"103","803100256","106","300227","0","2145067"
"101","803100256","107","300228","0","2145068"
"100","803100257","104","300301","0","2145071"
"101","803100257","107","300302","0","2145072"
"101","803100257","107","300303","0","2145073"
"113","803100257","202","300304","1","2145074"
"114","803100257","203","300305","1","2145075"
"100","803100257","104","300306","0","2145076"
"101","803100257","107","300307","0","2145077"
"111","803100257","204","300308","1","2145078"
"112","803100257","205","300309","1","2145079"
"100","803100257","104","300310","0","2145080"
"101","803100258","107","300311","0","2145081"
"101","803100258","107","300312","0","2145082"
"113","803100258","202","300313","1","2145083"
"114","803100258","203","300314","1","2145084"
"100","803100258","104","300315","0","2145085"
"101","803100258","107","300316","0","2145086"
"111","803100258","204","300317","1","2145087"
"112","803100258","205","300318","1","2145088"
"100","803100258","104","300319","0","2145089"
"101","803100258","107","300320","0","2145090"
"100","803100259","104","300321","0","2145091"
"101","803100259","107","300322","0","2145092"
"113","803100259","202","300323","1","2145093"
"112","803100259","208","300324","1","2145094"
"100","803100259","104","300325","0","2145095"
"101","803100259","107","300326","0","2145096"
"111","803100259","204","300327","1","2145097"
"112","803100259","205","300328","1","2145098"
"102","803100260","105","300401","0","2146011"
"102","803100260","105","300402","0","2146012"
"113","803100260","202","300403","1","2146013"
"114","803100260","203","300404","1","2146014"
"102","803100260","105","300405","0","2146015"
"113","803100260","202","300406","1","2146016"
"114","803100260","203","300407","1","2146017"
"102","803100260","105","300408","0","2146018"
"102","803100260","105","300409","0","2146019"
"102","803100260","105","300410","0","2146020"
"102","803100261","105","300411","0","2146021"
"113","803100261","202","300412","1","2146022"
"114","803100261","203","300413","1","2146023"
"102","803100261","105","300414","0","2146024"
"113","803100261","202","300415","1","2146025"
"114","803100261","203","300416","1","2146026"
"102","803100261","105","300417","0","2146027"
"102","803100261","105","300418","0","2146028"
"113","803100261","202","300419","1","2146029"
"113","803100261","202","300420","1","2146030"
"113","803100262","202","300421","1","2146031"
"114","803100262","203","300422","1","2146032"
"102","803100262","105","300423","0","2146033"
"112","803100262","208","300424","1","2146034"
"110","803100262","212","300425","1","2146035"
"113","803100262","202","300426","1","2146036"
"113","803100262","202","300427","1","2146037"
"102","803100262","105","300428","0","2146038"
"100","803100264","104","300501","0","2146051"
"100","803100264","104","300502","0","2146052"
"100","803100264","104","300503","0","2146053"
"100","803100264","104","300504","0","2146054"
"102","803100264","105","300505","0","2146055"
"103","803100264","106","300506","0","2146056"
"100","803100264","104","300507","0","2146057"
"100","803100264","104","300508","0","2146058"
"102","803100264","105","300509","0","2146059"
"103","803100264","106","300510","0","2146060"
"100","803100265","104","300511","0","2146061"
"100","803100265","104","300512","0","2146062"
"100","803100265","104","300513","0","2146063"
"100","803100265","104","300514","0","2146064"
"102","803100265","105","300515","0","2146065"
"103","803100265","106","300516","0","2146066"
"100","803100265","104","300517","0","2146067"
"100","803100265","104","300518","0","2146068"
"102","803100265","105","300519","0","2146069"
"103","803100265","106","300520","0","2146070"
"100","803100266","104","300521","0","2146071"
"100","803100266","104","300522","0","2146072"
"113","803100266","202","300523","1","2146073"
"114","803100266","203","300524","1","2146074"
"100","803100266","104","300525","0","2146075"
"112","803100266","208","300526","1","2146076"
"110","803100266","212","300527","1","2146077"
"113","803100266","202","300528","1","2146078"
"114","803100266","203","300529","1","2146079"
"100","803100266","104","300530","0","2146080"
"114","803100268","203","300601","1","2146091"
"113","803100268","202","300602","1","2146092"
"102","803100268","105","300603","0","2146093"
"114","803100268","203","300604","1","2146094"
"103","803100268","106","300605","0","2146095"
"114","803100268","203","300606","1","2146096"
"111","803100268","204","300607","1","2146097"
"114","803100268","203","300608","1","2146098"
"113","803100268","202","300609","1","2146099"
"102","803100268","105","300610","0","2146100"
"114","803100269","203","300611","1","2147011"
"103","803100269","106","300612","0","2147012"
"114","803100269","203","300613","1","2147013"
"111","803100269","204","300614","1","2147014"
"110","803100269","212","300615","1","2147015"
"114","803100269","203","300616","1","2147016"
"102","803100269","105","300617","0","2147017"
"103","803100269","106","300618","0","2147018"
"111","803100270","204","300701","1","2147021"
"100","803100270","104","300702","0","2147022"
