26e5ef41919006fb280c01c769fba1a25373e97594019bb055a67d0e0167d11b,607bcaa1fc928c5f295fa31a1742f22a5b948f5c0b569cb128292b5682916256,9a5ea0075ef5ea765bbf3529fbe1c613b5c124dd4a6ced2a4ac9a76287f9ea20,c8089054d11496eb74835a316fe2c64be9a234a24e56b36868e2c548caf5a7ec,04711ada01b063e34e5328b2b7c3101f8b228e989c5f43f7370df06106b71aa6,6446f59b7b82f3ecf28313a0a38b6cded94d87508442c42d8160e801daf56cf4
"1","1","vo_caravan_105801_start_001","11101","vo_caravan","1"
"1","1","vo_caravan_105801_start_002","11102","vo_caravan","1"
"1","2","vo_caravan_105901_start_001","12101","vo_caravan","1"
"1","2","vo_caravan_105901_start_002","12102","vo_caravan","1"
"1","3","vo_caravan_106001_start_001","13101","vo_caravan","1"
"1","3","vo_caravan_106001_start_002","13102","vo_caravan","1"
"1","4","vo_caravan_106401_start_001","14101","vo_caravan","1"
"1","4","vo_caravan_106401_start_002","14102","vo_caravan","1"
"2","1","vo_caravan_105801_dice_001","21101","vo_caravan","1"
"2","1","vo_caravan_105801_dice_002","21102","vo_caravan","1"
"2","2","vo_caravan_105901_dice_001","22101","vo_caravan","1"
"2","2","vo_caravan_105901_dice_002","22102","vo_caravan","1"
"2","3","vo_caravan_106001_dice_001","23101","vo_caravan","1"
"2","3","vo_caravan_106001_dice_002","23102","vo_caravan","1"
"2","4","vo_caravan_106401_dice_001","24101","vo_caravan","1"
"2","4","vo_caravan_106401_dice_002","24102","vo_caravan","1"
"3","1","vo_caravan_105801_slot_001","31101","vo_caravan","1"
"3","2","vo_caravan_105901_slot_001","32101","vo_caravan","1"
"3","3","vo_caravan_106001_slot_001","33101","vo_caravan","1"
"3","4","vo_caravan_106401_slot_001","34101","vo_caravan","1"
"4","1","vo_caravan_105801_dish_001","41101","vo_caravan","1"
"4","1","vo_caravan_105801_dish_002","41102","vo_caravan","1"
"4","2","vo_caravan_105901_dish_001","42101","vo_caravan","1"
"4","2","vo_caravan_105901_dish_002","42102","vo_caravan","1"
"4","1","se_caravan_food_peko","42201","se_caravan","2"
"4","2","se_caravan_food_coccoro","42202","se_caravan","2"
"4","3","se_caravan_food_kyaru","42203","se_caravan","2"
"4","4","se_caravan_food_coccoro","42204","se_caravan","2"
"4","100","se_caravan_food_onigiri","42205","se_caravan","2"
"4","3","vo_caravan_106001_dish_001","43101","vo_caravan","1"
"4","3","vo_caravan_106001_dish_002","43102","vo_caravan","1"
"4","4","vo_caravan_106401_dish_001","44101","vo_caravan","1"
"4","4","vo_caravan_106401_dish_002","44102","vo_caravan","1"
"4","100","vo_caravan_onigiri_dish_001","45101","vo_caravan","1"
"6","0","vo_caravan_105801_goal_001","61101","vo_caravan","1"
"61","0","vo_caravan_105801_win_001","61201","vo_caravan","1"
"62","0","vo_caravan_105801_lose_001","61301","vo_caravan","1"
"6","0","vo_caravan_105901_goal_001","62101","vo_caravan","1"
"61","0","vo_caravan_105901_win_001","62201","vo_caravan","1"
"62","0","vo_caravan_105901_lose_001","62301","vo_caravan","1"
"6","0","vo_caravan_106001_goal_001","63101","vo_caravan","1"
"61","0","vo_caravan_106001_win_001","63201","vo_caravan","1"
"62","0","vo_caravan_106001_lose_001","63301","vo_caravan","1"
"6","0","vo_caravan_118501_goal_001","64101","vo_caravan","1"
"6","0","vo_caravan_106401_goal_001","65101","vo_caravan","1"
"61","0","vo_caravan_106401_win_001","65201","vo_caravan","1"
"62","0","vo_caravan_106401_lose_001","65301","vo_caravan","1"
"7","0","vo_caravan_105801_appraise_001","71101","vo_caravan","1"
"7","0","vo_caravan_105901_appraise_001","72101","vo_caravan","1"
"7","0","vo_caravan_106001_appraise_001","73101","vo_caravan","1"
"7","0","vo_caravan_106401_appraise_001","74101","vo_caravan","1"
"8","0","vo_caravan_105801_result_001","81101","vo_caravan","1"
"8","0","vo_caravan_105901_result_001","82101","vo_caravan","1"
"8","0","vo_caravan_106001_result_001","83101","vo_caravan","1"
"8","0","vo_caravan_106401_result_001","84101","vo_caravan","1"
"2","11","vo_caravan_319700_dice_001","211101","vo_caravan","1"
"2","11","vo_caravan_319700_dice_002","211102","vo_caravan","1"
"2","12","vo_caravan_319800_dice_001","212101","vo_caravan","1"
"2","12","vo_caravan_319800_dice_002","212102","vo_caravan","1"
"2","13","vo_caravan_319900_dice_001","213101","vo_caravan","1"
"2","13","vo_caravan_319900_dice_002","213102","vo_caravan","1"
