69bcb0ed754c41f3c686b0a782bb05f254e86849cfbfd7899c7303a411d499d8,21b4e5ed46a14b225325bfbb8f6cb9246e36c2d941cec39677df94a7f3d02c99,975fa7512e62c4c003df5d75e950f8a0b1305d94ce81daeee61fe223261346a6,7ad86a9057439dab8af0c5e030c732120048646718f8bac08b4010cd5ab1753c,d42d50db2495dcf5f760061ade9d80e58bce834930a4115ead1fbfb450b01133,a3472bc378c6c8ec61c649b98d9a7176ac8c19db1afa924881a2ea2314389bd8,8db8c485abf3c915c310650f687348d101a7aa59c5a999c5977f36fd45afa924,af19795347366397c2cd684f4a7da96d452ecf6bfa5625ed28bf4cb10b940a6a,4d3fd0310e420e80c652057a73ea464c7a83b89d0fd9aa88109c07990eb45cbc,8fc5e7a8d489a9a5365776ac0256346fe50a7717c63ccaa2aecb6d7b8347f050,eb300eacf24c57aa12f920c9dd9d66e290491612894609ec53db7ceb595be11d
"1001501","1","850","cmn_talk_def_N","400","1.5","1","-220","1001501001","1","100111"
"1001501","8","0","","0","1","","1","1001501002","31","8"
"1001501","7","0","","0","1","","1","1001501003","31","7"
"1001501","47","0","","0","1","","1","1001501004","31","47"
"1001501","3","0","","0","1","","1","1001501005","31","3"
"1001501","2","0","","0","1","","1","1001501006","31","2"
"1001501","1","0","","0","1","","1","1001501007","31","1"
"1001501","12","0","","0","0","","1","1001501008","31","12"
"1001501","100111","1","","","0.3","","","1001501009","3","blb_run_01"
"1001501","100111","-220","","1.3","","","0","1001501010","2","90"
"1001501","bgm_M321","0","","0","","","","1001501011","25","bgm_M321_2C"
"1001501","0","1.25","","1.25","0","","0","1001501012","121","0"
"1001501","12","0","","0","1","","1","1001501013","32","1"
"1001501","se_common","0","","0","","","","1001501014","23","se_sys_login_birthday_new_01"
"1001501","1.3","","","","","","","1001501015","93",""
"1001501","100111","0","","blb_idle","0.05","0.3","0","1001501016","3","blb_stop"
"1001501","100111","-220","","0.25","","","0","1001501017","2","80"
"1001501","1.4","","","","","","","1001501018","93",""
"1001501","0","1.4","","1.4","3","","1","1001501019","121","0"
"1001501","1","","","","","","","1001501020","131",""
"1001501","100111","0","","blb_idle","0.3","0.3","1","1001501021","3","blb_blowout_02"
"1001501","0.7","","","","","","","1001501022","93",""
"1001501","12","0","","0","1","","1","1001501023","32","0"
"1001501","13","0","","0","1","","1","1001501024","31","13"
"1001501","0.2","","","","","","","1001501025","93",""
"1001501","se_common","0","","0","","","","1001501026","23","se_sys_login_birthday_blow_candle"
"1001501","1.2","","","","","","","1001501027","93",""
"1001501","se_adv_tickle_02","0","","0","","","","1001501028","23","se_adv_tickle_02"
"1001501","4","0","","0","1","","1","1001501029","31","4"
"1001501","1","","","","","","","1001501030","93",""
"1001501","se_common","0","","0","","","","1001501031","23","se_sys_login_birthday_02"
"1001501","100111","1","","","0.3","","0","1001501032","3","blb_idle"
"1001501","1.05","","","","","","","1001501033","93",""
"1001501","se_common","0","","0","","","","1001501034","23","se_sys_login_birthday_cracker"
"1001501","6","0","","0","1","","1","1001501035","31","6"
"1001501","100111","0","","blb_wish_02","0","","1","1001501036","3","blb_joy_02"
"1001501","2","","","","","","","1001501037","93",""
"1001501","vo_adv_1001501","0","","0","","","","1001501038","21","vo_adv_1001501_000"
"1001501","100111","","","","","","","1001501039","13","870"
"1001501","100111","5","","1","0","0","1","1001501040","11","謝謝你，騎士先生！\n沒想到你會幫我慶生，\n我真的非常開心！"
"1001501","0","","","","","","","1001501041","91",""
"1001501","vo_adv_1001501","0","","0","","","","1001501042","21","vo_adv_1001501_001"
"1001501","100111","6","","1","0","0","1","1001501043","11","你偷偷準備，\n就是要給我驚喜嗎？\n我真的有被嚇到呢！"
"1001501","0","","","","","","","1001501044","91",""
"1001501","vo_adv_1001501","0","","0","","","","1001501045","21","vo_adv_1001501_002"
