9df9caac7d3dc4e64d5f2cd1a03e57cf27fa594bb2c3b45f261c952027ddec9e,523a801fd000e9bcf698ca1def4cc380b62f7e2e98eb1ed07fde685378eaccdc,20e329e29ea6d3ce55a251dc9a0e648a8e23e79a6c3a5ab30505565f0d60f459,b13f85f939c988a0298219c689447038fe391f967409007a1ba686dc0b2642fc,8233a5a434066fae0f6c0397988e8942b63ffd91ca10e8ce7e14713effc10b24,fe6e4ada81e535efd6392a6e282ef5640ec394cd1a8766170bc26e089fe91e1c,55aa9556ebabb345c409fb11a97da3594ad89b1b10a1060bdd84e8e82bdafc2a,53bc86d232e82acb7a57d42f0a3768e6b7109d4c8bc1d9de2ed9da0038a03d49,6893191b0625bff6ec810146038cc6247d3f031d358f56f1fe30e4d3597d0a0d,e659d0f1590fdacff2e9a45467302118cc2b062b0d1da3c58e56df7f5b7b35cf,81b22048db4a3eeb77fc382a8a49a34b8c68226de6427cef2720b4e3919f901f
"105811","-225","-278","61001","1","1","1.8","5146061","idle_normal","0","100"
"1058","-225","-278","61002","6","5","1.8","5146061","idle_normal","0","101"
"105911","-385","-288","61003","1","1","1.8","5146061","kokkoro_idle_normal","0","103"
"1059","-385","-288","61004","3","5","1.8","5146061","kokkoro_idle_normal","0","104"
"106011","290","-278","61005","1","1","1.8","5146061","idle_normal","1","106"
"1060","290","-278","61006","4","5","1.8","5146061","idle_normal","1","107"
"200","","","61007","105811","13","","5146061","","",""
"203","","","61008","105911","13","","5146061","","",""
"206","","","61009","106011","13","","5146061","","",""
"7","0","-174","61010","7","5","0.85","5146061","idle","0","15"
"201","290","8","61011","20","5","1","5146061","empty","0","210"
"202","0","-78","61012","20","5","1","5146061","empty","0","211"
"203","-315","16","61013","20","5","1","5146061","empty","0","210"
"21","0","153","61014","21","5","1","5146061","empty","0","60"
"1","0","1","61015","1","31","1","5146061","","","0"
"2","-57.7","1","61016","2","31","0","5146061","","","0"
"10","0","1","61017","10","31","0","5146061","","","0"
"11","0","1","61018","11","31","0","5146061","","","0"
"0","","","61019","0","91","","5146061","","",""
"0","","","61020","0","102","","5146061","","","0"
"0","","","61021","1","93","","5146061","","",""
"doya_in_shy","doya_talk_shy","1","61022","106011","3","0.2","5146061","","0","0"
"doya_in_shy","doya_talk_shy","1","61023","1060","3","0.2","5146061","","0","0"
"vo_apg_0101","0","","61024","vo_apg","21","","5146061","","","0"
"搭乘雲霄飛車時的\n魔法拍攝服務？\n哼，擅自拍下別人毫無防備的照片，\n之後再進行推銷，真是無聊！","1","1","61025","106011","11","0","5146061","0","0","8"
"","","","61026","0","91","","5146061","","",""
"1","","","61027","2","32","","5146061","","",""
"fade105_in","","","61028","2","37","","5146061","","",""
"0","","","61029","106011","4","","5146061","","",""
"0","","","61030","1060","4","","5146061","","",""
"sad_idle_dere_shy","","","61031","106011","3","0.5","5146061","","","1"
"sad_idle_dere_shy","","","61032","1060","3","0.5","5146061","","","1"
"vo_apg_0102","0","","61033","vo_apg","21","","5146061","","","0"
"0102_in","","","61034","201","3","0","5146061","","","0"
"1","","","61035","4.6","93","","5146061","","",""
"0102_mid","","","61036","201","3","0","5146061","","","0"
"","","","61037","","92","","5146061","","",""
"0102_out","","","61038","201","3","0","5146061","","","0"
"0","","","61039","0.2","93","","5146061","","",""
"kyaru_smile_in","kyaru_smile_idle","1","61040","106011","3","0.2","5146061","","0","0"
"kyaru_smile_in","kyaru_smile_idle","1","61041","1060","3","0.2","5146061","","0","0"
"vo_apg_0103","0","","61042","vo_apg","21","","5146061","","","0"
"0103_in","","","61043","201","3","0","5146061","","","0"
"1","","","61044","5.4","93","","5146061","","",""
"0103_mid","","","61045","201","3","0","5146061","","","0"
"","","","61046","","92","","5146061","","",""
"0103_out","","","61047","201","3","0","5146061","","","0"
"0","","","61048","0.2","93","","5146061","","",""
"fade105_out","","","61049","2","37","","5146061","","",""
"1","","","61050","105811","4","","5146061","","",""
"1","","","61051","1058","4","","5146061","","",""
"surprise_talk","","","61052","105811","3","0.2","5146061","","","1"
"surprise_talk","","","61053","1058","3","0.2","5146061","","","1"
"vo_apg_0104","0","","61054","vo_apg","21","","5146061","","","0"
"……小凱留，\n不想被拍進照片嗎……？","1","1","61055","105811","11","0","5146061","0","0","7"
"","","","61056","0","91","","5146061","","",""
"surprise_idle_talk1R","","","61057","105811","3","0.2","5146061","","","1"
"surprise_idle_talk1R","","","61058","1058","3","0.2","5146061","","","1"
"kokkoro_surprise_talk","","","61059","105911","3","0.2","5146061","","","1"
"kokkoro_surprise_talk","","","61060","1059","3","0.2","5146061","","","1"
"vo_apg_0105","0","","61061","vo_apg","21","","5146061","","","0"
"是的，\n看來是這樣沒錯。","1","1","61062","105911","11","0","5146061","0","0","7"
"","","","61063","0","91","","5146061","","",""
"kokkoro_idle_normal","","","61064","105911","3","0.2","5146061","","","1"
"kokkoro_idle_normal","","","61065","1059","3","0.2","5146061","","","1"
"idle_normal_talk1R","","","61066","105811","3","0.2","5146061","","","1"
"idle_normal_talk1R","","","61067","1058","3","0.2","5146061","","","1"
"0","","","61068","105811","4","","5146061","","",""
"0","","","61069","1058","4","","5146061","","",""
"1","","","61070","106011","4","","5146061","","",""
"1","","","61071","1060","4","","5146061","","",""
"cool_in_sing_shy","cool_talk_sing_shy","1","61072","106011","3","0.2","5146061","","0","0"
"cool_in_sing_shy","cool_talk_sing_shy","1","61073","1060","3","0.2","5146061","","0","0"
"vo_apg_0106","0","","61074","vo_apg","21","","5146061","","","0"
"喂，我們快點去搭啦～\n唉～討厭討厭……呵呵呵。","1","1","61075","106011","11","0","5146061","0","0","10"
"","","","61076","0","91","","5146061","","",""
"0","","","61077","0","22","","5146061","","",""
"walk_kyapi_shy","","","61078","106011","3","0.2","5146061","","","1"
"walk_kyapi_shy","","","61079","1060","3","0.2","5146061","","","1"
"walk_furimuki","","","61080","105811","3","0.2","5146061","","","1"
"walk_furimuki","","","61081","1058","3","0.2","5146061","","","1"
"kokkoro_walk_surprise","","","61082","105911","3","0.2","5146061","","","1"
"kokkoro_walk_surprise","","","61083","1059","3","0.2","5146061","","","1"
"149","2","0","61084","106011","2","","5146061","","","-278"
"149","2","0","61085","1060","2","","5146061","","","-278"
"-54","2","0","61086","105811","2","","5146061","","","-278"
"-54","2","0","61087","1058","2","","5146061","","","-278"
"-214","2","0","61088","105911","2","","5146061","","","-288"
"-214","2","0","61089","1059","2","","5146061","","","-288"
"0","","","61090","1","93","","5146061","","",""
"iris_in","","","61091","2","37","","5146061","","",""
"0","","","61092","2","93","","5146061","","",""
"se_10055900_coaster_02","","","61093","se_10055900","23","","5146061","","","1"
"1","","","61094","10","32","","5146061","","",""
"30","","","61095","30","122","","5146061","","","0.5"
"vo_apg_0107","0","","61096","vo_apg","21","","5146061","","","0"
"0107_in","","","61097","202","3","0","5146061","","","0"
"1","","","61098","0.7","93","","5146061","","",""
"0107_mid","","","61099","202","3","0","5146061","","","0"
"","","","61100","","92","","5146061","","",""
"0107_out","","","61101","202","3","0","5146061","","","0"
"0","","","61102","0.2","93","","5146061","","",""
"0","0","0","61103","202","2","","5146061","","","-211"
"30","","","61104","30","122","","5146061","","","0.5"
"vo_apg_0108","0","","61105","vo_apg","21","","5146061","","","0"
"0108_in","","","61106","203","3","0","5146061","","","0"
"1","","","61107","0.8","93","","5146061","","",""
"0108_mid","","","61108","203","3","0","5146061","","","0"
"","","","61109","","92","","5146061","","",""
"0108_out","","","61110","203","3","0","5146061","","","0"
"0","","","61111","0.2","93","","5146061","","",""
"315","0","0","61112","201","2","","5146061","","","16"
"30","","","61113","30","122","","5146061","","","0.5"
"vo_apg_0109","0","","61114","vo_apg","21","","5146061","","","0"
"0109_in","","","61115","201","3","0","5146061","","","0"
"1","","","61116","1.1","93","","5146061","","",""
"0109_mid","","","61117","201","3","0","5146061","","","0"
"","","","61118","","92","","5146061","","",""
"0109_out","","","61119","201","3","0","5146061","","","0"
"0","","","61120","0.2","93","","5146061","","",""
"30","","","61121","30","122","","5146061","","","0.5"
"vo_apg_0110","0","","61122","vo_apg","21","","5146061","","","0"
"0107_in","","","61123","202","3","0","5146061","","","0"
"0108_in","","","61124","203","3","0","5146061","","","0"
"0109_in","","","61125","201","3","0","5146061","","","0"
"1","","","61126","1.1","93","","5146061","","",""
"0107_mid","","","61127","202","3","0","5146061","","","0"
"0108_mid","","","61128","203","3","0","5146061","","","0"
"0109_mid","","","61129","201","3","0","5146061","","","0"
"","","","61130","","92","","5146061","","",""
"0107_out","","","61131","202","3","0","5146061","","","0"
"0108_out","","","61132","203","3","0","5146061","","","0"
"0109_out","","","61133","201","3","0","5146061","","","0"
"0","","","61134","0.2","93","","5146061","","",""
"216","0","0","61135","201","2","","5146061","","","0"
"vo_apg_0111","0","","61136","vo_apg","21","","5146061","","","0"
"0111_in","","","61137","201","3","0","5146061","","","0"
"1","","","61138","1.8","93","","5146061","","",""
"0111_mid","","","61139","201","3","0","5146061","","","0"
"","","","61140","","92","","5146061","","",""
"0111_out","","","61141","201","3","0","5146061","","","0"
"0","","","61142","0.2","93","","5146061","","",""
"0","","","61143","0","22","","5146061","","",""
"","","","61144","0.5","93","","5146061","","",""
"1","","","61145","11","32","","5146061","","",""
"se_10055900_camera","","","61146","se_10055900","23","","5146061","","","0"
"0","","","61147","0.2","93","","5146061","","",""
"0","","","61148","10","32","","5146061","","",""
"0","","","61149","1.8","93","","5146061","","",""
"0.5","","","61150","se_10055900_coaster_02","24","","5146061","","",""
"iris_out","","","61151","2","37","","5146061","","",""
"129","0","0","61152","106011","2","","5146061","","","-278"
"129","0","0","61153","1060","2","","5146061","","","-278"
"-34","0","0","61154","105811","2","","5146061","","","-278"
"-34","0","0","61155","1058","2","","5146061","","","-278"
"-194","0","0","61156","105911","2","","5146061","","","-288"
"-194","0","0","61157","1059","2","","5146061","","","-288"
"walk_normal_dere2","","","61158","106011","3","0.2","5146061","","","1"
"walk_normal_dere2","","","61159","1060","3","0.2","5146061","","","1"
"walk_normal_joy","","","61160","105811","3","0.2","5146061","","","1"
"walk_normal_joy","","","61161","1058","3","0.2","5146061","","","1"
"kokkoro_walk_normal_dere","","","61162","105911","3","0.2","5146061","","","1"
"kokkoro_walk_normal_dere","","","61163","1059","3","0.2","5146061","","","1"
"290","2","0","61164","106011","2","","5146061","","","-278"
"290","2","0","61165","1060","2","","5146061","","","-278"
"-225","2","0","61166","105811","2","","5146061","","","-278"
"-225","2","0","61167","1058","2","","5146061","","","-278"
