493dea6ab6ed6fcebd84f6d313b8638a0f3c245914ff67ab9f3513f1374a5f82,3b93dcb093c83197ad4261c62f921ab742d8200cb26a88736e5652b032f86b11,fd9385eef8bdb93b617cc42fdbf333809b85b532840e61b594c8d19c52b37b9e,2a343595952ff8e1c2567aacfa41ed131ffc6ce45734c42e6a1bf5bda9efacbd,9d31701a46fcecac8149dd6f3b41c555bcccdfcb428e7a0ec605822df99505d3,65d0209de7464e4e3b02d314df4ef5fa11441fd3841bddfc15bbd267abbd38a3,febf730937e26f60815049c33c0dbabd82411f7dc12d5885205818f2d1441fef,45ac3762178a0d9a64dc5ae788dc07dbe49c31de55afb062e0842a6fe79c3ee4,752d8fd9087dd822b4370d3784e8d7d1f3fc2391f6510a6861e6f60a74b9acfc
"1001","100101","0","0","全難易度合計取得10000分","1001","10000","1","100101"
"1001","100102","0","0","全難易度合計取得30000分","1001","30000","1","100102"
"1001","100103","0","0","全難易度合計取得50000分","1001","50000","1","100103"
"1001","100104","0","0","全難易度合計取得70000分","1001","70000","1","100104"
"1001","100105","0","1","全難易度合計取得90000分","1001","90000","1","100105"
"1001","100106","0","1","全難易度合計取得105000分","1001","105000","1","100106"
"1001","100107","0","1","全難易度合計取得120000分","1001","120000","1","100107"
"1001","100108","0","1","全難易度合計取得135000分","1001","135000","1","100108"
"1001","100109","1","2","在NORMAL1難易度戰鬥1次","1002","0","1","100109"
"1001","100110","1","2","在NORMAL2難易度戰鬥1次","1003","0","1","100110"
"1001","100111","1","2","在NORMAL3難易度戰鬥1次","1004","0","1","100111"
"1001","100112","1","3","在NORMAL難易度取得10000分","1001","10000","1","100112"
"1001","100113","1","3","在NORMAL難易度取得20000分","1001","20000","1","100113"
"1001","100114","1","3","在NORMAL難易度取得30000分","1001","30000","1","100114"
"1001","100115","2","4","在HARD1難易度戰鬥1次","1002","0","1","100115"
"1001","100116","2","4","在HARD2難易度戰鬥1次","1003","0","1","100116"
"1001","100117","2","4","在HARD3難易度戰鬥1次","1004","0","1","100117"
"1001","100118","2","5","在HARD難易度取得15000分","1001","15000","1","100118"
"1001","100119","2","5","在HARD難易度取得30000分","1001","30000","1","100119"
"1001","100120","2","5","在HARD難易度取得45000分","1001","45000","1","100120"
