category,category_name,category_base,outline,recycle_item_id
"101","單手劍","red","#D23232","90009"
"102","雙手劍","red","#D23232","90009"
"103","短劍","red","#D23232","90009"
"104","槍","red","#D23232","90009"
"105","斧","red","#D23232","90009"
"106","弓","red","#D23232","90009"
"107","拳","red","#D23232","90009"
"108","盾","red","#D23232","90009"
"109","杖","red","#D23232","90009"
"110","書本","red","#D23232","90009"
"201","衣服","blue","#476FD8","90010"
"202","鎧甲","blue","#476FD8","90010"
"203","白長袍","blue","#476FD8","90010"
"204","黑長袍","blue","#476FD8","90010"
"301","戒指","yellow","#E5681E","90011"
"302","手鐲","yellow","#E5681E","90011"
"303","項鍊","yellow","#E5681E","90011"
"304","寶珠","yellow","#E5681E","90011"
"305","耳環","yellow","#E5681E","90011"
