b914939856c63a11a2a3e240cf82275f47444f95d6b555c8d08b077a74ac9b5c,e8a62e6805609c683dde2bdd256d2311f1db46ce1357a8c75acf4d2c3f15b75a,2fdadf2f62041e0b15a6f72b5e3cfa8bd874c8f6017e911efa5402b7efc9ca9e,da0b9ed6fed481f9f81319f73c05eeac10f1829408d790abe57af74cc0fe74ef,bba63f47bd68171eee789fdf6ca0c4225cbcc2305944c3bac85c3def7f0ed6b1,5c1472f9765181282db4b980c736dae7eb9aa079f8c3f8630478192ab1ca73a9,010ca75b30d633fcecd0dbd507a6bdaa79f1a6bc177b1cb83369285b7cf714a8,a74d654a12680654aedfccb10ff9478983d7eba61eb7107f0e868ef2a130b826,768f2771784bb97634cabf679fd35e69c1cbaba8063b6a6862260ea452f64836
"401707405","0","1","1","9","1","1","8010","401707405"
"74005101","0","8000","8000","36","8000","8000","8000","740051011"
"74005102","0","8000","8000","36","8000","8000","8000","740051021"
"74005103","0","8000","8000","36","8000","8000","8000","740051031"
"74005104","0","8000","8000","36","8000","8000","8000","740051041"
"74005105","0","8000","8000","36","8000","8000","8000","740051051"
"74005201","0","8000","8000","36","8000","8000","8000","740052011"
"74005202","0","8000","8000","36","8000","8000","8000","740052021"
"74005203","0","8000","8000","36","8000","8000","8000","740052031"
"74005204","0","8000","8000","36","8000","8000","8000","740052041"
"74005205","0","8000","8000","36","8000","8000","8000","740052051"
"74006101","0","8000","8000","36","8000","8000","8000","740061011"
"74006102","0","8000","8000","36","8000","8000","8000","740061021"
"74006103","0","8000","8000","36","8000","8000","8000","740061031"
"74006104","0","8000","8000","36","8000","8000","8000","740061041"
"74006105","0","8000","8000","36","8000","8000","8000","740061051"
"74006201","0","8000","8000","36","8000","8000","8000","740062011"
"74006202","0","8000","8000","36","8000","8000","8000","740062021"
"74006203","0","8000","8000","36","8000","8000","8000","740062031"
"74006204","0","8000","8000","36","8000","8000","8000","740062041"
"74006205","0","8000","8000","36","8000","8000","8000","740062051"
"74006502","0","8030","8030","36","8030","8030","8030","740065021"
"74006503","0","8010","8010","36","8010","8010","8010","740065031"
