283d1321077e34653c956a2115e7056fcd1da8951b5795d65c4e58bbbb890181,d20f1c28969165e84fccc291f0a0ab618cc5da451e49ad19dd25be249a8b2978,05d857454f7b5c7ff163f91b337b9f9264e66867fdd77b285c80c046380f504c,4a9cd8ccfc679d23b800c696f55ea29949f3807ae229f9b6f1edbf33cd004636,b0944846e9129558e35ca4484126211d172853398d3a56b4c05a9a649cdf244a
"91002","1","30109001","8","100"
"20002","2","30109001","2","10"
"91002","3","30109002","8","100"
"94002","4","30109002","12","40000"
"91002","5","30109003","8","300"
"91002","6","30109004","8","500"
"91002","7","30109005","8","500"
"94002","8","30109005","12","1000000"
"91002","9","30109006","8","500"
"94002","10","30109006","12","500000"
"91002","11","30110001","8","600"
"94002","12","30110006","12","200000"
