d196984187cdd9ee7fc5f57d23ab7aa23e20c05a977eaff2eb582aeea90d90f5,3a8b5323d93b6162a00ea0ecc291f9db1aa569b2fc3bb2bd625a61ffaa0d373c,7a66202544c95e77954db5ce463670f4329cda305396d8b8f7c278e4acc4374f,b6d97668de3ff65afa141d877a01ddb4f449ef2cf60ece49daad5479b3347631,cb469fa63ba6edf8a5560bab28f6689795f1a02760ff960dd4b52ac6bf1f2ca7,e2844ec47de79c2c2823d400a15693975c8ad897cfb3b58548c053f34a6a405a,ac1a2a994743dc2ff309016508a6e59b99fa03df0bf3fae37b26c7dc5ee4198e,17d473ebee82f0c5baff1d56a8bbd6b2066217d83046698cc87467e85be1b779,c0ba4b8e96e79806b7ad3e7b68cee6d85548b25e8247cd0eb1c55ada173dfd87,da28464f3bc7d2acce4ec603090df8d169c8a7580b0a6572c646a95de3d87bbe,0b78568d7d577d0cbce4a8e35ce7e8240eab79b73e781bf0c7a43d32821ea7b1
"1","1","1.8","-140","-190","1010001","0","1","omp_talk_worry","1500","112511"
"1","1","1.8","140","-190","1010002","1","1","omp_idle_normal","1500","112411"
"1","1","1","0","1","1010003","","31","","0","1"
"1","1","","","","1010004","","93","","",""
"vo_omp_7001","1","","0","","1010005","","21","","0","vo_omp_7001_000"
"112511","1","","1","1","1010006","","11","","10","卯月，還好嗎？\n連日在外露營會不會累？"
"0","1","","","","1010007","","91","","",""
"112511","1","0","","","1010008","","3","","1","omp_idle_worry"
"112411","1","0","","","1010009","","3","","1","omp_talk_joy1"
"vo_omp_7001","1","","0","","1010010","","21","","0","vo_omp_7001_001"
"112411","1","","1","1","1010011","","11","","10","嗯，我沒事！\n而且我也非常開心\n能夠和大家一起旅行。"
"0","1","","","","1010012","","91","","",""
"112411","1","0","","","1010013","","3","","1","omp_psn_20"
"112511","1","0","","","1010014","","3","","1","omp_talk_normal"
"vo_omp_7001","1","","0","","1010015","","21","","0","vo_omp_7001_002"
"112511","1","","1","1","1010016","","11","","10","這樣啊，\n卯月妳好像無論何時都很開心呢。"
"0","1","","","","1010017","","91","","",""
"112511","1","0","","","1010018","","3","","1","omp_idle_normal"
"112411","1","0","","","1010019","","3","","1","omp_talk_sad"
"vo_omp_7001","1","","0","","1010020","","21","","0","vo_omp_7001_003"
"112411","1","","1","1","1010021","","11","","10","難道說……\n小凜妳不開心嗎？"
"0","1","","","","1010022","","91","","",""
"112411","1","0","","","1010023","","3","","1","omp_idle_sad"
"112511","1","0","omp_idle_surprise1","1","1010024","0.1","3","","0","omp_surprise"
"vo_omp_7001","1","","0","","1010025","","21","","0","vo_omp_7001_004"
"112511","1","","1","1","1010026","","11","","10","咦？為什麼這麼說？\n沒那回事喔。\n我也……非常開心。"
"2.5","1","","","","1010027","","93","","","1"
"112511","1","0.2","","","1010028","","3","","1","omp_talk_normal"
"1010026","1","","","","1010029","","91","","",""
"112511","1","0","","","1010030","","3","","1","omp_idle_normal"
"112411","1","0","","","1010031","","3","","1","omp_talk_joy2"
"vo_omp_7001","1","","0","","1010032","","21","","0","vo_omp_7001_005"
"112411","1","","1","1","1010033","","11","","10","欸嘿嘿♪\n那麼妳就放心吧！\n小凜很開心的話，\n我也會很開心的！"
"0","1","","","","1010034","","91","","",""
"112511","1","","","","1010035","","4","","1","0"
"112411","1","0","","","1010036","","3","","1","omp_psn_20"
"112511","1","0","","","1010037","","3","","1","omp_idle_normal"
"vo_omp_7001","1","","0","","1010038","","21","","0","vo_omp_7001_006"
"112511","1","","1","1","1010039","","11","","10","明明是我在擔心妳……\n卻是我被妳所鼓勵，\n卯月妳果然很厲害呢……"
"0","1","","","","1010040","","91","","",""
"0.4","1","","","","1010041","","93","","",""
"1","2","1.8","-180","-195","1020001","0","1","omp_idle_normal","1600","112511"
"1","2","1.8","20","-190","1020002","1","1","omp_talk_normal","1500","112411"
"1","2","1.8","220","-205","1020003","1","1","omp_idle_normal","1600","112611"
"1","2","1","0","1","1020004","","31","","0","1"
"1","2","","","","1020005","","93","","",""
"vo_omp_7002","2","","0","","1020006","","21","","0","vo_omp_7002_000"
"112411","2","","1","1","1020007","","11","","10","貪吃佩可的魔物料理，\n真的很美味呢♪"
"0","2","","","","1020008","","91","","",""
"112411","2","","","","1020009","","4","","","0"
"112411","2","0","","","1020010","","3","","1","omp_idle_normal"
"112611","2","0","","","1020011","","3","","1","omp_talk_joy1"
"vo_omp_7002","2","","0","","1020012","","21","","0","vo_omp_7002_001"
"112611","2","","1","1","1020013","","11","","10","嗯！不但很美味，\n還有種冒險的醍醐味……\n讓人覺得是很棒的經驗呢！"
"0","2","","","","1020014","","91","","",""
"112611","2","0","","","1020015","","3","","1","omp_idle_joy1"
"112411","2","0","","","1020016","","3","","1","omp_talk_surprise1"
"vo_omp_7002","2","","0","","1020017","","21","","0","vo_omp_7002_002"
"112411","2","","1","1","1020018","","11","","10","可是很不可思議呢！\n外表長成那樣子的魔物，\n竟然能夠變身成一道道美食！"
"0","2","","","","1020019","","91","","",""
"112411","2","","","","1020020","","4","","","1"
"112411","2","0","","","1020021","","3","","1","omp_idle_surprise1"
"112511","2","0","","","1020022","","3","","1","omp_talk_normal"
"vo_omp_7002","2","","0","","1020023","","21","","0","vo_omp_7002_003"
"112511","2","","1","1","1020024","","11","","10","味道超乎想像呢，\n我是指好的方面。"
"0","2","","","","1020025","","91","","",""
"112511","2","0","","","1020026","","3","","1","omp_talk_sad"
"vo_omp_7002","2","","0","","1020027","","21","","0","vo_omp_7002_004"
"112511","2","","1","1","1020028","","11","","10","可是在料理魔物的時候，\n嗯，該怎麼說……"
"0","2","","","","1020029","","91","","",""
"112511","2","0","","","1020030","","3","","1","omp_idle_sad"
"112411","2","0","","","1020031","","3","","1","omp_talk_bitter"
"vo_omp_7002","2","","0","","1020032","","21","","0","vo_omp_7002_005"
"112411","2","","1","1","1020033","","11","","10","……很、很不得了呢！"
"0","2","","","","1020034","","91","","",""
"112411","2","0","","","1020035","","3","","1","omp_idle_bitter"
"112611","2","0","","","1020036","","3","","1","omp_talk_joy1"
"vo_omp_7002","2","","0","","1020037","","21","","0","vo_omp_7002_006"
"112611","2","","1","1","1020038","","11","","10","魔物料理就全權\n交給佩可小姐處理或許\n比較好呢。啊哈哈～"
"0","2","","","","1020039","","91","","",""
"112611","2","0","","","1020040","","3","","1","omp_idle_joy1"
"112511","2","0","","","1020041","","3","","1","omp_talk_bitter"
"vo_omp_7002","2","","0","","1020042","","21","","0","vo_omp_7002_007"
"112511","2","","1","1","1020043","","11","","10","冒險真是深奧呢……"
"0","2","","","","1020044","","91","","",""
"0.4","2","","","","1020045","","93","","",""
"1","3","1.8","-140","-190","1030001","0","1","omp_talk_joy1","1500","112411"
"1","3","1.8","140","-190","1030002","1","1","omp_idle_normal","1500","112611"
"1","3","1","0","1","1030003","","31","","0","1"
"1","3","","","","1030004","","93","","",""
"vo_omp_7003","3","","0","","1030005","","21","","0","vo_omp_7003_000"
"112411","3","","1","1","1030006","","11","","10","未央！\n這附近有各式各樣的魔物，\n好有趣呢！"
"0","3","","","","1030007","","91","","",""
"112411","3","0","","","1030008","","3","","1","omp_psn_20"
"112611","3","0","","","1030009","","3","","1","omp_psn_19"
"vo_omp_7003","3","","0","","1030010","","21","","0","vo_omp_7003_001"
"112611","3","","1","1","1030011","","11","","10","有、有趣嗎～？"
"0","3","","","","1030012","","91","","",""
"112611","3","0","","","1030013","","3","","1","omp_psn_18"
"112411","3","0","","","1030014","","3","","1","omp_talk_joy1"
"vo_omp_7003","3","","0","","1030015","","21","","0","vo_omp_7003_002"
"112411","3","","1","1","1030016","","11","","10","雖然有很多可怕的魔物，\n但是仔細去找，我想也會有像\n皮喵太或小小格里芬先生\n這樣可愛的魔物哦！"
"0","3","","","","1030017","","91","","",""
"112411","3","0","","","1030018","","3","","1","omp_psn_20"
"112611","3","0","","","1030019","","3","","1","omp_talk_joy1"
