6e9aeb561f3d7061ac7262624de094af856cc6d3cc4312199ef726db93317dc0,5122b3cf506998668d12626de03aca9308494d070ccc7ce9566620fb53517076,69f659212786ea077463df5a645b6ac178a77029fc540325740abb3c4b1717fd,72e35f556c45b0fd6ad6ffc6ba93a0a1fcebcca55d8b5793b6dbf0ac8e0fd264,b7f12f1ec99d2ef576f0dfd22effcb3a5fe901193373f2453fd0070c71980f2d,5a1b569256671cad7e551dfd5d2bb7c52287ecb3c43cfa01c56fd029f7a4cf7c,661bf3d773b81526512adecc17d057965d9611fb65ad63eb2efc89d9b7df3c2a,7e5285c371efad8123b504e867d693db085df1a25b9c49f2545d24ef05157690,d1588a27d813a0a1b74f268886e5832059f0123a3917f9241c48fbfb6edd34d8,30ff3988b96cbe6e9501014fe0ef0fd34a3eed647c7a9f35ae69fea52536d824,55b04d5f2c992e52266999e912f24d6e1d310d93a25ef6ab8bc1be584a8edfde,6909e023798bb94ead65809301e8d5441214f45761b23cd143f8aa9080d64964,be07a08505746728e8ea4dbda053bb47d295797cc515b3d4d56042818f242d82,f150c5983203c86f8d842f889d37e9b4c0ba51d97d1389d5ef4ae201ffc27c00,b53ddf7380dd6625ae2e5f3b2996915b4bd469f504243ee55d8a9f998dd781e7,79c81a02e794b8da1a523d591f9cad1451099bd5bc1ecd8ea0d1b230a0bfbfb1
"3","215","1008201","1","980","455","301","2","101","501","-110","1","401","70","201","2"
"3","215","1008202","2","515","230","302","2","102","502","-110","1","402","70","202","2"
"3","215","1008203","3","515","230","303","1","103","503","-110","1","403","70","203","2"
"3","215","1008204","4","515","230","304","1","104","504","-110","1","404","70","204","2"
"3","233","1008205","5","787","355","305","2","105","505","-110","1","405","78","205","2"
"3","233","1008206","6","787","355","306","3","106","506","-110","1","406","78","206","2"
"3","233","1008207","7","777","345","307","3","107","507","-110","1","407","88","207","2"
"3","233","1008208","8","777","345","308","1","108","508","-110","1","408","88","208","2"
"3","233","1008209","9","777","345","309","1","109","509","-110","1","409","88","209","2"
"3","233","1008210","10","810","355","310","3","110","510","-110","1","410","88","210","2"
"3","233","1008211","11","777","345","311","2","111","511","-110","1","411","88","211","2"
"3","215","1008212","12","515","230","312","2","112","512","-110","1","412","70","212","2"
"3","233","1008213","13","810","355","313","1","113","513","-110","1","413","78","213","2"
"3","215","1008214","14","515","230","314","1","114","514","-110","1","414","70","214","2"
"3","215","1008215","15","515","230","315","3","115","515","-110","1","415","70","215","2"
"3","215","1008216","16","655","275","316","2","116","516","-110","1","416","70","216","2"
"3","215","1008217","17","515","230","317","3","117","517","-110","1","417","70","217","2"
"3","233","1008218","18","777","345","318","3","118","518","-110","1","418","88","218","2"
