c3b6487ac19d18060190506f17153fdfbdecc73a41572181e10d1d0af5ece5ab,bafc49653ca49bccd018852651e449d1318ed57cb3fee13353480f821b56c930,7713c72297c43c33637a31a19a1d402b51decc4e7c64b84accbfb2e5a9cdea19,9243ea3bb5611b79fcc151b8a9818c0aca00f762432993d3fd29103465fbaa26,49cb34d6580f28ecfb13fbc5ca88a0b5337ab12f57294d46c90db73f1e275ff5
"2021/08/02 16:00:00","27001","519","27003","2021/08/20 15:59:59"
"2022/02/01 16:00:00","27001","550","27004","2022/02/22 15:59:59"
"2022/05/02 16:00:00","27001","571","27005","2022/05/23 15:59:59"
"2022/08/01 16:00:00","27005","572","27006","2022/08/20 15:59:59"
"2023/01/20 16:00:00","27001","575","27007","2023/02/10 15:59:59"
"2023/05/11 16:00:00","27001","609","27008","2023/05/26 15:59:59"
"2023/08/01 16:00:00","27005","616","27009","2023/08/20 15:59:59"
"2023/09/01 16:00:00","27009","626","27010","2023/09/26 15:59:59"
"2024/02/07 16:00:00","27001","632","27011","2024/02/25 15:59:59"
"2024/05/01 16:00:00","27012","641","27013","2024/05/22 15:59:59"
"2024/08/15 16:00:00","27005","649","27014","2024/09/03 15:59:59"
"2024/10/01 00:00:00","27012","656","27015","2024/10/31 23:59:59"
"2025/02/01 00:00:00","27012","664","27016","2025/02/27 23:59:59"
"2026/07/06 11:00:00","27012","1501","27017","2026/07/18 23:59:59"
"2025/05/01 00:00:00","27012","674","27018","2025/05/25 23:59:59"
"2025/08/01 00:00:00","27018","698","27019","2025/08/19 23:59:59"
"2025/08/01 00:00:00","27012","697","27020","2025/08/19 23:59:59"
"2025/10/01 00:00:00","27012","719","27021","2025/10/31 23:59:59"
"2026/02/01 00:00:00","27012","737","27024","2026/02/27 23:59:59"
"2026/05/01 00:00:00","27012","749","27026","2026/05/25 23:59:59"
"2026/08/01 16:00:00","27018","763","27029","2026/08/19 23:59:59"
"2026/08/01 16:00:00","27005","762","27030","2026/08/19 23:59:59"
