e133e29eb47c493575f5e8d358b93782c7aeb5b048347aa632c719c98d30e3a0,423564b08a2dd132a0e829718efe7d2c48167006a3f680864ba026c25e6b99c3,de60487e4b5971ef24459f4bdb7ac38251ad2575216c71db9503346b5c5234e0,8ddfa8c56af9fa6ecbf01caeae25d8379449098710c427a833af6704325f2876,9cf3af52ae912c5b151ede20c470d93a0bafde31ea478c96341f7048ccd49cfc,6cb21df2dc1375e3bf566e723a35640cba6e47b78c8ff02aeeae71ab5131351d,f3e1ef53b7ae868be2e8e01aad9b977276cec875ac4f61c418a1affc897960af,b68daef5336a7b00fe4ff3383f73ecbf7da35d6afa0645769e7d4992051b2b09,2c51e3de8e80db61719a8fad9f6f6510f80f27e3914cc22112ac3930f59b254f,075f7a238d8899f86ed9cfa198fa8f8f8fef4fc05842037bf7b3538857671b9c,4ff984426fef3dc2f707223becdcb4d2cf234c8cb5b08465204111853390eb11,6576ba12b613b50a8cfada8229c37d879f053ac0301912bf65f0f233b6401c68,82cae13bcffa9fbdd964bdb11107eb281ec76e440270a44b99e21a1b5be5f701,5bc1a86829b28477b3a998972550da61ef2523f2da3312fb40c4463e5f74763c,4d9455f89980584ee385ead6752cca0e187982b9bdf22b79e39470c487f816b6,3f3b3ff3b139f832e06f2aef345341654871f30b9fb7847bc1299aad58cc9849,6aea79370ac99af4ff05dab0ad65d0a043e2da733e58212a297c73674d2de857,d7b4bd4488f38b64ca1fe1f1ad957ee07f9fda8625101b26139d0de7d158a3fc,eb64ecabd2209f5b87b5c5dc10f07937411db200bdac7c2214f9a7f98c1270b6,a8c7bf0ee76810cfab7e17e4b9783934f56ac0145eb09ac202bc21d6e185ea1e,10dbb0302d5c8ec2e3886914148fab0db873d242c50e9729ec3dce36524a6a73
"NONE","NONE","600","NONE","3100","0","EnemyA","NONE","0","0","1000","NONE","JumpOverTrap","SpeedTerritoryA","0","1800","AccelBoardA","2500","0","1000","EnemyD"
"NONE","NONE","500","NONE","3000","0","EnemyC","NONE","0","0","1001","NONE","AccelBoardA","WholeCake","0","1300","AccelBoardA","2000","0","800","SpeedTerritoryA"
"NONE","NONE","400","NONE","2000","0","Balloon","NONE","0","0","1002","NONE","TrapA_NoCall","EnemyB_NoColl","0","1300","EnemyA_NoColl","1600","0","1000","SpeedTerritoryA_NoColl"
"NONE","NONE","700","NONE","3300","0","JumpOverTrap","NONE","0","0","1003","NONE","AccelBoardA","JumpOverTrap","0","2300","AccelBoardA","3000","0","1500","EnemyB"
"NONE","NONE","800","NONE","0","0","JumpOverTrap","NONE","0","0","1004","NONE","NONE","SpeedTerritoryA","0","1900","EnemyA","2700","0","1300","JumpOverTrap"
"NONE","NONE","300","NONE","3300","0","JumpBoard","NONE","0","0","1005","NONE","EnemyC","AccelBoardA","0","2000","JumpOverEnemyC","2600","0","1500","SpeedTerritoryA"
"NONE","NONE","700","NONE","3000","0","EnemyA","NONE","3700","0","1006","TrapA","AccelBoardA","JumpOverTrap","0","1800","TrapA","2500","0","1300","TrapA"
"NONE","NONE","500","NONE","3100","0","AccelBoardA","NONE","0","0","1007","NONE","JumpOverTrap","EnemyC","0","1800","EnemyC","2400","0","1300","JumpOverTrap"
"NONE","NONE","500","NONE","3400","0","AccelBoardA","NONE","3700","0","1008","EnemyC","JumpOverTrap","AccelBoardA","0","2300","JumpBoard","2700","0","1100","EnemyC"
"NONE","NONE","400","NONE","3300","0","Balloon","NONE","3700","0","1009","SpeedTerritoryA","JumpOverTrap","JumpOverTrap","0","2000","TrapA_NoCall","2900","0","1000","EnemyA_NoColl"
