639c6085b690ff17162026e7ef081bb3e7e8e70bfe456bbfca00e7b0f29eaf6f,821db0fe8fb5bec01f709c7cde8b9fc0a5d311d43a119a106df7aaba3983d06d,5bd6378ca002080f0a2172635c29ff3bfd1136d670d66cd031c9b24547c5c071,c5cfbbb3a60dc1f1dbec50017c2f309213a0b0c846024f30da3ffb34fc73350b,047c5235680d6943239836f2b9b1cdc3572c2d41034eb739e934d4da4df52c03,668e57216601c9e38b871918b0cc727219baa2460d0a2230b5e529291f93806f,73a1e71560b72f6e3f6c456c8260e630028c15ebda561fccbcc57006367127bf,ac08fc9d13dba6c9a3901b36d0e22c6eac5ed611617afce16620840e3776feba
"1","1","182","-401","1","71","170","-90"
"2","2","182","-401","1","81","170","-90"
"3","3","182","-255","1","121","255","90"
"4","4","182","-255","1","131","255","90"
"5","5","182","-255","1","141","255","90"
"6","6","176","-107","1","191","229","-80"
"7","7","176","-107","1","201","229","-80"
"8","8","151","136","1","271","218","-85"
"9","9","151","136","1","281","218","-85"
"10","10","151","136","1","291","218","-85"
"11","11","219","280","1","331","156","80"
"12","12","219","280","1","341","156","80"
"13","13","219","280","1","351","156","80"
"14","14","183","417","1","401","213","-97"
"15","15","183","417","1","411","213","-97"
"2","1","229","-259","2","451","242","-73"
"4","2","179","-222","2","481","226","124"
"6","3","192","-101","2","501","219","-67"
"8","4","190","-26","2","521","168","-27"
"11","5","260","117","2","551","192","-50"
"14","6","138","241","2","601","159","120"
"14","7","138","241","2","611","159","120"
"14","8","229","243","2","621","224","-71"
"1","1","43","-353","3","781","71","32"
"2","2","268","-228","3","801","235","-30"
"3","3","45","-243","3","831","80","144"
"4","4","225","20","3","851","221","-76"
"5","5","222","230","3","861","211","-74"
"6","6","136","-100","3","891","115","44"
"7","7","136","-100","3","901","115","44"
"8","8","250","116","3","991","306","76"
"9","9","250","116","3","1001","306","76"
"10","10","250","116","3","1011","306","76"
"11","11","188","322","3","1041","96","40"
"12","12","188","322","3","1051","96","40"
"1","1","272","-211","4","1091","294","-6"
"2","2","115","-288","4","1101","92","129"
"3","3","115","-288","4","1111","92","129"
"4","4","174","-58","4","1121","135","128"
"5","5","184","143","4","1151","222","133"
"6","6","98","-277","4","1161","134","-129"
"7","7","98","-277","4","1171","134","-129"
"8","8","70","-60","4","1211","67","-12"
"9","9","70","-60","4","1221","67","-12"
"10","10","185","116","4","1231","132","-55"
"11","11","89","-17","4","1261","93","-103"
"12","12","89","-17","4","1271","93","-103"
"13","13","239","232","4","1311","150","23"
"1","1","72","-289","5","1391","114","-161"
"2","2","72","-289","5","1401","114","-161"
"3","3","248","-261","5","1411","228","80"
"4","4","211","-103","5","1431","223","-91"
"5","5","181","-87","5","1471","186","95"
"6","6","176","69","5","1551","132","-122"
"7","7","176","69","5","1561","132","-122"
"8","8","184","54","5","1611","143","91"
"9","9","247","204","5","1641","211","45"
"10","10","167","308","5","1651","137","141"
"11","11","174","282","5","1661","175","-46"
"1","1","240","-252","6","1741","222","-11"
"2","2","245","-19","6","1761","311","-96"
"3","3","221","-46","6","1771","261","95"
"4","4","237","152","6","1781","166","83"
"5","5","229","227","6","1782","183","-100"
"1","1","183","-249","7","1811","223","-46"
"2","2","247","-159","7","1881","337","54"
"3","3","191","30","7","1921","202","-70"
"4","4","215","173","7","1941","176","0"
"5","5","236","292","7","1981","204","77"
"1","1","254","-472","8","2001","209","89"
"2","2","282","-375","8","2031","250","-77"
"3","3","223","-280","8","2051","241","110"
"4","4","270","-148","8","2101","243","-85"
"5","5","264","3","8","2131","274","74"
"6","6","302","155","8","2171","321","-36"
"7","7","277","283","8","2201","199","82"
"8","8","344","374","8","2271","349","0"
"1","1","301","-275","9","2321","240","-30"
"2","2","108","-132","9","2361","106","-115"
"3","3","108","-132","9","2371","106","-115"
"4","4","246","-73","9","2381","202","32"
"5","5","84","-43","9","2411","114","-140"
"6","6","84","-43","9","2421","114","-140"
"8","7","84","50","9","2461","86","65"
"9","8","84","50","9","2471","86","65"
"10","9","137","80","9","2481","185","-110"
"11","10","137","80","9","2491","185","-110"
"7","11","377","131","9","2521","301","24"
"12","12","305","280","9","2531","190","-50"
"3","1","145","-527","10","2601","123","-137"
"4","2","145","-527","10","2611","123","-137"
"1","3","295","-379","10","2621","408","35"
"2","4","192","-299","10","2622","171","103"
"6","5","244","-138","10","2623","342","-64"
"5","6","254","-47","10","2701","224","9"
"8","7","204","131","10","2781","253","-88"
"9","8","139","89","10","2791","110","23"
"10","9","139","89","10","2801","110","23"
"7","10","249","275","10","2811","292","42"
"11","11","151","274","10","2821","126","-120"
"12","12","151","274","10","2831","126","-120"
"13","13","316","448","10","2841","276","-17"
"1","1","203","-292","11","2901","158","-87"
"2","2","187","-224","11","3011","256","123"
"3","3","225","-65","11","3031","144","-80"
"4","4","214","80","11","3111","149","-84"
"5","5","194","227","11","3131","201","112"
"6","6","111","159","11","3141","161","-111"
"7","7","111","159","11","3151","161","-111"
"8","8","209","307","11","3171","166","-80"
"3","1","206","-185","12","3211","364","-106"
"1","2","277","-304","12","3221","160","34"
"2","3","275","-107","12","3231","249","45"
"5","4","233","31","12","3321","167","-46"
"7","5","130","135","12","3381","174","-122"
"8","6","130","135","12","3391","174","-122"
"4","7","223","127","12","3431","244","101"
"6","8","246","254","12","3441","235","-24"
"9","9","156","303","12","3461","167","-114"
"10","10","156","303","12","3471","167","-114"
"11","11","94","338","12","3491","108","152"
"12","12","94","338","12","3501","108","152"
"3","1","270","-286","13","3531","210","-48"
"2","2","103","-310","13","3541","92","144"
"3","3","219","-152","13","3551","228","-90"
"4","4","103","-148","13","3561","94","99"
"5","5","71","-12","13","3571","110","-157"
"1","6","274","-5","13","3581","209","-2"
"6","7","292","141","13","3691","219","-72"
"7","8","104","146","13","3701","88","143"
"8","9","135","299","13","3741","160","131"
"9","10","135","299","13","3751","160","131"
"10","11","268","301","13","3791","179","-82"
"2","1","286","-470","14","3801","197","6"
"3","2","89","-520","14","3811","134","-123"
"1","3","236","-369","14","3821","204","103"
"5","4","241","-283","14","3861","176","-74"
"6","5","236","-151","14","3891","156","-83"
"4","6","226","-174","14","3911","219","108"
"10","7","96","-51","14","3921","107","-130"
"9","8","251","-5","14","3931","179","50"
