0872fe8e66ec21216ff545a51dba6593ac8ff2aa664ea058e543e47d144bbd4f,b33f569876cffddce8930446bbde9b86615a62235daa2a1b62fbf2218fce8ecf,b92f65d722777a5a46b47edcfacbd17bd209b587a5b5a6aacb01e9906909804d,17cc51ff88cdb03467513554e24fb07b3c7b6c2d7bbe8279efcd3955c5c11ddb,c9a39488f044dfc81bb6d86c3046d8933c73ad5a00741f881864675b62b74826,197cc421259186504cf7000d233b512993a81165166f22b3d2b3165352f2b6e0,9479d20b1212f4063a673a982e71fc0ad4e07cdfa31460f32fda9bab050005a9,fd877cc3218b9218f94bf3025daa2e8119e89534141eb7bd466c98c98f07b617,7536c81fac2644f001dc5f7b115f79c0c1b7454153318dbdefe85fb09800e47b,5aa90016233c92224a700ec8bbee7db67d5f90e9f9f1d573ba763cb37b4445bd,6ea473da97cb22c2c08331d54bdbcbd0fb72acaa99a74771f0fab7d21187249f
"110311","382","idle_normal","61001","5152061","1","110","1","1.55","1","-280"
"131911","145","idle_normal","61002","5152061","1","106","1","1.55","0","-210"
"102311","-50","joy_idle_normal","61003","5152061","1","107","1","1.55","0","-225"
"102111","-245","wish_idle","61004","5152061","1","108","1","1.55","0","-240"
"107711","-440","idle_normal","61005","5152061","1","109","1","1.55","0","-255"
"122811","40","doya_idle","61006","5152061","1","103","1","1.45","0","-105"
"122911","-160","idle_normal","61007","5152061","1","104","1","1.45","0","-120"
"122711","-355","idle_normal","61008","5152061","1","105","1","1.45","0","-135"
"210","","","61009","5152061","110311","","13","","",""
"206","","","61010","5152061","131911","","13","","",""
"209","","","61011","5152061","107711","","13","","",""
"205","","","61012","5152061","122711","","13","","",""
"203","","","61013","5152061","122811","","13","","",""
"204","","","61014","5152061","122911","","13","","",""
"208","","","61015","5152061","102111","","13","","",""
"207","","","61016","5152061","102311","","13","","",""
"2","-110","empty","61017","5152061","2","210","5","0.75","0","160"
"3","352","empty","61018","5152061","3","210","5","1","0","-45"
"1","0","","61019","5152061","1","0","31","1","","1"
"2","0","","61020","5152061","2","0","31","0","","1"
"3","0","","61021","5152061","3","0","31","1","","1"
"11","0","","61022","5152061","11","0","31","0","","1"
"0","","","61023","5152061","0","","91","","",""
"telop_1","","","61024","5152061","3","","37","","",""
"0","","","61025","5152061","0","0","102","","",""
"0","","","61026","5152061","1","","93","","",""
"callout_in","callout_loop","","61027","5152061","110311","0","3","0.2","0","1"
"0","","","61028","5152061","0.1","","93","","",""
"vo_rag_6001","0","","61029","5152061","vo_rag","0","21","","",""
"1001_in","","","61030","5152061","3","0","3","0","",""
"1","","","61031","5152061","1.9","","93","","",""
"1001_mid","","","61032","5152061","3","0","3","0","",""
"","","","61033","5152061","","","92","","",""
"1001_out","","","61034","5152061","3","0","3","0","",""
"0","","","61035","5152061","0.2","","93","","",""
"doya_idle_joy1R","","","61036","5152061","110311","1","3","0.3","",""
"gutsB_in_joy","gutsB_talk_joy","","61037","5152061","102311","0","3","0.2","0","1"
"wish_talk","","","61038","5152061","102111","1","3","0.2","",""
"hello_2","idle_normal_joy","","61039","5152061","131911","0","3","0.2","0","1"
"sad_talk_joy","","","61040","5152061","107711","1","3","0.2","",""
"handsup_in","handsup_loop","","61041","5152061","122811","0","3","0.2","0","1"
"leanforward_joy","","","61042","5152061","122911","1","3","0.2","",""
"talk_normal","","","61043","5152061","122711","1","3","0.2","",""
"vo_rag_6002","0","","61044","5152061","vo_rag","0","21","","",""
"-110","0","","61045","5152061","3","142","2","","","0"
"1002_in","","","61046","5152061","3","0","3","0","",""
"1","","","61047","5152061","1.9","","93","","",""
"1002_mid","","","61048","5152061","3","0","3","0","",""
"","","","61049","5152061","","","92","","",""
"1002_out","","","61050","5152061","3","0","3","0","",""
"gutsB_idle","","","61051","5152061","102311","1","3","0.2","",""
"wish_idle","","","61052","5152061","102111","1","3","0.2","",""
"idle_normal","","","61053","5152061","131911","1","3","0.2","",""
"sad_idle_normal","","","61054","5152061","107711","1","3","0.2","",""
"cool_idle","","","61055","5152061","122811","1","3","0.2","",""
"idle_normal_joy1R","","","61056","5152061","122911","1","3","0.2","",""
"wish_idle","","","61057","5152061","122711","1","3","0.2","",""
"gutsB_in","gutsB_talk","","61058","5152061","110311","0","3","0.2","0","1"
"vo_rag_6003","0","","61059","5152061","vo_rag","0","21","","",""
"大朋友也很有精神，非常好！\n馬上開始做體操吧！","1","0","61060","5152061","110311","7","11","0","15","1"
"","0","","61061","5152061","0","0","91","","",""
"bgm_MC175B","","","61062","5152061","bgm_MC175B","","25","","",""
"1","","","61063","5152061","2","","32","","",""
"kids_gungun_in","kids_gungun_loop","","61064","5152061","110311","0","3","0.2","0","1"
"vo_rag_6004","0","","61065","5152061","vo_rag","0","21","","",""
"首先把雙手朝向天空\n用力伸出去──！","1","1.7","61066","5152061","110311","7","11","0","0","0"
"0","","","61067","5152061","0.1","","93","","",""
"kids_gungun_in","kids_gungun_loop","","61068","5152061","131911","0","3","0.2","0","1"
"kids_gungun_in","kids_gungun_loop","","61069","5152061","102311","0","3","0.2","0","1"
"kids_gungun_in","kids_gungun_loop","","61070","5152061","102111","0","3","0.2","0","1"
"kids_gungun_in","kids_gungun_loop","","61071","5152061","107711","0","3","0.2","0","1"
"kids_gungun_in","kids_gungun_loop","","61072","5152061","122811","0","3","0.2","0","1"
