af7061edbf91b2ccf299ded68a7e8578c89315fcda557480a9064fe0e0e913b1,cd6f30bb5f6c7d1d27c2311ea36bccf16fbc3629f98f56cbe907b8320c59a9dd,cdcbf9c00e15dc0e2fc196cbbdc4efc9ecf750d16fc36e48f70ab92203168d7d,df77ed4d873493d6fac53be911a4f968c692f04555cc1d311d1bc0b2acf0efe7
"0","50","700","111"
"0","50","700","113"
"0","50","800","131"
"0","50","700","211"
"0","50","700","213"
"0","50","700","214"
"0","50","800","231"
"0","50","700","311"
"-25","50","460","312"
"0","50","700","313"
"0","50","700","314"
"0","50","700","331"
"0","50","700","411"
"0","50","700","412"
"0","50","700","413"
"0","0","600","414"
"0","50","460","415"
"0","50","460","416"
"0","50","700","417"
"0","50","700","418"
"0","50","700","419"
"0","50","700","421"
"0","50","700","422"
"30","50","700","511"
"30","50","700","512"
"100","50","700","611"
"100","50","700","711"
"0","50","800","712"
"0","50","800","713"
"0","50","800","714"
"0","50","800","715"
"0","50","800","716"
"100","50","700","717"
"100","50","700","718"
"-195","50","800","719"
"50","50","500","811"
"0","50","1200","812"
"0","50","800","813"
"0","60","800","814"
"0","60","800","815"
"50","50","500","816"
"-65","50","600","911"
"0","50","1200","912"
"0","50","800","913"
"0","50","800","914"
"-40","55","980","915"
"-40","55","980","916"
"-65","50","600","917"
"0","50","800","1011"
"0","50","800","1012"
"0","50","800","1013"
"0","50","800","1031"
"0","50","800","1111"
"0","50","800","1112"
"0","50","800","1131"
"-60","50","590","1211"
"0","50","460","1212"
"0","50","460","1213"
"0","50","460","1214"
"-15","50","600","1215"
"-60","50","590","1216"
"0","50","800","1231"
"-50","50","700","1331"
"0","50","800","1411"
"0","50","800","1412"
"0","50","800","1413"
"0","50","800","1414"
"0","50","800","1421"
"100","50","700","1511"
"100","50","700","1512"
"100","50","700","1514"
"100","50","700","1515"
"100","50","700","1516"
"100","50","700","1521"
"-50","150","700","1611"
"-50","150","700","1612"
"-50","150","700","1613"
"0","50","800","1614"
"-50","150","700","1615"
"0","50","800","1711"
"0","50","800","1811"
"0","50","800","1911"
"0","50","800","2011"
"0","50","800","2111"
"0","50","800","2211"
"0","50","800","2311"
"0","50","800","2411"
"0","50","800","2415"
"15","15","970","2511"
"0","50","800","2512"
"0","20","1100","2513"
"0","20","1100","2514"
"0","15","1010","2515"
"0","15","1010","2516"
"0","0","455","2611"
"0","50","800","2612"
"-45","50","525","2711"
"-45","50","525","2712"
"0","50","800","2713"
"-30","125","1190","2811"
"-30","125","1190","2812"
"0","0","460","2911"
"0","50","800","2912"
"0","50","800","2913"
"0","50","800","2914"
"0","50","800","2915"
"0","50","600","2931"
"0","0","460","3011"
"0","50","800","3012"
"0","50","800","3013"
"0","50","600","3031"
"0","0","460","3111"
"0","50","800","3112"
"0","50","800","3113"
"0","50","800","3114"
"0","50","600","3131"
"-20","0","460","3211"
"-40","50","600","3311"
"-40","50","600","3312"
"-40","50","600","3313"
"-30","50","460","3411"
"-60","50","700","3511"
"0","50","800","3512"
"-30","50","800","3911"
"0","30","800","4011"
"0","30","800","4111"
"0","50","600","4211"
"0","50","800","4311"
"0","50","800","4312"
"0","50","800","4411"
"10","60","700","4511"
"10","60","700","4512"
"10","60","700","4513"
"0","50","460","4611"
"-30","70","650","4711"
"0","70","620","4811"
"0","50","800","4911"
"0","50","800","5011"
"0","50","800","5012"
"0","50","800","5013"
"0","50","800","5111"
"0","50","800","5112"
"0","50","800","5211"
"0","50","800","5212"
"0","50","600","5413"
"0","50","800","5511"
"0","50","800","5512"
"0","50","700","5611"
"0","50","800","5612"
"-60","50","590","5613"
"0","50","460","5614"
"0","50","700","5615"
"0","50","700","5616"
"0","50","800","5711"
"0","50","800","5712"
"0","50","800","5811"
"0","50","800","5812"
"0","50","800","5911"
"0","50","800","5912"
"0","50","800","6011"
"0","75","530","6012"
"0","50","700","6111"
"0","70","790","6211"
"-135","50","750","6311"
"-120","50","750","6312"
"0","50","900","6411"
"-50","50","670","6511"
"0","70","800","6631"
"0","70","800","6632"
"0","70","800","6732"
"0","70","800","6831"
"0","70","800","6832"
"0","70","800","6932"
"0","50","830","7011"
"0","50","830","7012"
"-100","50","700","7111"
"-100","50","700","7112"
"-100","50","700","7113"
"-100","50","700","7114"
"0","70","790","7411"
"0","70","790","7412"
"0","50","700","7511"
"0","50","700","7531"
"0","50","800","7711"
"0","50","800","7811"
"0","50","800","7911"
"0","50","800","7912"
"0","50","700","8011"
"0","50","700","8031"
"0","50","700","8111"
"-35","50","650","8211"
"0","50","800","8311"
"0","50","800","8511"
"0","50","900","8611"
"0","50","1000","8711"
"0","50","1000","8712"
"0","50","1000","8811"
"0","50","800","8911"
"0","50","800","8912"
"-35","50","530","9011"
"0","50","800","9111"
"0","50","800","9211"
"0","50","800","9212"
"0","50","800","9213"
"0","50","460","9311"
"0","50","1500","9411"
"0","50","1500","9412"
"0","50","800","9511"
"0","50","1600","9513"
"-25","60","550","9514"
"0","50","800","9811"
"0","50","800","9911"
"0","50","800","9912"
"-15","0","730","11411"
"-15","0","730","11413"
"-45","60","715","13311"
"0","50","960","14313"
"0","50","2000","15011"
"0","50","900","15012"
"0","50","800","15311"
"0","50","800","15314"
"-60","45","750","15811"
"30","50","1200","15916"
"0","50","1300","16011"
"0","50","1300","16012"
"0","50","1000","16311"
"205","50","1000","16312"
"0","70","530","16711"
"0","70","600","16712"
"0","0","2000","17011"
"-45","45","760","17211"
"0","0","2000","17212"
