a85fdd37f319bd44f28313d54303c44765a321bde793c4b2faad4f1467ba1660,ee0089d91c0d260699fd1c5bb8b62843965cf794322c3f632338bf6528383275,17b87a3bdd564c2e3bf2fdbe83dee08008244719c12d9edc95291a7b30ee1ca0,ff978e5be7af947990051ee295ce0dc4a7a6923a6b210a0b582b1a75dd3a79a3,70fdbfbc3eff3cc222b1c42d7b732ce588a6b7086f905894ae6b94127f5732d6,299a7762eaa15c3bac3b261486292d965a344bbb30b9bb9986a0fa5e7407de84,7f172199b925597204d089f5c28d2f3e197233271fb1346ab36f7a025dee2125,f18d00875c2cbe4fecaa3c05f8f8302472ad54d64a760eec9f91430b358b4e87,67aed75f644f3a81cb5352695f3ea9ff08f5d24f60a83b33237d5b3779fe3b48,ad421e88670ca2ad7b5b60a5f55ff4a30bd2bbfcca8d66c97e88c4c7ce95e640,d84bc94076efc85953fb4f195381191d5afc53f95384ee507a1943e7648b6c4f
"2","2023/08/01 04:59:59","530100","0","20000","0","0","新手衝刺登入活動","2016/09/01 15:00:00","10","0"
"2","2099/01/01 23:59:00","530100","0","20001","0","0","新手衝刺登入活動","2023/08/01 05:00:00","10","0"
"3","2099/01/01 23:59:00","0","0","30000","0","0","登入獎勵","2016/04/01 15:00:00","15","0"
"4","2019/02/14 04:59:59","500160","0","40001","0","1","半周年紀念登入活動","2019/01/30 05:00:00","10","0"
"4","2021/08/26 04:59:59","40009","0","40009","0","2","NGs復刻合作紀念","2021/08/09 05:00:00","10","0"
"4","2023/06/21 04:59:59","531200","0","40011","0","3","主線劇情第3部開幕紀念登入活動","2023/06/15 05:00:00","6","0"
"4","2024/08/26 04:59:59","40013","0","40013","0","3","七夕情人節快樂！","2024/08/10 05:00:00","1","0"
"4","2099/01/01 23:59:00","40015","0","40015","0","3","老玩家回歸登入獎勵","2024/12/10 05:00:00","5","0"
"4","2026/03/25 15:59:59","40016","0","40016","0","2","佐賀偶像是傳奇合作登入獎勵","2026/02/22 05:00:00","1","0"
"4","2026/04/22 04:59:59","40009","0","40017","0","2","復刻NGs 灰姑娘女孩 星光舞台合作紀念 蓋章登入活動","2026/04/11 05:00:00","5","0"
"4","2026/08/30 04:59:59","40019","0","40018","0","3","8周年慶典紀念禮物 登入活動","2026/08/12 05:00:00","4","0"
"4","2026/07/16 04:59:59","40019","0","40019","0","3","連結RANK應援 特別登入獎勵","2026/07/01 05:00:00","8","0"
"4","2019/04/19 04:59:59","500160","0","49001","0","0","巴哈姆特金賞紀念登入獎勵","2019/04/04 05:00:00","10","0"
"4","2019/07/15 04:59:00","500160","0","49002","0","0","暑期繽紛登入獎","2019/07/01 05:00:00","10","0"
"4","2019/08/01 04:59:00","500160","0","49003","0","0","1周年倒數登入獎勵","2019/07/17 05:00:00","10","0"
"4","2019/12/31 04:59:00","500160","0","49004","0","0","真步真步王國開服一周年紀念","2019/12/16 05:00:00","8","0"
"4","2020/01/21 15:59:00","500160","0","49005","0","0","迎接1.5周年紀念","2020/01/10 05:00:00","10","0"
"4","2020/04/06 04:59:59","500160","0","49006","0","0","春節小禮物","2020/04/01 05:00:00","5","0"
"4","2020/04/16 04:59:59","40006","0","49007","0","0","動畫播放紀念禮物","2020/04/06 05:00:00","10","0"
"4","2020/08/18 04:59:59","80002","0","49008","0","4","2周年紀念登入獎勵（前半）","2020/08/03 05:00:00","10","0"
"4","2020/08/31 04:59:59","80002","0","49009","0","4","2周年紀念登入獎勵（後半）","2020/08/18 05:00:00","10","0"
"4","2020/11/15 04:59:00","500160","0","49010","0","0","感謝的禮物-每日登入獎勵寶石","2020/11/02 05:00:00","10","0"
"4","2021/01/06 04:59:00","500160","0","49011","0","0","歡慶聖誕","2020/12/24 05:00:00","10","0"
"4","2021/01/25 04:59:00","500160","0","49012","0","0","2.5周年預熱","2021/01/13 05:00:00","10","0"
"4","2021/04/28 04:59:00","40007","0","49013","0","2","歡慶IP合作","2021/04/16 05:00:00","10","0"
"4","2021/10/01 04:59:00","500160","0","49014","0","2","歡慶中秋","2021/09/17 05:00:00","10","0"
"4","2021/11/01 04:59:00","500160","0","49015","0","2","秋季贈禮","2021/10/18 05:00:00","10","0"
"4","2022/01/06 04:59:00","500160","0","49016","0","2","歡慶聖誕&迎接新年到來","2021/12/24 05:00:00","10","0"
"4","2022/11/01 04:59:00","500160","0","49017","0","2","秋季贈禮","2022/10/17 05:00:00","10","0"
"4","2023/01/06 04:59:59","500160","0","49018","0","2","歡慶聖誕&迎接新年到來","2022/12/24 05:00:00","10","0"
"4","2023/02/06 04:59:59","500160","0","49019","0","2","迎接春節來到","2023/01/21 05:00:00","10","0"
"4","2023/06/05 04:59:59","501470","0","49020","0","2","每日登入獎勵","2023/05/06 05:00:00","10","0"
"4","2024/01/02 04:59:59","500160","0","49021","0","2","迎接2024特別禮物","2023/12/31 05:00:00","1","0"
"4","2026/01/19 04:59:59","500160","0","49022","0","2","心路公益禮盒-登入獎勵活動","2025/12/17 05:00:00","8","0"
"4","2026/03/04 15:59:59","500160","0","49023","0","2","佐賀偶像是傳奇合作登入獎勵","2026/02/23 05:00:00","1","0"
"6","2019/05/17 04:59:59","500160","1","60000","0","0","公主祭典紀念登入抽籤","2019/05/07 05:00:00","7","0"
"6","2020/05/15 04:59:59","500553","1","60001","0","0","謹賀新年 新年登入獎勵","2020/05/05 05:00:00","7","0"
"6","2021/05/14 04:59:59","500553","1","60002","0","0","謹賀新年 新年登入獎勵","2021/05/04 05:00:00","7","0"
"6","2022/05/13 04:59:59","500553","1","60003","0","0","謹賀新年 新年登入獎勵","2022/05/03 05:00:00","7","0"
"6","2023/05/14 04:59:59","500553","1","60004","0","0","謹賀新年 新年登入獎勵","2023/05/02 05:00:00","7","0"
"6","2024/05/11 04:59:59","500553","1","60005","0","0","謹賀新年 新年登入獎勵","2024/05/01 05:00:00","7","0"
"6","2025/05/11 04:59:59","500553","1","60006","0","0","謹賀新年 新年登入獎勵","2025/05/01 05:00:00","5","0"
"6","2026/05/11 04:59:59","500553","1","60007","0","0","謹賀新年 新年登入獎勵","2026/05/01 05:00:00","5","0"
"7","2021/04/25 04:59:59","500160","0","70004","1","0","聖誕節登入獎勵","2021/04/23 05:00:00","2","0"
"7","2021/05/07 04:59:59","500160","0","70005","2","0","元旦紀念特別登入獎勵","2021/05/04 05:00:00","3","0"
"7","2022/04/26 04:59:59","500160","0","70006","1","0","聖誕節登入獎勵","2022/04/24 05:00:00","2","0"
"7","2022/05/06 04:59:59","500160","0","70007","2","0","元旦紀念特別登入獎勵","2022/05/03 05:00:00","3","0"
"7","2023/04/26 04:59:59","500160","0","70008","1","0","聖誕節登入獎勵","2023/04/24 05:00:00","2","0"
"7","2023/05/05 04:59:59","500160","0","70009","2","0","元旦紀念特別登入獎勵","2023/05/02 05:00:00","1","0"
"4","2024/04/06 04:59:59","500160","0","70010","0","2","連假快樂特別禮物1","2024/04/04 05:00:00","1","0"
"4","2024/05/04 04:59:59","500160","0","70011","0","2","勞動節限定特別登入獎勵","2024/05/01 05:00:00","1","0"
"4","2024/04/08 04:59:59","500160","0","70012","0","2","連假快樂特別禮物2","2024/04/06 05:00:00","1","0"
"7","2025/05/05 04:59:59","500160","0","70013","2","0","勞動節限定特別登入獎勵","2025/05/01 05:00:00","1","0"
"7","2025/04/04 04:59:59","500160","0","70014","1","0","聖誕節登入獎勵","2025/04/03 05:00:00","1","0"
"7","2025/04/05 04:59:59","500160","0","70015","1","0","聖誕節登入獎勵","2025/04/04 05:00:00","1","0"
"7","2025/08/24 04:59:59","500160","0","70016","1","0","觀看「勇氣與邊緣人！ 巨型克蘿茜」MV","2025/08/01 16:00:00","1","0"
"7","2026/04/04 04:59:59","500160","0","70017","1","0","聖誕節登入獎勵","2026/04/03 05:00:00","1","0"
"7","2026/04/05 04:59:59","500160","0","70018","1","0","聖誕節登入獎勵","2026/04/04 05:00:00","1","0"
"7","2026/05/11 04:59:59","500160","0","70019","2","0","勞動節限定特別登入獎勵","2026/05/01 05:00:00","1","0"
"8","2021/02/09 04:59:59","0","0","80003","0","0","2.5周年倒數登入獎勵","2021/01/25 05:00:00","15","1"
"10","2021/08/03 04:59:59","0","0","80004","1","0","3周年倒數登入獎勵","2021/07/17 05:00:00","17","1"
"8","2022/02/02 04:59:59","0","0","80005","0","0","三周年半倒數登入獎勵","2022/01/18 05:00:00","15","1"
"10","2022/08/02 04:59:59","0","0","80006","1","0","4th Year Anniversary倒數登入獎勵","2022/07/16 05:00:00","17","1"
"10","2023/01/21 04:59:59","0","0","80007","1","0","四周年半倒數登入獎勵","2023/01/06 05:00:00","15","1"
"10","2023/08/02 04:59:59","0","0","80008","1","0","5周年倒數登入獎勵","2023/07/17 05:00:00","16","1"
