f4c8ff51ac8c8f4b4ba3d329fefbb84b2261ae796fc10f9fe58a8571d1d3a330,869035e9351346c3d8e00eb40d6f88e4c747e618a9f68568b52aa85743bd15fa,97d02f981fb4176be4bb8fb8e42423d6fa7e2af933cd43ae672ba1f1e95ff851,15d0303059c6298b9fe9982ba9bd5d4ac5eb0c9890b74ab960ff58cfa8733e1d,e37806c93bb259c1523ba07564e6368125b36891ce29c6b79ca25e809fdbed5b
"18","75000001","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","500000101"
"17","75000001","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","500000102"
"boss_def_lower_limit","75000001","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","500000103"
"boss_magic_def_lower_limit","75000001","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","500000104"
"9","75000001","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","500000105"
"boss_tp_down_cut","75000001","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","500000106"
"18","75000002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","500000201"
"17","75000002","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","500000202"
"boss_def_lower_limit","75000002","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","500000203"
"boss_magic_def_lower_limit","75000002","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","500000204"
"9","75000002","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","500000205"
"boss_tp_down_cut","75000002","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","500000206"
"18","75000003","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","500000301"
"17","75000003","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","500000302"
"boss_def_lower_limit","75000003","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","500000303"
"boss_magic_def_lower_limit","75000003","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","500000304"
"9","75000003","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","500000305"
"boss_tp_down_cut","75000003","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","500000306"
"18","75000004","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","500000401"
"17","75000004","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","500000402"
"boss_def_lower_limit","75000004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","500000403"
"boss_magic_def_lower_limit","75000004","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","500000404"
"9","75000004","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","500000405"
"boss_tp_down_cut","75000004","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","500000406"
"18","75000005","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","500000501"
"17","75000005","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","500000502"
"boss_def_lower_limit","75000005","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","500000503"
"boss_magic_def_lower_limit","75000005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","500000504"
"9","75000005","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","500000505"
"boss_tp_down_cut","75000005","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","500000506"
"18","75000006","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","500000601"
"17","75000006","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","500000602"
"boss_def_lower_limit","75000006","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","500000603"
"boss_magic_def_lower_limit","75000006","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","500000604"
"9","75000006","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","500000605"
"boss_tp_down_cut","75000006","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","500000606"
"18","75000007","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","500000701"
"17","75000007","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","500000702"
"boss_def_lower_limit","75000007","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","500000703"
"boss_magic_def_lower_limit","75000007","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","500000704"
"9","75000007","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","500000705"
"boss_tp_down_cut","75000007","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","500000706"
"18","75000008","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","500000801"
"17","75000008","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","500000802"
"boss_def_lower_limit","75000008","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","500000803"
"boss_magic_def_lower_limit","75000008","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","500000804"
"9","75000008","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","500000805"
"boss_tp_down_cut","75000008","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","500000806"
"18","75000009","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","500000901"
"17","75000009","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","500000902"
"boss_def_lower_limit","75000009","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","500000903"
