47d638d9943c7d2777d25a06e2f53d6b967c73e989b8ac2444441895890f060c,2cb35032e79b4dbf418f5768839f5080d6467b482dce048cbb3b80f064ec0f4a
"999999999","1"
"5","2"
"3","3"
"1","4"
"1","5"
"2","6"
"3","7"
"999999999","8"
"999999999","9"
"9","10"
"2","11"
"4","12"
"6","13"
"7","14"
"2","100"
"300","101"
"600","102"
"1200","103"
"2400","104"
"4800","105"
"9999","106"
"500","201"
"500","202"
"500","203"
"500","204"
"500","205"
"100","211"
"100","212"
"100","213"
"100","214"
"100","215"
"100","221"
"200","222"
"100","223"
"1000","224"
"1500","225"
