39862634dadf74360c3b395e7df422a54a63e4812679b19d709a09548bf25ee5,1aabd9af93f4a3b69414e97532e6624b3447aee7bb534f4eeac70573972f7296,941dd62611d0363b7a2375b6e57a38f993e0acfbbb0273c256d3bd924d30e6c1,503ef5725601d16c2607d80179e71ae0bf20f4883c0f576037ecd0769b15e77f,2b3b761ec498b09b1b54730d21d4c10a3f6ef6cb60516af457798259b262e784,cac5911cf21164b028b14e89821b1fe617f5f7c4ade398d5bb967967dc1e901f,a9821d42565d1879bd1e2af29ca194381f0a691cee7785c2c31e550568b68bac,82f3ccd63a99ec53b1c8202d0a280034233eb8634d7e3c609215edc93591ae99,37b5c69311e98e6772756fd74919edaba393045ef1a844d187f93efea78c3b21,7669c18f04a4284289b0f2d26935ab29231d441269922e5bdf397974b6194b4f,d9ac2bd86429f690649cdcc949a89897597199f70cbccc8b33f52d0f2c578f09,6f90f8ffb9a2ab835721e176640d8feacbad1051d5eb9c79bff35455334f54ca
"0","0","1007001","100700101","1","0","1","0.8","0","4","0","0"
"vo_svd","vo_svd_0101","1007001","100700102","2","0","0","0","0","2","0","0"
"0","0","1007001","100700103","3","0","0","0","1.684","1","300","1"
"0","0","1007001","100700104","4","0","1","1.949","0","4","0","0"
"0","0","1007001","100700105","5","15","0","0","1.363","1","327","2"
"0","0","1007001","100700106","6","0","1","3.027","0","4","0","0"
"vo_svd","vo_svd_0102","1007001","100700107","7","0","0","0","0","2","0","0"
"0","0","1007001","100700108","8","0","0","0","1.69","1","441","3"
"0","0","1007001","100700109","9","0","1","1.7","0","4","0","0"
"0","0","1007001","100700110","10","0","0","0","1.446","1","478","4"
"0","0","1007001","100700111","11","0","1","1.722","0","4","0","0"
"0","0","1007001","100700112","12","0","0","0","1.245","1","478","5"
"0","0","1007001","100700113","13","0","1","0.417","0","4","0","0"
"0","0","1007001","100700114","14","478","0","0","0.864","1","478","5"
"0","0","1007001","100700115","15","0","1","2.482","0","4","0","0"
"vo_svd","vo_svd_0103","1007001","100700116","16","0","0","0","0","2","0","0"
"0","0","1007001","100700117","17","0","0","0","2.352","1","420","6"
