585c737161abf1703276e2bd8e36cc656ba0f6dbfdf732f6ab8ff8ccb18ce228,a2e33ada9c762b6503c2f9a7a903e81b0794cf726e50901c9044d8abdc603374,4359cff77ef2c1e62ae52c0557750df85ef4233cb9194b0b255963a4f9c31f24,d30093f3fbd2a326f3c07c6c62d79cefaa002a605a7d2233d80f1af8cf0a95b5,0be1b4aafdc5de9d545948052bb812a86f9e326e78baadb0b15097b7357d3a4f,8114597db9112e09694e5328c8d80c8bc73672697e0896cdc1e2126b89d83bd3,b1bca91c7c0cbd843b15db9b89bc8505506a9b6fd81866f2554ddf80cff2fed1,ffb5261e3514b2c1da7d3d99872de30f17ab2090d6d590f86be47fe54fa67d89,e6d0e52bbc1ef5198f9444af861fdbe4a53c73e7fd0f2aa0058942ecc14b8968,861c84cd5d1f096a7f4fadee6715e32a182549cad8276a10756cb52eac5048a2,ae7e1afe277f1195fc9b1a231b29085aa5c6d6f4b93aedd0cb033436a3691173
"2","1","70","10","-165","5","-345","1010801","dsb_idle_normal","0","1010801001"
"2","2","70","4","165","5","-345","1010801","dsb_idle_worry","1","1010801002"
"2","99","70","10","-215","5","-350","1010801","dsb_lago","0","1010801003"
"1","1","0","1","0","31","1","1010801","","","1010801004"
"1","3","0","3","0","31","1","1010801","","","1010801005"
"1","4","0","4","0","31","1","1010801","","","1010801006"
"1","10","0","14","0","31","1","1010801","","","1010801007"
"1","20","0","24","0","31","1","1010801","","","1010801008"
"1","30","155","34","-168","31","1","1010801","","","1010801009"
"1","31","-155","34","-168","31","1","1010801","","","1010801010"
"1","32","-222","42","-175","31","1","1010801","","","1010801011"
"0","40","0","40","0","31","1","1010801","","","1010801012"
"","170","","1","","13","","1010801","","","1010801013"
"","170","","2","","13","","1010801","","","1010801014"
"","","","0","","91","","1010801","","","1010801015"
"","se_10044200_cmn_amb","1","se_10044200","","23","","1010801","","","1010801016"
"","se_10044200_cmn_steam","0","se_10044200","","23","","1010801","","","1010801017"
"","0","","6","","93","","1010801","","","1010801018"
"","se_10044200_hotspring_04","1","se_10044200","","23","","1010801","","","1010801019"
"","0","","1.5","","93","","1010801","","","1010801020"
"0.5","dsb_talk_anger_Ex8","1","2","","3","","1010801","","","1010801021"
"","vo_dsb_1001","0","vo_dsb_1010801","0","21","","1010801","","","1010801022"
"0","好、好燙～！！\n這裡的水溫很奇怪耶……\n老大，這是怎麼回事！？","10","2","1","11","1","1010801","0.2","0","1010801023"
"","","","0","","91","","1010801","","","1010801024"
"0.5","dsb_idle_worry","1","2","","3","","1010801","","","1010801025"
"0.5","dsb_talk_worry_Ex3","1","1","","3","","1010801","","","1010801026"
"","vo_dsb_1002","0","vo_dsb_1010801","0","21","","1010801","","","1010801027"
"0","現在別叫我老大，\n要叫我小老闆娘呀～？","10","1","1","11","1","1010801","0.2","0","1010801028"
"","","","0","","91","","1010801","","","1010801029"
"0.5","dsb_idle_normal","1","1","","3","","1010801","","","1010801030"
"0.5","dsb_talk_doya_sing","0","2","dsb_talk_doya_sing_loop","3","1","1010801","","0.5","1010801031"
"","vo_dsb_1003","0","vo_dsb_1010801","0","21","","1010801","","","1010801032"
"0","嘖。\n什～麼小老闆娘啊……\n明明就是性格扭曲的老太婆老闆娘。","10","2","1","11","1","1010801","0.2","0","1010801033"
"","","","0","","91","","1010801","","","1010801034"
"0.5","dsb_idle_doya_blink","1","2","","3","","1010801","","","1010801035"
"0.5","dsb_talk_sad2_talkjoy2","1","1","","3","","1010801","","","1010801036"
"","vo_dsb_1004","0","vo_dsb_1010801","0","21","","1010801","","","1010801037"
"0","祈梨……\n妳剛才說什麼？","10","1","1","11","1","1010801","0.2","0","1010801038"
"","","","0","","91","","1010801","","","1010801039"
"0.5","dsb_idle_normal","1","1","","3","","1010801","","","1010801040"
"0.2","dsb_surprise_inori","0","2","dsb_talk_surprise1_2","3","1","1010801","","0.5","1010801041"
"","vo_dsb_1005","0","vo_dsb_1010801","0","21","","1010801","","","1010801042"
"0","沒沒沒、沒有，我什麼都沒說喔～\n倒是這座溫泉！\n這熱度不尋常……\n裡頭肯定有危險的東西！","10","2","1","11","1","1010801","0.2","0","1010801043"
"","","","0","","91","","1010801","","","1010801044"
"0.5","dsb_idle_surprise1_normal","1","2","","3","","1010801","","","1010801045"
"0.5","dsb_talk_bitter","1","1","","3","","1010801","","","1010801046"
"","vo_dsb_1006","0","vo_dsb_1010801","0","21","","1010801","","","1010801047"
"0","說得真難聽～\n裡面沒有危險的東西哦～\n……應該說這東西\n祈梨也很熟呀。","10","1","1","11","1","1010801","0.2","0","1010801048"
"","","","0","","91","","1010801","","","1010801049"
"0.5","dsb_idle_normal","1","1","","3","","1010801","","","1010801050"
"0.5","dsb_sniff","1","2","","3","","1010801","","","1010801051"
"","vo_dsb_1007","0","vo_dsb_1010801","0","21","","1010801","","","1010801052"
"0","這麼說來……嗅嗅。\n我好像在哪裡聞過\n這泉水的味道。","10","2","1","11","1","1010801","0.2","0","1010801053"
"","","","0","","91","","1010801","","","1010801054"
"0.5","dsb_idle_normal","1","2","","3","","1010801","","","1010801055"
"0.5","dsb_talk_joy3","1","1","","3","","1010801","","","1010801056"
"","vo_dsb_1008","0","vo_dsb_1010801","0","21","","1010801","","","1010801057"
"0","對吧～？\n正確答案是……\n吃了會噴火的樹果，\n我向似龍生物拿來的～☆","10","1","1","11","1","1010801","0.2","0","1010801058"
"","","","0","","91","","1010801","","","1010801059"
"0.5","dsb_idle_normal","1","1","","3","","1010801","","","1010801060"
"0.5","dsb_talk_guts2","0","2","dsb_talk_guts2_loop","3","1","1010801","","0.5","1010801061"
"","vo_dsb_1009","0","vo_dsb_1010801","0","21","","1010801","","","1010801062"
"0","喔喔！？\n是那個火焰果實啊！\n那水這麼熱也說得通了！\n那傢伙還好嗎？","10","2","1","11","1","1010801","0.2","0","1010801063"
"","","","0","","91","","1010801","","","1010801064"
"0.5","dsb_idle_guts2","1","2","","3","","1010801","","","1010801065"
"0.5","dsb_talk_normal","1","1","","3","","1010801","","","1010801066"
"","vo_dsb_1010","0","vo_dsb_1010801","0","21","","1010801","","","1010801067"
"0","嗯☆\n牠好像還記得我呢？\n馬上就把果實分給我了～♪\n心甘情願～地喔？","10","1","1","11","1","1010801","0.2","0","1010801068"
"","","","0","","91","","1010801","","","1010801069"
"0.5","dsb_hot","1","1","","3","","1010801","","","1010801070"
"","vo_dsb_1011","0","vo_dsb_1010801","0","21","","1010801","","","1010801071"
"0","不過……\n呼。\n是我果實加太多了嗎～？\n感覺有點發熱了～","10","1","1","11","1","1010801","0.2","0","1010801072"
"","","","0","","91","","1010801","","","1010801073"
"0.5","dsb_hot_loop","1","1","","3","","1010801","","","1010801074"
"0.3","dsb_talk_thinking_Ex9","1","2","","3","","1010801","","","1010801075"
"","vo_dsb_1012","0","vo_dsb_1010801","0","21","","1010801","","","1010801076"
"0","（這、這是……好機會！\n如果老大比我先泡到頭昏，\n到時候老大就比我還遜了！\n就等於是我贏了！The‧以下犯上！）","10","2","1","11","1","1010801","0.2","0","1010801077"
"","","","0","","91","","1010801","","","1010801078"
"0.5","dsb_talk_arm_crossed_Ex10","0","2","dsb_talk_arm_crossed_Ex10_loop","3","1","1010801","","0.5","1010801079"
"","vo_dsb_1013","0","vo_dsb_1010801","0","21","","1010801","","","1010801080"
"0","呵呵呵……\n這場比賽我贏定了──！\n啊──哈哈哈哈！","10","2","1","11","1","1010801","0.2","0","1010801081"
"","1","","5.6","","93","","1010801","","","1010801082"
"0.5","dsb_ahaha_in","0","2","dsb_ahaha_loop","3","1","1010801","","0","1010801083"
"","","","1010801081","","91","","1010801","","","1010801084"
"","1","","40","","32","","1010801","","","1010801085"
"","0","","1.5","","93","","1010801","","","1010801086"
"0","dsb_inori_dizzy","1","2","","3","","1010801","","","1010801087"
"0","dsb_idle_normal","1","1","","3","","1010801","","","1010801088"
"","0","","0.5","","93","","1010801","","","1010801089"
"","0","","0","","22","","1010801","","","1010801090"
"","0","","1","","93","","1010801","","","1010801091"
"0.5","dsb_smile4","0","1","dsb_talk_joy3","3","1","1010801","","0.2","1010801092"
"","vo_dsb_1014","0","vo_dsb_1010801","0","21","","1010801","","","1010801093"
"0","嗯──♪\n終於暖和起來了～\n祈梨，對吧？","10","1","1","11","1","1010801","0.2","0","1010801094"
"","","","0","","91","","1010801","","","1010801095"
"0.5","dsb_idle_normal","1","1","","3","","1010801","","","1010801096"
"","vo_dsb_1015","0","vo_dsb_1010801","0","21","","1010801","","","1010801097"
"0","噫……\n噫噫噫噫……\n我要變成水煮龍人族了～！","10","2","1","11","1","1010801","0.2","0","1010801098"
"","","","0","","91","","1010801","","","1010801099"
"","0","","0","","22","","1010801","","","1010801100"
"","se_10044200_get_out_water","0","se_10044200","","23","","1010801","","","1010801101"
"0.2","dsb_inori_stand_up_in","0","2","dsb_inori_stand_up_loop","3","1","1010801","","0.2","1010801102"
"0.3","dsb_smile2","0","1","dsb_idle_normal","3","1","1010801","","0.2","1010801103"
"","0","","0.3","","93","","1010801","","","1010801104"
"","se_adv_emote_sweat_02","0","se_adv_emote_sweat_02","","23","","1010801","","","1010801105"
"0","2","1.4","2","0","12","0","1010801","0","0","1010801106"
"0","10","1.4","1","0","12","0","1010801","0","0","1010801107"
"","0","","2.5","","93","","1010801","","","1010801108"
"2","1","70","12","-165","5","-345","1010802","dsb_idle_normal","0","1010802001"
"2","2","70","6","165","5","-345","1010802","dsb_idle_normal","1","1010802002"
"1","1","0","1","0","31","1","1010802","","","1010802003"
"1","3","0","3","0","31","1","1010802","","","1010802004"
"1","4","0","4","0","31","1","1010802","","","1010802005"
"1","10","0","16","0","31","1","1010802","","","1010802006"
"1","20","0","26","0","31","1","1010802","","","1010802007"
"1","30","155","36","-168","31","1","1010802","","","1010802008"
"1","31","-155","36","-168","31","1","1010802","","","1010802009"
"","170","","1","","13","","1010802","","","1010802010"
"","170","","2","","13","","1010802","","","1010802011"
"","","","0","","91","","1010802","","","1010802012"
"","se_10044200_cmn_amb","1","se_10044200","","23","","1010802","","","1010802013"
"","se_10044200_cmn_steam","0","se_10044200","","23","","1010802","","","1010802014"
"","0","","6","","93","","1010802","","","1010802015"
"","se_10044200_hotspring_06","1","se_10044200","","23","","1010802","","","1010802016"
"","0","","1.5","","93","","1010802","","","1010802017"
"0.5","dsb_smile3_joy","0","2","dsb_talk_joy1","3","1","1010802","","0.5","1010802018"
"","vo_dsb_2001","0","vo_dsb_1010802","0","21","","1010802","","","1010802019"
"0","太讚了──！浴池好寬敞～☆\n「泡溫泉感」真誇張！\n而且還能見到美里妳們，超好玩！\n好嗨喔～♪","10","2","1","11","1","1010802","0.2","0","1010802020"
"","","","0","","91","","1010802","","","1010802021"
"0.5","dsb_idle_joy1","1","2","","3","","1010802","","","1010802022"
"0.5","dsb_talk_normal_joy","1","1","","3","","1010802","","","1010802023"
"","vo_dsb_2002","0","vo_dsb_1010802","0","21","","1010802","","","1010802024"
"0","好久不見～鈴奈♪\n今天我準備的溫泉\n是鮮花的香芬浴池。\n味道很香，對皮膚也很好喔～","10","1","1","11","1","1010802","0.2","0","1010802025"
"","","","0","","91","","1010802","","","1010802026"
"0.5","dsb_idle_normal","1","1","","3","","1010802","","","1010802027"
"0.5","dsb_surprise2","0","2","dsb_talk_surprise1_2","3","1","1010802","","0.5","1010802028"
"","vo_dsb_2003","0","vo_dsb_1010802","0","21","","1010802","","","1010802029"
"0","超讚，妳真是溫泉天才！\n泡了還有助於美容，嚇死了！\n要感謝小伊緒\n告訴我這個地方♪","10","2","1","11","1","1010802","0.2","0","1010802030"
"","1","","6.5","","93","","1010802","","","1010802031"
"0.5","dsb_talk_joy3","1","2","","3","","1010802","","","1010802032"
"","","","1010802030","","91","","1010802","","","1010802033"
"0.3","dsb_talk_guts2_doya","0","2","dsb_talk_guts2_doya_loop","3","1","1010802","","0.5","1010802034"
"","vo_dsb_2004","0","vo_dsb_1010802","0","21","","1010802","","","1010802035"
"0","好──！\n那我要盡～情泡──\n讓肌膚變得很光滑──\n叫秀才大吃一驚☆","10","2","1","11","1","1010802","0.2","0","1010802036"
"","","","0","","91","","1010802","","","1010802037"
"0.5","dsb_talk_worry_normal2","1","2","","3","","1010802","","","1010802038"
"","vo_dsb_2005","0","vo_dsb_1010802","0","21","","1010802","","","1010802039"
"0","啊，對了！\n說到大吃一驚──\n讓這裡再多一些\n厲害感怎麼樣？","10","2","1","11","1","1010802","0.2","0","1010802040"
"","","","0","","91","","1010802","","","1010802041"
"0.5","dsb_idle_normal","1","2","","3","","1010802","","","1010802042"
"0.5","dsb_talk_surprise1","1","1","","3","","1010802","","","1010802043"
"","vo_dsb_2006","0","vo_dsb_1010802","0","21","","1010802","","","1010802044"
"0","厲害感？","10","1","1","11","1","1010802","0.2","0","1010802045"
"","","","0","","91","","1010802","","","1010802046"
"0.2","dsb_idle_wish_normal","1","1","","3","","1010802","","","1010802047"
"0.5","dsb_talk_surprise1_normal2","1","2","","3","","1010802","","","1010802048"
"","vo_dsb_2007","0","vo_dsb_1010802","0","21","","1010802","","","1010802049"
"0","對哇！\n要一眼就讓大家明白！\n這裡超讚！","10","2","1","11","1","1010802","0.2","0","1010802050"
"","","","0","","91","","1010802","","","1010802051"
"0.5","dsb_talk_surprise1_talkjoy2","1","2","","3","","1010802","","","1010802052"
"","vo_dsb_2008","0","vo_dsb_1010802","0","21","","1010802","","","1010802053"
"0","只要氣氛調整一下搞不好就會爆紅！\n弄成超可愛的浴池，\n就會有一大堆客人唷！","10","2","1","11","1","1010802","0.2","0","1010802054"
"","","","0","","91","","1010802","","","1010802055"
"0.5","dsb_idle_joy1","1","2","","3","","1010802","","","1010802056"
"0.5","dsb_talk_joy3","1","1","","3","","1010802","","","1010802057"
"","vo_dsb_2009","0","vo_dsb_1010802","0","21","","1010802","","","1010802058"
"0","可愛的浴池……\n真好奇～♪\n會是什麼樣的呢～？","10","1","1","11","1","1010802","0.2","0","1010802059"
"","","","0","","91","","1010802","","","1010802060"
"0.5","dsb_idle_sad_talkjoy2","1","1","","3","","1010802","","","1010802061"
"0.5","dsb_talk_worry_normal2","1","2","","3","","1010802","","","1010802062"
"","vo_dsb_2010","0","vo_dsb_1010802","0","21","","1010802","","","1010802063"
"0","我想想──\n少不了要有更多花在水上漂漂吧！\n當然要有各式各樣的！\n如果變成彩色的看起來就超有feel♪","10","2","1","11","1","1010802","0.2","0","1010802064"
"","","","0","","91","","1010802","","","1010802065"
"0.5","dsb_idle_normal","1","2","","3","","1010802","","","1010802066"
"0.5","dsb_talk_memory","1","1","","3","","1010802","","","1010802067"
"","vo_dsb_2011","0","vo_dsb_1010802","0","21","","1010802","","","1010802068"
"0","就像一片溫泉裡的花海呢～♪\n在五顏六色的花圍繞下\n泡溫泉……嗯呵呵♪\n光用想像的心情就很雀躍～","10","1","1","11","1","1010802","0.2","0","1010802069"
"","","","0","","91","","1010802","","","1010802070"
"0.5","dsb_talk_normal","1","1","","3","","1010802","","","1010802071"
"","vo_dsb_2012","0","vo_dsb_1010802","0","21","","1010802","","","1010802072"
"0","對了，既然如此……\n花香的搭配也要講究一下。\n還有花語的意思。","10","1","1","11","1","1010802","0.2","0","1010802073"
"","","","0","","91","","1010802","","","1010802074"
"0.5","dsb_idle_normal","1","1","","3","","1010802","","","1010802075"
"0.5","dsb_surprise","0","2","dsb_talk_surprise1","3","1","1010802","","0.5","1010802076"
"","vo_dsb_2013","0","vo_dsb_1010802","0","21","","1010802","","","1010802077"
"0","咦？\n花語？","10","2","1","11","1","1010802","0.2","0","1010802078"
"","","","0","","91","","1010802","","","1010802079"
"0.5","dsb_idle_surprise1","1","2","","3","","1010802","","","1010802080"
