ed9841e288cd5339e87cc83f1535f51b3b9f404f366b3f8cdb21fd0a972fba2a,bc6be91a76b78ab77a20384987f6239c08ae23dc85e4d0e2f071456462694864,d43dcb3c1d16cc5dbaa3bd28956735e905e6ebf319858a8392584a90efabaff8,1a78b259fa13a40915b892ff05a2314ece0de4e35c410efed08f2e904e96039c,618e3753838559920d8c9445247151deb3692eb948b475c5706f1c1e11b3a898,928a37cef244b22c80168d7770488ed0cd6aedf85178fd3806246ecfb974f7a7,bc30a09e8bbf3c9871771d8ebaf58beb0e4c3b6e1e87269ec85635bf35691f14,11bf5b5003a99b6e968704c46efe988d27089a3288f5be12b4fbbbd13dd41012,8d3521a32c567c1733a1ed2a721bab75c8ad68dbaed2d1229ee98b10a598693f,2e97223f7fb5118263af6acb63adac1c0c33eae3ac0fe0d922c11cd534962c98,e32f3138e24e11614249473b6b935f75afa89f2333dcb19e514a997f7f8b46ee,f8995fc755cb4069e16f515b314dbe665f70c635c10957698f9a6cd56517f98c,dab484673bf0a1daaba2ec0485ea06e8c89cca0aba53dc9d04b76af59ba518c8,af52ce93911b562d36783f3b6185c41c4aaa6127c7ee3d38da0225cf7005da2e
"24015","2.3","啊啊～好可惜～\n難道你的魂被奄美魔物奪走了嗎～？","0","1","1","10021","2030/12/17 14:59:59","24","4","0","香織（夏日）","110501","2019/12/02 16:00:00"
"24016","2.3","今天的舞蹈也跳得很糟糕呢～\n吃點像苦瓜的東西恢復元氣吧～！","0","1","2","10021","2030/12/17 14:59:59","24","4","0","香織（夏日）","110501","2019/12/02 16:00:00"
"24017","2.3","到處都是奄美魔物，看得我眼花瞭亂～！\n腦袋也昏昏的～！","0","1","3","10021","2030/12/17 14:59:59","24","4","0","香織（夏日）","110501","2019/12/02 16:00:00"
"24018","2.3","船到橋頭自然直、船到橋頭自然直\n下次再努力就好了～！\n到海邊游泳，讓自己煥然一新吧～！","0","1","4","10021","2030/12/17 14:59:59","24","1","0","香織（夏日）","110501","2019/12/02 16:00:00"
"24019","2.3","丟臉的一面\n被你看見了～\n泳裝？　我指的不是泳裝喔～？","0","1","5","10021","2030/12/17 14:59:59","24","5","0","香織（夏日）","110501","2019/12/02 16:00:00"
"24020","2.3","狀態絕佳～！　就按照這個步調\n取回大海的和平吧～！\n歡樂的夏天正在等著我們～！","0","3","6","10021","2030/12/17 14:59:59","24","2","0","香織（夏日）","110501","2019/12/02 16:00:00"
"24021","2.3","不管有幾隻魔物來襲，\n我都不會嚇掉魂喔～！\n哈啾！　啊……不過可能會因為剛剛的噴嚏而掉魂～？","0","3","7","10021","2030/12/17 14:59:59","24","1","0","香織（夏日）","110501","2019/12/02 16:00:00"
"24022","2.3","咿――呀――呀――啊――♪\n戰鬥結束後跳個舞蹈，\n精神百倍呀～！","0","3","8","10021","2030/12/17 14:59:59","24","2","0","香織（夏日）","110501","2019/12/02 16:00:00"
"24023","2.3","咦～？　戰鬥途中\n泳衣不知道跑去哪了～？\n喂，你有看到嗎～？\n為什麼要離開呢～？","0","3","9","10021","2030/12/17 14:59:59","24","6","0","香織（夏日）","110501","2019/12/02 16:00:00"
"24024","2.3","我還很有精神喔～！\n不管是奄美魔物還是別的，\n儘管來～吧～♪","0","3","10","10021","2030/12/17 14:59:59","24","1","0","香織（夏日）","110501","2019/12/02 16:00:00"
"24025","2.3","我的空手道可是世界最強的～！\n只要夏日陽光和蔚藍大海常伴左右，\n我們就能所向無敵喔～！","0","3","11","10021","2030/12/17 14:59:59","24","2","0","香織（夏日）","110501","2019/12/02 16:00:00"
