833f407a7ca78d3e74b0411fd109e01315b10e551d6714f5dc379e075e219ee8,1bc7354fd99ec1737ea9d0bf7beb44aeec313ad22f2f19b513d90d9caf489255,847654285d93566ae4404c394bbaef630361988bed565bbf7cbfa6e0b5ec5129,30190f8b85d6e8655016804ff7b0bd64026b627350ad123213a61d2a61d1ce32,021631736212a6d4edbaa40812196e33078d0ab1c02f3fd6b0ee1a7edb88a33d,5f1c9502d70e6f0d318c41283a2514dc04e7c0ff9dc146136875b9e49646d0f7,474ef03d42812ea902ed36c88deaaf70426aabb6bdffd9bccbd416d6a4b88f32,d1b84d50269c6faf44413e37ed0b7e3dfa26e62034909207477d528ecae8261e
"1.朱諾平原","2030/12/17 14:59:59","1.朱諾平原","2015/12/17 15:00:00","bgm_M61","11001","101","bgm_M61"
"2.帕拉斯高原","2030/12/17 14:59:59","2.帕拉斯高原","2015/12/17 15:00:00","bgm_M61","11002","101","bgm_M61_02"
"3.赫柏丘陵","2030/12/17 14:59:59","3.赫柏丘陵","2015/12/17 15:00:00","bgm_M61","11003","101","bgm_M61_03"
"4.維斯塔溪谷","2030/12/17 14:59:59","4.維斯塔溪谷","2015/12/17 15:00:00","bgm_M61","11004","101","bgm_M61_04"
"5.刻瑞斯森林","2030/12/17 14:59:59","5.刻瑞斯森林","2015/12/17 15:00:00","bgm_M62","11005","101","bgm_M62_01"
"6.佛洛拉湖畔","2030/12/17 14:59:59","6.佛洛拉湖畔","2015/12/17 15:00:00","bgm_M62","11006","101","bgm_M62_02"
"7.墨提斯大瀑布","2030/12/17 14:59:59","7.墨提斯大瀑布","2015/12/17 15:00:00","bgm_M62","11007","101","bgm_M62_03"
"8.伊麗絲樹海","2030/12/17 14:59:59","8.伊麗絲樹海","2015/12/17 15:00:00","bgm_M42","11008","101","bgm_M42_02"
"9.弗麗嘉雪原","2030/12/17 14:59:59","9.弗麗嘉雪原","2015/12/17 15:00:00","bgm_M58","11009","101","bgm_M58"
"10.洛麗泰海岸","2030/12/17 14:59:59","10.洛麗泰海岸","2018/10/05 16:00:00","bgm_M101","11010","101","bgm_M101"
"11.蓋奴亞荒漠","2030/12/17 14:59:59","11.蓋奴亞荒漠","2018/11/07 16:00:00","bgm_M93","11011","101","bgm_M93"
"12.波諾尼亞砂丘","2030/12/17 14:59:59","12.波諾尼亞砂丘","2018/12/07 16:00:00","bgm_M94","11012","101","bgm_M94"
"13.朵羅西亞濕地","2030/12/17 14:59:59","13.朵羅西亞溼地","2019/01/03 16:00:00","bgm_M118","11013","101","bgm_M118"
"14.尤金尼亞熱地","2030/12/17 14:59:59","14.尤金尼亞熱地","2019/01/30 16:00:00","bgm_M95","11014","101","bgm_M95"
"15.塔利亞火山","2030/12/17 14:59:59","15.塔利亞火山","2019/02/18 16:00:00","bgm_M96","11015","101","bgm_M96"
"16.泰美斯銀嶺","2030/12/17 14:59:59","16.泰美斯銀嶺","2019/03/21 16:00:00","bgm_M140","11016","101","bgm_M140"
"17.菲得斯冰原","2030/12/17 14:59:59","17.菲得斯冰原","2015/12/17 15:00:00","bgm_M141","11017","101","bgm_M141"
"18.法艾頓\n　　　　　草原‧北部","2030/12/17 14:59:59","18.法艾頓草原","2015/12/17 15:00:00","bgm_M179","11018","102","bgm_M179"
"19.法艾頓\n　　　　　草原‧南部","2030/12/17 14:59:59","19.法艾頓草原‧南部","2019/06/17 16:00:00","bgm_M179","11019","102","bgm_M179"
"20.卡斯塔利亞\n　　　　　樹林‧西部","2030/12/17 14:59:59","20.卡斯塔利亞樹林‧西部","2019/08/15 16:00:00","bgm_M180","11020","102","bgm_M180"
"21.卡斯塔利亞\n　　　　　樹林‧東部","2030/12/17 14:59:59","21.卡斯塔利亞樹林‧東部","2019/08/15 16:00:00","bgm_M180","11021","102","bgm_M180"
"22.馬提爾德\n　　　　　岩峰‧南部","2030/12/17 14:59:59","22.馬提爾德岩峰‧南部","2019/09/17 16:00:00","bgm_M232","11022","102","bgm_M232"
"23.馬提爾德\n　　　　　岩峰‧北部","2030/12/17 14:59:59","23.馬提爾德岩峰‧北部","2019/09/17 16:00:00","bgm_M232","11023","102","bgm_M232"
"24.雷蒂烏斯\n　　　　　群峰‧西麓","2030/12/17 14:59:59","24.雷蒂烏斯群峰‧西麓","2019/10/15 16:00:00","bgm_M233","11024","102","bgm_M233"
"25.雷蒂烏斯\n　　　　　群峰‧東麓","2030/12/17 14:59:59","25.雷蒂烏斯群峰‧東麓","2019/11/15 16:00:00","bgm_M233","11025","102","bgm_M233"
"26.佩特羅大森林‧西部","2030/12/17 14:59:59","26.佩特羅大森林‧西部","2019/12/13 16:00:00","bgm_M260","11026","102","bgm_M260"
"27.佩特羅大森林‧東部","2030/12/17 14:59:59","27.佩特羅大森林‧東部","2020/01/10 16:00:00","bgm_M260","11027","102","bgm_M260"
"28.迪茲塔爾河\n　　　　　蝕岸‧北部","2030/12/17 14:59:59","28.迪茲塔爾河蝕岸‧北部","2020/02/14 16:00:00","bgm_M278","11028","102","bgm_M278_E28"
"29.迪茲塔爾河\n　　　　　蝕岸‧南部","2030/12/17 14:59:59","29.迪茲塔爾河蝕岸‧南部","2020/03/13 16:00:00","bgm_M278","11029","102","bgm_M278_E29"
"30.弗泰拉斷崖‧北部","2030/12/17 14:59:59","30.弗泰拉斷崖‧北部","2020/04/14 16:00:00","bgm_M293","11030","102","bgm_M293"
"31.弗泰拉斷崖‧南部","2030/12/17 14:59:59","31.弗泰拉斷崖‧南部","2020/05/15 16:00:00","bgm_M293","11031","102","bgm_M293"
"32.法斯奇亞\n　　　　　　森林‧南部","2030/12/17 14:59:59","32.法斯奇亞森林‧南部","2020/06/15 16:00:00","bgm_M339","11032","102","bgm_M339"
"33.法斯奇亞\n　　　　　　森林‧東部","2030/12/17 14:59:59","33.法斯奇亞森林‧東部","2020/07/13 16:00:00","bgm_M339","11033","102","bgm_M339"
"34.迪克斯提亞\n　　　　　岩崖‧西壁","2030/12/17 14:59:59","34.迪克斯提亞岩崖‧西壁","2020/08/17 16:00:00","bgm_M374","11034","102","bgm_M374"
"35.迪克斯提亞\n　　　　　岩崖‧東壁","2030/12/17 14:59:59","35.迪克斯提亞岩崖‧東壁","2020/09/14 16:00:00","bgm_M374","11035","102","bgm_M374"
"36.維娜\n　　　　　湖畔道‧南部","2030/12/17 14:59:59","36.維娜湖畔道‧南部","2020/11/13 16:00:00","bgm_M392","11036","102","bgm_M392"
"37.維娜\n　　　　　湖畔道‧北部","2030/12/17 14:59:59","37.維娜湖畔道‧北部","2020/12/14 16:00:00","bgm_M392","11037","102","bgm_M392"
"38.拉圖斯\n　　　　　斷崖‧南部","2030/12/17 14:59:59","38.拉圖斯斷崖‧南部","2021/01/15 16:00:00","bgm_M411","11038","102","bgm_M411"
"39.拉圖斯\n　　　　　斷崖‧北部","2030/12/17 14:59:59","39.拉圖斯斷崖‧北部","2021/02/09 16:00:00","bgm_M411","11039","102","bgm_M411"
