93f64eaf5d3ac1bd8b14411ca1b6bf28b929f0689e11689dda53d3ca92d43596,96a24f1f080c863b606b48b0bcffacc7c56843c225211d9026fb7c4abd83f80b,ad97f81ec72460eaa4aa16a1c7a0e6ecc10d774a88a28b11e80cbeaf31f02959,f89ced7f075aa1085f18024f90785ff75e5ad9304e1ce19a09c0831d216901c7,127e8db22821924737daa6e7f26996aeda4671ea6f52989de6ae1c52c6404fda,22fee016e571f1c162ee134a058b369fb706aa4204899832ebafcaa0b7e42e6d,283e8b616de4886f610ab90ae0ad19f88816c2e71d55b88e9fb85c8442970cd1,12126c464508df6f165b43ddef500da3750262d83aec05976246673e35e91d10,09ed1a79d7ad6c7f3eb268d883f3f421dad1b2a7ff99177556cbae039ce41680,1797acdda97c96d572254851ba5c407e0b4cde9186275f1d95562ef3db43fbe0
"1","Mug","0","Hug","0","0","0","Pug","Bug","2110001"
"1","Technician","0","Techie","0","0","0","Technical","Technology","2110003"
"1","暴風雪","0","冰瀑","0","0","0","樹冰","雪崩","2110005"
"1","化石","0","黑曜石","0","0","0","大理石","磁鐵","2110006"
"1","River","0","Bay","0","0","0","Oceania","Ocean","2110007"
"1","Hashtag","0","Slash","0","0","0","Dash","At","2110008"
"1","不會曬到太陽的地方","0","總是很涼快的地方","0","0","0","建築物裡面","會曬到太陽的地方","2110010"
"1","更替","0","更動","0","0","0","更正","更新","2110011"
"1","風吹雪","0","六月雪","0","0","0","虹村雪","暴風雪","2110012"
"1","Apple","0","Banana","0","0","0","Orange","Grape","2110014"
"1","拋物線","0","電話線","0","0","0","新幹線","地平線","2110016"
"1","白歷史","0","紅歷史","0","0","0","藍歷史","黑歷史","2110018"
"1","味醂","0","醋","0","0","0","味噌","醬油","2110019"
"1","Bus","0","Train","0","0","0","Truck","Track","2110021"
"1","難上加難","0","加油添醋","0","0","0","愈描愈黑","火上加油","2110022"
"1","Brain","0","Stomach","0","0","0","Heart","Liver","2110023"
"1","開演","0","開場","0","0","0","啟動","啟用","2110024"
"1","loin","0","cane","0","0","0","line","coin","2110025"
"1","服侍","0","便服","0","0","0","常服","服裝","2110026"
"1","水標","0","水章","0","0","0","流水號","水印","2110028"
"1","Spider","0","Cockroach","0","0","0","Owl","Elephant","2110031"
"1","浪","0","朗","0","0","0","啷","狼","2110032"
"1","錦上添花","0","雪中送炭","0","0","0","雪上加霜","如虎添翼","2110034"
"1","功虧一簣","0","勞而無功","0","0","0","前功盡棄","不勞而獲","2110035"
"1","愛不忍釋","0","隱忍不發","0","0","0","慘不忍睹","忍無可忍","2110036"
"1","煮菜","0","攪和","0","0","0","捕魷魚","開除","2110037"
"1","喜歡下棋","0","棋藝很高","0","0","0","遇到敵人","實力相當","2110038"
"1","水仙","0","茉莉花","0","0","0","牽牛花","百合","2110039"
"1","Afraid","0","Nervous","0","0","0","Aware","Keen","2110040"
"1","Papaya","0","Pineapple","0","0","0","Pitaya","Parrot","2110041"
"1","川","0","二","0","0","0","六","氵","2110042"
"1","羊","0","次","0","0","0","水","冷","2110043"
"1","盟","0","明","0","0","0","期","朝","2110044"
"1","火龍果","0","釋迦","0","0","0","石榴","榴蓮","2110045"
"1","宣示","0","諠示","0","0","0","諠誓","宣誓","2110046"
"1","起牀","0","超床","0","0","0","請床","起床","2110047"
"1","非","0","無","0","0","0","未","不","2110049"
"1","不","0","無","0","0","0","未","非","2110050"
"1","不","0","非","0","0","0","未","無","2110051"
"1","不","0","非","0","0","0","無","未","2110052"
"1","一頭栽進去","0","照三餐問候","0","0","0","有名無實","三分鐘熱度","2110053"
"1","可拆解的","0","單一的","0","0","0","孤獨的","可溶解的","2110054"
"1","久旱逢甘霖","0","他鄉遇故知","0","0","0","金榜題名時","春秋無義戰","2110056"
"1","十","0","千","0","0","0","萬 ","百","2110058"
"1","九","0","八","0","0","0","七","十","2110060"
"1","咕嚕靈波～","0","常保童話之心的公主","0","0","0","與真步的羈絆","神奇真步魔法靈咕嚕靈波～","2111001"
"1","切嚕～☆","0","太讚了吧☆","0","0","0","夢想成為超級巨星☆☆★","嘟嚕嚕嚕嚕～★","2111002"
"1","有獸耳及獸尾","0","人口最多","0","0","0","頭部有雙角","尖尖的長耳","2111003"
"1","咕咕","0","嗡嗡","0","0","0","哇哇","哞哞","2111004"
"1","心型吉拿棒","0","蘋果派","0","0","0","大天使之淚","綜合莓果蛋糕","2111005"
"1","Hammer","0","Screwdriver","0","0","0","Pliers","Pillar","2120002"
"1","House","0","Building","0","0","0","Cottage","Balustrate","2120004"
"1","AIDS","0","ADSL","0","0","0","SARS","PTSD","2120005"
"1","TS","0","STS","0","0","0","TY","TD","2120006"
"1","愧","0","酒","0","0","0","酉","醜","2120009"
"1","因時制宜","0","委曲求全","0","0","0","無可奈何","不知變通","2120011"
"1","電車","0","電源","0","0","0","電燈","電報","2120012"
