5e689abfbf157892c271919e35154f2d7d081f49f2ad15f94cecb99abbeea101,3d0e642b702cc9b776de3434434417e6916feb3221eb9653aec24d21d85dcc7d,49ae699865ded8f5964a00a6c8fdc686041c90764bf3a95863a59e911d760746,954bf9aa6eab819606e1bc5c1b2261f497e9665f3e2d616b5a5de7f1d6b93916,b4a8e736f691eda880ee566c4ead49efbdb82dda8ea3b93737567323650bd184,443206211e700b0fae0036bab0a6102d137fd999bda9b1d85c36ac690179f80f,c3b3280fde43b24ab89de56bbe9aafe05d446d3485da02331747d35997c1e3aa,1a9f1a64e465b592dbb5a4434445b9a0dcf007b764c151222e1706ecc2045493,d5aada34033e56594407a8ef1e476db6cb8dde231880ba5c93bef66d2e4050d8,91644b9311a104a0d7cbaf1836c1dceb7891f9faa3e1bb98924241884897e23a,689796a744ba8eb3ee1e341d627612d5c59010a191daabed125658a41bcdd359,90e81242e417bd91b657f3393d5e9751e65f2ffb61563f3578b95678442421c0,4cd1ae5e82afd6a6e96b8563fdefe890af10dd4c2569e49e0a9cf44a890849a6,d6c544923ad40c969cb03415cbe7f6ee8a1c563094499854a3fb831799a9f573
"綾音","太棒了，噗吉！\n這樣就能當\n哥哥他們的榜樣了！","102301","0","0","24001","2","2","2020/07/31 12:00:00","24","401","10046","0","2030/12/17 14:59:59"
"綾音","我們贏了！\n有噗吉和我在一起，\n不管來了怎麼樣的球，\n我都會打出全壘打的！","102301","2.21","0","24002","2","1","2020/07/31 12:00:00","24","402","10046","0","2030/12/17 14:59:59"
"綾音","好耶好耶！\n哥哥你有看見嗎？\n我有好好努力喔！","102301","0","0","24003","2","2","2020/07/31 12:00:00","24","403","10046","0","2030/12/17 14:59:59"
"旭","特訓好像有成果了！\n照著這個步調繼續練習，\n持續進步下去吧！","192201","1.99","0","24004","1","2","2020/07/31 12:00:00","24","701","10046","0","2030/12/17 14:59:59"
"旭","很好，感覺很棒！\n看樣子我應該能夠好好地\n盡到隊長的職責。","192201","2.21","0","24005","2","1","2020/07/31 12:00:00","24","702","10046","0","2030/12/17 14:59:59"
"旭","比賽將近，\n我似乎有抓到感覺了！\n一口氣邁向全國大賽吧！","192201","3.33","0","24006","1","2","2020/07/31 12:00:00","24","703","10046","0","2030/12/17 14:59:59"
"社員3","這點程度輕鬆得很，\n畢竟我們可是\n以全國大賽為目標啊。","192301","0","0","24007","2","2","2020/07/31 12:00:00","24","801","10046","0","2030/12/17 14:59:59"
"社員3","我也算是\n沙灘棒球選手啊，\n不管什麼球來了，\n我都會把它打飛到觀眾席去的。","192301","2.68","0","24008","2","1","2020/07/31 12:00:00","24","802","10046","0","2030/12/17 14:59:59"
"社員3","感覺很不錯，\n這樣比賽時應該也能好好活躍，\n我要大肆表現一番！","192301","0","0","24009","2","2","2020/07/31 12:00:00","24","803","10046","0","2030/12/17 14:59:59"
"","太好了！","192501","0","0","24010","1","1","2020/07/31 12:00:00","24","501","10046","0","2030/12/17 14:59:59"
"","贏了！","192501","0","0","24011","1","1","2020/07/31 12:00:00","24","502","10046","0","2030/12/17 14:59:59"
"","感覺不錯！","192501","0","0","24012","1","1","2020/07/31 12:00:00","24","503","10046","0","2030/12/17 14:59:59"
