4fe64e2a1487a78f7ba69206bbbb58b2e1972a96984badb1739e67b1fbc7a0cd,52afdbc907d040f2b818b7774b9ac417135380ff27e2a98a0e0e6db0c48e3094,69809069e25a0ffb01ac70931490936ec994f8a5ca37a8a977e1f8e4faad01ba,b51a683e9cf2d4282d40b7986629624a6816a8613df6c9dce1ae15e014d264f4
"2019/08/15 04:59:00","1st Anniversary 特別登入獎勵","2019/08/01 05:00:00","10000"
"2020/02/07 04:59:59","1.5Year Anniversary 特別登入獎勵","2020/01/21 05:00:00","10002"
"2020/07/08 04:59:59","2nd Anniversary 特別登入獎勵","2020/06/22 05:00:00","10003"
"2021/02/26 04:59:59","2.5 Year Anniversary 特別登入獎勵","2021/02/09 05:00:00","10004"
"2021/08/15 04:59:59","3rd Anniversary 特別登入獎勵","2021/08/01 05:00:00","10005"
"2022/02/18 04:59:59","3.5 Year Anniversary 特別登入獎勵","2022/02/01 05:00:00","10006"
"2022/08/15 04:59:59","4th Anniversary 特別登入獎勵","2022/08/01 05:00:00","10007"
"2023/02/06 04:59:59","4.5 Year Anniversary 特別登入獎勵","2023/01/20 05:00:00","10008"
"2023/08/15 04:59:59","5th Anniversary 特別登入獎勵","2023/08/01 05:00:00","10009"
"2024/02/24 04:59:59","5.5 Year Anniversary 特別登入獎勵","2024/02/07 05:00:00","10010"
"2024/08/16 04:59:59","6th Anniversary 特別登入獎勵","2024/08/01 05:00:00","10011"
"2025/02/18 04:59:59","6.5 Year Anniversary 特別登入獎勵","2025/02/01 05:00:00","10012"
"2025/08/15 04:59:59","7th Year Anniversary 特別登入獎勵","2025/08/01 05:00:00","10013"
