c96d8e6069cd88817c01cc7849acfc8616379f1031482bac5cbeb466f7cc439a,feceff3164b0460289ca223e0d5b351b4fe2216968cdf948335f1b8325fe1b24,4747839662adfed9025b200b7a2a00508f0ca81593e1e5969504e5c0b99f3878,c272dd7db9a7a1e155016d93f2c3ffde8db1f26cdc1432e8e86f7e3892cd46ed,1f7a7add4a3ba574fd3069d31a175a4448d0b0a435d600926e4fdf1322047d80,048a0e2cbee3973f71fb037eca37b781b3fef0730bff7707318fd90296e130c7,ee78d92f76fca978ec2bc396f07e6d991f3c1b6bfc016fff6fa98328a1e3cae2,b222ea8a1ab413888a9c10e7c96dcc7fdc7cae72d3802f7d9256e882e759e552
"3050100","1","10101020","0","1","0","24","1"
"4010200","2","0","0","2","0","24","1"
"3030200","3","10401020","0","3","0","24","1"
"3050200","4","10401020","0","4","0","24","1"
"3040200","5","10401020","0","5","0","24","1"
"3020200","6","10401020","0","6","0","24","1"
"4010300","7","0","0","7","0","24","1"
"3030100","101","10101020","0","8","0","24","1"
"3010201","102","0","0","9","0","24","1"
"3020201","103","0","0","10","0","24","1"
"3010301","104","0","0","11","0","24","1"
"3030301","105","0","0","12","0","24","1"
"3040301","106","0","0","13","0","24","1"
"3050301","107","0","0","14","0","24","1"
"3020301","108","0","0","15","0","24","1"
"3030300","109","10401050","0","16","0","24","1"
"3040300","110","10401050","0","17","0","24","1"
"3050300","111","10401050","0","18","0","24","1"
"3020300","112","10401050","0","19","0","24","1"
"3010100","201","10101020","0","20","0","24","1"
"3020100","202","10101020","0","21","0","24","1"
"3030100","203","10101020","0","22","0","24","1"
"3040100","204","10101020","0","23","0","24","1"
"3050100","205","10101020","0","24","0","24","1"
"3010200","206","10101020","0","25","0","24","1"
"3020200","207","10101020","0","26","0","24","1"
"3030200","208","10101020","0","27","0","24","1"
"3040200","209","10101020","0","28","0","24","1"
"3050200","210","10101020","0","29","0","24","1"
"1010301","401","0","112","30","0","24","1"
"1020301","402","0","203","31","0","24","1"
"1030301","403","0","306","32","0","24","1"
"1040301","404","0","401","33","0","24","1"
"1050301","405","0","508","34","0","24","1"
"1020301","406","20101050","209","35","0","24","1"
"1030301","407","20101050","306","36","0","24","1"
"1040301","408","20101050","407","37","0","24","1"
"1050301","409","20101050","501","38","0","24","1"
"0","600","0","0","39","11001337","15","1"
"0","600","0","0","40","91002","8","150"
"0","700","0","0","41","11001338","15","1"
"0","799","0","0","42","91002","8","150"
"0","800","0","0","43","11001339","15","1"
"0","999","0","0","44","0","24","1"
