fc6f25f77381ab8d06582c4896a9bb3a39f9fce0f61108864cefd381066a5e05,5defbe59de0e5c5034ba4a1ca5461918f30b2e3cfa520a14af97f620a3594191,463afc0bc4de54756a52d4bb4953f3dd135c5408493e296067eb8fd3eafbc189,4061843e8bb8580cad33152122e4e5cbd811d926dd751023ba838171fc7f708c,ffe95b858609c48576b4e4026fc8c5768675a552a086a7182bbf9f7a9aea4984,1c205c966b7e6fc43055ef0dd10f3751ad5f663c57cee2534346aa25d2745f85,08fc310608d0650706ff152385df09161cfbe96a180c79a77704594749af7007,5d849edbe994e59d119d725137a59a5e1fa38ac07ea57cc4e30de6e3157ba44b,9e7fce0ec873c28eb7862b5e0742fe0e0b66d37a1d1dec1b9cc7fda133da9017,70203c853728818e76dea840903325b8bf7cad253f62a99eb2d16183501b58ca,2c8c2974d8d2840389421944462cb4052f02d48dab9d2badbab1b74c6ba122a0,c3ad7d28648837ea85d81adcfda3f57b93c1bce8498d5725e9eb1b1fc3b20efa,b64882b02e8d1683d74ca77a530a7f6bdae4cf36c80b25d7669f922a640f96b9,8082da93c53868a57ddd3abd681ee8738978e19b8a1539296ee221d42d7f76d7,ea018ad914ab41d646fbc496a7d7232f60435d39d7481b38dabc96465df59d0b,559ec6d392d01eacf2f8375bcf63a196cef534a5b7b0b933da9905a173c20d33,2f0d38d08f2061530538db1a0cc24e754c348908f4c8d733192ec4aa5f0979d7,09fab6f61bbc069f6a0a2c7887c9b9f782c1efe5295fed8e394a5cf65a6ed0b9
"0","0","0","0","0","94002","0","0","0","1","用空花大旋轉飛行共2000ｍ吧","0","2000","0","5000","0","0","12"
"0","0","0","0","0","94002","0","0","0","2","用空花大旋轉飛行共4000ｍ吧","0","4000","0","10000","0","0","12"
"0","0","0","0","0","94002","0","0","0","3","用空花大旋轉飛行共6000ｍ吧","0","6000","0","15000","0","0","12"
"0","0","0","0","0","94002","0","0","0","4","用空花大旋轉飛行共8000ｍ吧","0","8000","0","20000","0","0","12"
"5","0","0","0","0","91002","23001","0","0","5","用空花大旋轉飛行共10000ｍ吧","0","10000","2","50","0","0","8"
"0","0","0","0","0","94002","0","0","0","6","用空花大旋轉飛行共12000ｍ吧","0","12000","0","25000","0","0","12"
"0","0","0","0","0","94002","0","0","0","7","用空花大旋轉飛行共14000ｍ吧","0","14000","0","30000","0","0","12"
"0","0","0","0","0","94002","0","0","0","8","用空花大旋轉飛行共16000ｍ吧","0","16000","0","35000","0","0","12"
"0","0","0","0","0","94002","0","0","0","9","用空花大旋轉飛行共18000ｍ吧","0","18000","0","40000","0","0","12"
"5","0","0","0","0","91002","23001","0","0","10","用空花大旋轉飛行共20000ｍ吧","0","20000","2","50","0","0","8"
"0","0","0","0","0","94002","0","0","0","11","用空花大旋轉飛行共22000ｍ吧","0","22000","0","55000","0","0","12"
"0","0","0","0","0","94002","0","0","0","12","用空花大旋轉飛行共24000ｍ吧","0","24000","0","35000","0","0","12"
"0","0","0","0","0","94002","0","0","0","13","用空花大旋轉飛行共26000ｍ吧","0","26000","0","40000","0","0","12"
"0","0","0","0","0","94002","0","0","0","14","用空花大旋轉飛行共28000ｍ吧","0","28000","0","45000","0","0","12"
"150","0","0","2","0","1405","91002","0","10","15","用空花大旋轉飛行共30000ｍ吧","0","30000","8","1","0","23001","7"
