ffeb60de9453ac41206c30ea90bcfb5ab5a8cf5b71dacea80326236e0a5ee4a4,7babb46d42bc1f2b89b978ca60c3d2d3f320269907a0b0b128acb1fc30d60ba2,bb52a01f1f10fc350efbdb0b19542932b02de0a606a300a3f70f4587bf57464d,f2df6e411b205621ada61781ccd5b4f1b4793e2f97ef58b59c0fd9311ea63678,0718ba1b2d7d81b8c8c08e844fca0b916c85888503ae8302279aeb08feafff17,330fd01773fddd395a6b999705d660b9a4ad0684d87a4ef5b49d990a03e50ecf,fc9bad8b12f1457c2e2aeb7785149acb73c37cad3e5c32f24465dfba27195572,f59e4e11e5c45496a57f58d23bee5a69060381b845cce3a325a1989a1fd27a0f,80217f8dd7f0790a0e737b631f06817b553c00cf93ddb261b406631c378e7c22,7cb42a0e48504e009a2cc6eccb99303c805247fddcb8a63fa0ce029876e36bd3
"Bug","2110001","0","1","Pug","0","Hug","0","Mug","0"
"Technology","2110003","0","1","Technical","0","Techie","0","Technician","0"
"雪崩","2110005","0","1","樹冰","0","冰瀑","0","暴風雪","0"
"磁鐵","2110006","0","1","大理石","0","黑曜石","0","化石","0"
"Ocean","2110007","0","1","Oceania","0","Bay","0","River","0"
"At","2110008","0","1","Dash","0","Slash","0","Hashtag","0"
"會曬到太陽的地方","2110010","0","1","建築物裡面","0","總是很涼快的地方","0","不會曬到太陽的地方","0"
"更新","2110011","0","1","更正","0","更動","0","更替","0"
"暴風雪","2110012","0","1","虹村雪","0","六月雪","0","風吹雪","0"
"Grape","2110014","0","1","Orange","0","Banana","0","Apple","0"
"地平線","2110016","0","1","新幹線","0","電話線","0","拋物線","0"
"黑歷史","2110018","0","1","藍歷史","0","紅歷史","0","白歷史","0"
"醬油","2110019","0","1","味噌","0","醋","0","味醂","0"
"Track","2110021","0","1","Truck","0","Train","0","Bus","0"
"火上加油","2110022","0","1","愈描愈黑","0","加油添醋","0","難上加難","0"
"Liver","2110023","0","1","Heart","0","Stomach","0","Brain","0"
"啟用","2110024","0","1","啟動","0","開場","0","開演","0"
"coin","2110025","0","1","line","0","cane","0","loin","0"
"服裝","2110026","0","1","常服","0","便服","0","服侍","0"
"水印","2110028","0","1","流水號","0","水章","0","水標","0"
