095a165748695074b55509368fb1e82f3a83cb1cc0d8a551e865918d1180cbde,1170b38612ad899e154d22c905283e1925a6013b37ded31a7caf6fbf0896f2b2,1b424f3d592852386c8a7c5e5b9ef880fab9118556e1e81e534f4bcb79f02c59,4a9bd7ebaa4cc864e2a301d2584f0ac8074e8673261e04c4e79261c9c27f9ca5,73a1bfe370a67c88c29fb77062b5a10e313750856ac4442da8e4f2665d598f15,ac2799b1dd1418e7e757fc3e3dff886a57c2a07734497d963e75b65705c46ca5,0ea275a4e0350f61f58f06a706baddf592676f974bcb1a80ce5b3abe940b6a66,1f24596b5f59382ed7a73007c4b1b624bd204b412895a0e1e236217ee64fd9b2
"14","6","0","25203","0","25201","1","1"
"14","6","0","25203","0","25201","1","2"
"14","6","0","25203","0","25201","1","3"
"16","6","4","25203","25205","25201","1","4"
"16","6","4","25203","25205","25201","1","5"
"16","6","4","25203","25205","25201","1","6"
"18","8","5","25203","25205","25201","1","7"
"18","8","5","25203","25205","25201","1","8"
"18","8","5","25203","25205","25201","1","9"
"20","10","6","25203","25205","25201","1","10"
"20","10","6","25203","25205","25201","1","11"
"20","10","6","25203","25205","25201","1","12"
"22","12","7","25203","25205","25201","1","13"
"22","12","7","25203","25205","25201","1","14"
"22","12","7","25203","25205","25201","1","15"
"14","6","0","25203","0","25201","2","1"
"14","6","0","25203","0","25201","2","2"
"14","6","0","25203","0","25201","2","3"
"16","6","4","25203","25205","25201","2","4"
"16","6","4","25203","25205","25201","2","5"
"16","6","4","25203","25205","25201","2","6"
"18","8","5","25203","25205","25201","2","7"
"18","8","5","25203","25205","25201","2","8"
"18","8","5","25203","25205","25201","2","9"
"20","10","6","25203","25205","25201","2","10"
"20","10","6","25203","25205","25201","2","11"
"20","10","6","25203","25205","25201","2","12"
"22","12","7","25203","25205","25201","2","13"
"22","12","7","25203","25205","25201","2","14"
"22","12","7","25203","25205","25201","2","15"
"8","14","0","25205","0","25201","3","1"
"8","14","0","25205","0","25201","3","2"
"8","14","0","25205","0","25201","3","3"
"3","16","8","25203","25205","25201","3","4"
"3","16","8","25203","25205","25201","3","5"
"3","16","8","25203","25205","25201","3","6"
"4","18","10","25203","25205","25201","3","7"
"4","18","10","25203","25205","25201","3","8"
"4","18","10","25203","25205","25201","3","9"
"5","20","12","25203","25205","25201","3","10"
"5","20","12","25203","25205","25201","3","11"
"5","20","12","25203","25205","25201","3","12"
"6","22","14","25203","25205","25201","3","13"
"6","22","14","25203","25205","25201","3","14"
"6","22","14","25203","25205","25201","3","15"
"8","14","0","25205","0","25201","4","1"
"8","14","0","25205","0","25201","4","2"
"8","14","0","25205","0","25201","4","3"
"3","16","8","25203","25205","25201","4","4"
"3","16","8","25203","25205","25201","4","5"
"3","16","8","25203","25205","25201","4","6"
"4","18","10","25203","25205","25201","4","7"
"4","18","10","25203","25205","25201","4","8"
"4","18","10","25203","25205","25201","4","9"
"5","20","12","25203","25205","25201","4","10"
"5","20","12","25203","25205","25201","4","11"
"5","20","12","25203","25205","25201","4","12"
"6","22","14","25203","25205","25201","4","13"
"6","22","14","25203","25205","25201","4","14"
"6","22","14","25203","25205","25201","4","15"
"7","6","8","25203","25205","25201","5","1"
"6","7","8","25203","25205","25201","5","2"
"7","7","8","25203","25205","25201","5","3"
"8","8","10","25203","25205","25201","5","4"
"9","8","10","25203","25205","25201","5","5"
"8","9","10","25203","25205","25201","5","6"
"10","10","11","25203","25205","25201","5","7"
"10","10","11","25203","25205","25201","5","8"
"10","10","11","25203","25205","25201","5","9"
"12","11","13","25203","25205","25201","5","10"
"11","12","13","25203","25205","25201","5","11"
"12","12","13","25203","25205","25201","5","12"
"13","13","15","25203","25205","25201","5","13"
"13","14","15","25203","25205","25201","5","14"
"14","13","15","25203","25205","25201","5","15"
"14","6","0","25205","0","25203","6","1"
"14","6","0","25205","0","25203","6","2"
"14","6","0","25205","0","25203","6","3"
"6","3","16","25203","25205","25201","6","4"
"6","3","16","25203","25205","25201","6","5"
"6","3","16","25203","25205","25201","6","6"
"8","4","18","25203","25205","25201","6","7"
"8","4","18","25203","25205","25201","6","8"
"8","4","18","25203","25205","25201","6","9"
"10","5","20","25203","25205","25201","6","10"
"10","5","20","25203","25205","25201","6","11"
"10","5","20","25203","25205","25201","6","12"
"12","6","22","25203","25205","25201","6","13"
"12","6","22","25203","25205","25201","6","14"
"12","6","22","25203","25205","25201","6","15"
"14","6","0","25205","0","25203","7","1"
"14","6","0","25205","0","25203","7","2"
"14","6","0","25205","0","25203","7","3"
"6","3","16","25203","25205","25201","7","4"
"6","3","16","25203","25205","25201","7","5"
"6","3","16","25203","25205","25201","7","6"
"8","4","18","25203","25205","25201","7","7"
"8","4","18","25203","25205","25201","7","8"
"8","4","18","25203","25205","25201","7","9"
"10","5","20","25203","25205","25201","7","10"
"10","5","20","25203","25205","25201","7","11"
"10","5","20","25203","25205","25201","7","12"
"12","6","22","25203","25205","25201","7","13"
"12","6","22","25203","25205","25201","7","14"
"12","6","22","25203","25205","25201","7","15"
"7","6","8","25203","25205","25201","8","1"
"6","7","8","25203","25205","25201","8","2"
"7","7","8","25203","25205","25201","8","3"
"8","8","10","25203","25205","25201","8","4"
"9","8","10","25203","25205","25201","8","5"
"8","9","10","25203","25205","25201","8","6"
"10","10","11","25203","25205","25201","8","7"
"10","10","11","25203","25205","25201","8","8"
"10","10","11","25203","25205","25201","8","9"
"12","11","13","25203","25205","25201","8","10"
"11","12","13","25203","25205","25201","8","11"
"12","12","13","25203","25205","25201","8","12"
"13","13","15","25203","25205","25201","8","13"
"13","14","15","25203","25205","25201","8","14"
"14","13","15","25203","25205","25201","8","15"
