8089ca75f7fd7dc23ae0d17223fef7560aaef83341e291e02334a7af2d14d08c,9919acbf69cc5eab73b7489d37368933dfcee09876662c496bf4ae397a46198b,633e2f058d419139d8a0f3f8546c4b802dbc345517b1e0e307fc5fd7900c267f,6286e44ca5c15e35caecfbf1baead38302d2b6aab5562f15c680a534da4d9ec6,880fd074522d30607dda1a1ced3b25776f3b8a800fc7483b7f99b5522de75ef6,494044e94d34d70fc13c1039b2d559963197947fc741bdb6ec8bc90776a9e31d
"2000102","2000101","20001201","20001","20001115","0"
"2000103","2000102","0","20001","0","2000101"
"0","2000103","0","20001","0","2000102"
"2000202","2000201","20002201","20002","20002115","0"
"2000203","2000202","0","20002","0","2000201"
"0","2000203","0","20002","0","2000202"
"2000302","2000301","20003201","20003","20003115","0"
"2000303","2000302","0","20003","0","2000301"
"0","2000303","0","20003","0","2000302"
"2000402","2000401","20004201","20004","20004115","0"
"2000403","2000402","0","20004","0","2000401"
"0","2000403","0","20004","0","2000402"
"2000502","2000501","20005201","20005","20005115","0"
"2000503","2000502","0","20005","0","2000501"
"0","2000503","0","20005","0","2000502"
"2000602","2000601","20006201","20006","20006115","0"
"2000603","2000602","0","20006","0","2000601"
"0","2000603","0","20006","0","2000602"
"2000702","2000701","20007201","20007","20007115","0"
"2000703","2000702","0","20007","0","2000701"
"0","2000703","0","20007","0","2000702"
"2000802","2000801","20008201","20008","20008115","0"
"2000803","2000802","0","20008","0","2000801"
"0","2000803","0","20008","0","2000802"
"2000902","2000901","20009201","20009","20009115","0"
"2000903","2000902","0","20009","0","2000901"
"0","2000903","0","20009","0","2000902"
"2001002","2001001","20010201","20010","20010115","0"
"2001003","2001002","0","20010","0","2001001"
"0","2001003","0","20010","0","2001002"
"2001102","2001101","20011201","20011","20011115","0"
"2001103","2001102","0","20011","0","2001101"
"0","2001103","0","20011","0","2001102"
"2001202","2001201","20012201","20012","20012115","0"
"2001203","2001202","0","20012","0","2001201"
"0","2001203","0","20012","0","2001202"
"2001302","2001301","20013201","20013","20013115","0"
"2001303","2001302","0","20013","0","2001301"
"0","2001303","0","20013","0","2001302"
"2001402","2001401","20014201","20014","20014115","0"
"2001403","2001402","0","20014","0","2001401"
"0","2001403","0","20014","0","2001402"
"2001502","2001501","20015201","20015","20015115","0"
"2001503","2001502","0","20015","0","2001501"
"0","2001503","0","20015","0","2001502"
"2001602","2001601","20016201","20016","20016115","0"
"2001603","2001602","0","20016","0","2001601"
"0","2001603","0","20016","0","2001602"
"2001702","2001701","20017201","20017","20017115","0"
"2001703","2001702","0","20017","0","2001701"
"0","2001703","0","20017","0","2001702"
"2001802","2001801","20018201","20018","20018115","0"
"2001803","2001802","0","20018","0","2001801"
"0","2001803","0","20018","0","2001802"
"2001902","2001901","20019201","20019","20019115","0"
"2001903","2001902","0","20019","0","2001901"
"0","2001903","0","20019","0","2001902"
"2002002","2002001","20020201","20020","20020115","0"
"2002003","2002002","0","20020","0","2002001"
"0","2002003","0","20020","0","2002002"
"2002102","2002101","20021201","20021","20021115","0"
"2002103","2002102","0","20021","0","2002101"
"0","2002103","0","20021","0","2002102"
"2002202","2002201","20022201","20022","20022115","0"
"2002203","2002202","0","20022","0","2002201"
"0","2002203","0","20022","0","2002202"
"2002302","2002301","20023201","20023","20023115","0"
"2002303","2002302","0","20023","0","2002301"
"0","2002303","0","20023","0","2002302"
"2002402","2002401","20024201","20024","20024115","0"
"2002403","2002402","0","20024","0","2002401"
"0","2002403","0","20024","0","2002402"
"2002502","2002501","20025201","20025","20025115","0"
"2002503","2002502","0","20025","0","2002501"
"0","2002503","0","20025","0","2002502"
"2002602","2002601","20026201","20026","20026115","0"
"2002603","2002602","0","20026","0","2002601"
"0","2002603","0","20026","0","2002602"
"2002702","2002701","20027201","20027","20027115","0"
"2002703","2002702","0","20027","0","2002701"
"0","2002703","0","20027","0","2002702"
"2002802","2002801","20028201","20028","20028115","0"
"2002803","2002802","0","20028","0","2002801"
"0","2002803","0","20028","0","2002802"
"2002902","2002901","20029201","20029","20029115","0"
"2002903","2002902","0","20029","0","2002901"
"0","2002903","0","20029","0","2002902"
"2003002","2003001","20030201","20030","20030115","0"
"2003003","2003002","0","20030","0","2003001"
"0","2003003","0","20030","0","2003002"
"2003102","2003101","20031201","20031","20031115","0"
"2003103","2003102","0","20031","0","2003101"
"0","2003103","0","20031","0","2003102"
"2003202","2003201","20032201","20032","20032115","0"
"2003203","2003202","0","20032","0","2003201"
"0","2003203","0","20032","0","2003202"
"2003302","2003301","20033201","20033","20033115","0"
"2003303","2003302","0","20033","0","2003301"
"0","2003303","0","20033","0","2003302"
"2003402","2003401","20034201","20034","20034115","0"
"2003403","2003402","0","20034","0","2003401"
"0","2003403","0","20034","0","2003402"
"2003502","2003501","20035201","20035","20035115","0"
"2003503","2003502","0","20035","0","2003501"
"0","2003503","0","20035","0","2003502"
"2003602","2003601","20036201","20036","20036115","0"
"2003603","2003602","0","20036","0","2003601"
"0","2003603","0","20036","0","2003602"
"2003702","2003701","20037201","20037","20037115","0"
"2003703","2003702","0","20037","0","2003701"
"0","2003703","0","20037","0","2003702"
"2003802","2003801","20038201","20038","20038115","0"
"2003803","2003802","0","20038","0","2003801"
"0","2003803","0","20038","0","2003802"
"2003902","2003901","20039201","20039","20039115","0"
"2003903","2003902","0","20039","0","2003901"
"0","2003903","0","20039","0","2003902"
"2004002","2004001","20040201","20040","20040115","0"
"2004003","2004002","0","20040","0","2004001"
"0","2004003","0","20040","0","2004002"
"2004102","2004101","20041201","20041","20041115","0"
"2004103","2004102","0","20041","0","2004101"
"0","2004103","0","20041","0","2004102"
"2004202","2004201","20042201","20042","20042115","0"
"2004203","2004202","0","20042","0","2004201"
"0","2004203","0","20042","0","2004202"
"2004302","2004301","20043201","20043","20043115","0"
"2004303","2004302","0","20043","0","2004301"
"0","2004303","0","20043","0","2004302"
"2004402","2004401","20044201","20044","20044115","0"
"2004403","2004402","0","20044","0","2004401"
"0","2004403","0","20044","0","2004402"
"2004502","2004501","20045201","20045","20045115","0"
"2004503","2004502","0","20045","0","2004501"
"0","2004503","0","20045","0","2004502"
"2004602","2004601","20046201","20046","20046115","0"
"2004603","2004602","0","20046","0","2004601"
"0","2004603","0","20046","0","2004602"
"2004702","2004701","20047201","20047","20047115","0"
"2004703","2004702","0","20047","0","2004701"
"0","2004703","0","20047","0","2004702"
