39f92335d300fe280f17b41e317d93f6d7c96c1b33db27adfb4e6c0e059552fd,1c2284b7e827a463ac3ce4b77ed9e562a500621fcd1712b1e5e28e886f054eeb,b16e1854975762bf020175ca828c30805d50239ce59bbaa7b1bcf2b1bc10ffce
"31012","20001","31038"
"31020","20002","31004"
"31010","20003","31017"
"31076","20004","31028"
"31080","20005","31032"
"31047","20006","31034"
"31082","20007","31022"
"31009","20008","31051"
"31085","20009","31029"
"31089","20010","31002"
"31090","20011","31011"
"31043","20012","31008"
"31093","20013","31018"
"31053","20014","31045"
"31101","20015","31050"
"31105","20016","31014"
"31056","20017","31040"
"31112","20018","31036"
"31037","20019","31005"
"31116","20020","31044"
"31121","20021","31021"
"31123","20022","31049"
"31107","20023","31046"
"31028","20024","31033"
"31130","20025","31065"
"31132","20026","31027"
"31135","20027","31023"
"31016","20028","31013"
"31141","20029","31054"
"31014","20030","31037"
"31146","20031","31048"
"31147","20032","31060"
"31156","20033","31003"
"31156","20034","31003"
"31158","20035","31010"
"31032","20036","31031"
"31065","20037","31015"
"31168","20038","31040"
"31018","20039","31050"
"31174","20040","31109"
"31096","20041","31051"
"31178","20042","31047"
"31053","20043","31055"
"31192","20044","31006"
"31208","20045","31044"
"31059","20046","31060"
"31212","20047","31058"
"31128","20048","31026"
"31065","20049","31046"
"31014","20050","31031"
"31221","20051","31034"
"31224","20052","31002"
"31228","20053","31036"
"31010","20054","31023"
"31235","20055","31013"
"31037","20056","31005"
"31241","20057","31047"
"31247","20058","31066"
"31249","20059","31029"
"31249","20060","31042"
"31053","20061","31046"
"31012","20062","31038"
