36525803e68b4b5d7cda618a13b151255b2081c8e24ebe4b41b4f500a3cd9a8b,bb1eaea8216c2aa0747eb94591d5bc7f73650ea5d01097e004d79cda19673779,6dd2c430fea4d68a95558e18d4544a72035a60d0601b35bb157a28276b581a93,4b9ac9cd59159c3f62e25495d4c9005b57ee8a28dcf4c05acfd618c93a39f790,4fd5a3b252cf2ba708f306752e3ff1e8d5c8c18ca4a1a883301a4795d7cd0e4e
"1001","0","1","0","1"
"1002","0","2","0","1"
"1003","0","3","0","1"
"1004","0","4","0","1"
"2001","0","1","0","2"
"2002","0","2","0","2"
"2003","0","3","0","2"
"2004","0","4","0","2"
"2101","0","1","1","2"
"2102","0","2","1","2"
"2103","0","3","1","2"
"2104","0","4","1","2"
"2111","10001","11","2","2"
"2112","10001","12","2","2"
"2113","10001","13","2","2"
"3001","0","1","0","3"
"3002","0","2","0","3"
"3003","0","3","0","3"
"3004","0","4","0","3"
"4001","0","1","0","4"
"4002","0","2","0","4"
"4003","0","3","0","4"
"4004","0","4","0","4"
"4005","0","100","0","4"
"5010","0","10101","1","5"
"5020","1","10201","2","5"
"5021","2","10202","2","5"
"5030","0","10301","3","5"
"5031","1","10301","3","5"
"5040","0","10302","4","5"
"5050","0","10303","5","5"
"5060","0","10304","6","5"
"6001","0","90001","1","6"
"6002","0","90001","2","6"
"6003","1","90001","2","6"
"6006","0","90001","3","6"
"6007","1","91101","3","6"
"6008","2","91201","3","6"
"6009","3","91301","3","6"
"6010","0","90001","4","6"
"6011","1","91101","4","6"
"6012","2","91201","4","6"
"6013","3","91301","4","6"
"6014","0","90001","5","6"
"6015","1","91101","5","6"
"6016","2","91201","5","6"
"6017","3","91301","5","6"
"6018","0","90001","6","6"
"6019","1","91101","6","6"
"6020","2","91201","6","6"
"6021","3","91301","6","6"
"6022","0","92001","7","6"
"6023","1","92101","7","6"
"6024","2","92201","7","6"
"6025","3","92301","7","6"
"6026","4","92401","7","6"
"6027","0","92001","8","6"
"6028","1","92101","8","6"
"6029","2","92201","8","6"
"6030","3","92301","8","6"
"6031","4","92401","8","6"
"6032","0","92001","9","6"
"6033","1","92101","9","6"
"6034","2","92201","9","6"
"6035","3","92301","9","6"
"6036","4","92401","9","6"
"6037","0","90001","10","6"
"6038","1","90101","10","6"
"6039","2","90201","10","6"
"6040","3","90301","10","6"
"6041","4","90401","10","6"
"7000","0","90002","0","7"
"7001","1","90002","0","7"
"7002","2","90003","0","7"
"7003","1","90002","2","7"
"7004","2","90003","2","7"
"7005","1","91102","3","7"
"7006","2","91103","3","7"
"7007","1","91102","4","7"
"7008","2","91103","4","7"
"7009","1","91102","5","7"
"7010","2","91103","5","7"
"7011","1","91102","6","7"
"7012","2","91103","6","7"
"7013","1","92102","7","7"
"7014","2","92103","7","7"
"7015","1","92102","8","7"
"7016","2","92103","8","7"
"7017","1","92102","9","7"
"7018","2","92103","9","7"
"7019","1","90102","10","7"
"7020","2","90103","10","7"
"9001","0","20101","0","9"
"10001","0","20201","0","10"
"10002","0","20202","1","10"
"10180","0","10501","8","101"
"100001","0","1","1","100"
"100002","0","1","2","100"
"100003","0","2","3","100"
"100004","0","2","4","100"
"100005","0","2","5","100"
"100006","0","2","6","100"
"100007","0","3","7","100"
"100008","0","3","8","100"
"100009","0","3","9","100"
"100010","0","1","10","100"
"980001","0","10301","98001","101"
"980002","2","10402","98001","101"
"980011","1","10401","98011","101"
"980012","2","10402","98012","101"
