299e3ce2c08828102b7e4830d3f18a9b2c8e001c275ef4a5fc6929cfbcb0bcd8,cdbe327c3ca6f7ec618d9b8002daef3e1bf8330893a719bf665a606b6303aba4,82dc42d8982a3e4f01fb55207255a119bd910599c4c3f9347e618153b92ce67b,9ad663db6687e579673a88f9df8a8e11627c2951f44a35f281f6515f99c84e4f,28b94934e8ae93334d916f1b7d97870fa362f3b83512105259d8681c34d91cde,d71c32e7d17235b8e3f7534faef01f9b038dec78106c5a3c502de02b47261e65,5504d765b77ae4b7b8962d36cd5b33b56b24f8ce8c4851369267b203b6f3932f,5ad08bfbc7e70b31347a455fdcd93a3df24ef3e0a2a0eaca1841c8bd7c426743
"30050237","3000","0","10050640","0","30050236","0","10050650"
"30050414","3000","0","10050659","0","30050413","0","10050670"
"30050422","3000","0","10050723","30050423","30050421","0","10050735"
"30050425","3000","0","10050818","30050426","30050424","0","10050360"
"30060188","3000","0","10060402","30060189","30060187","30060190","10060413"
"30060192","3000","0","10060480","30060193","30060191","0","10060492"
"30060195","3000","0","10060542","30060196","30060194","30060197","10060545"
"30060209","3000","30060212","10060591","30060210","30060208","30060211","10060606"
"30070187","3000","0","10070608","30070188","30070186","30070189","10070626"
"30070199","3000","30070202","10070914","30070200","30070198","30070201","10070926"
"30070207","3000","30070210","10071038","30070208","30070206","30070209","10071052"
"30070194","3000","0","10071117","30070195","30070193","30070196","10071131"
"30080237","3000","0","10080640","0","30080236","0","10080650"
"30080414","3000","0","10080659","0","30080413","0","10080670"
"30080422","3000","0","10080723","30080423","30080421","0","10080735"
"30080425","3000","0","10080818","30080426","30080424","0","10080360"
"30090188","3000","0","10090402","30090189","30090187","30090190","10090413"
"30090192","3000","0","10090480","30090193","30090191","0","10090492"
"30090195","3000","0","10090542","30090196","30090194","30090197","10090545"
"30090209","3000","30090212","10090591","30090210","30090208","30090211","10090606"
