aa1fdc4524a48093dfaefd423c3f0d7b3f1f35c3fe269448c5745703a377b800,9deafa204258109f2a4b65c8c13d03228f205d347aba6cce8bf57bdf22e76b85,59535a19a0c9e28981d1511a71d27c3282bcae4fac0379d1bd09fcf8402d5438,de85d59df66dcebbea2091dfd01fd5a519788f52f1ec3111422d4a5890e3e78d,13a80a06b7df3f7fc130daf4dc51e326e46d335938d6cba33e094650c9233d8e,3fd982b6602f5dfe20bc78c8785aacc1644ee50d0757440a8f6b1c050cb0703a,f5b66bbaee3599a1900cdab175343da909363706eb5f97fb1df66c41e9acfbdf,a6b8130dec6ff5e14f8c763f9bded1215b9d6cc13ad882c515cf5f97a45b3111
"0","2030/01/01 23:59:59","冒險的啟程","1","0","101001","10000001","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","新手騎士","1","58002001","101002","10101001","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","勇敢的騎士","1","58002002","101003","10101002","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","公主騎士","1","58002003","101004","10101003","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","日和","2","56011001","201001","10201001","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與日和的羈絆","2","56011002","201002","10201002","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","有困難的時候就互相幫助幫助","2","56011003","201003","10201003","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","優衣","2","56011004","201005","10201004","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與優衣的羈絆","2","56011005","201006","10201005","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","又見到你了呢，騎士先生","2","56011006","201007","10201006","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","怜","2","56011007","201009","10201007","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與怜的羈絆","2","56011008","201010","10201008","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","清廉克勤的劍士","2","56011009","201011","10201009","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","禊","2","56011010","201013","10201010","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與禊的羈絆","2","56011011","201014","10201011","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","哥哥，來玩吧！","2","56011012","201015","10201012","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","茉莉","2","56011013","201017","10201013","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與茉莉的羈絆","2","56011014","201018","10201014","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","熱血起來了～！","2","56011015","201019","10201015","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","茜里","2","56011016","201021","10201016","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與茜里的羈絆","2","56011017","201022","10201017","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","甜蜜小惡魔","2","56011018","201023","10201018","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","宮子","2","56011019","201025","10201019","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與宮子的羈絆","2","56011020","201026","10201020","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","把你變成布丁唷～","2","56011021","201027","10201021","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","雪","2","56011022","201029","10201022","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與雪的羈絆","2","56011023","201030","10201023","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","完美無瑕的美麗","2","56011024","201031","10201024","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","杏奈","2","56011025","201033","10201025","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與杏奈的羈絆","2","56011026","201034","10201026","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","疾風之冥姬","2","56011027","201035","10201027","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","真步","2","56011028","201037","10201028","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與真步的羈絆","2","56011029","201038","10201029","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","神奇真步魔法靈咕嚕靈波～","2","56011030","201039","10201030","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","璃乃","2","56011031","201041","10201031","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與璃乃的羈絆","2","56011032","201042","10201032","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","只屬於我的哥哥","2","56011033","201043","10201033","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","初音","2","56011034","201045","10201034","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與初音的羈絆","2","56011035","201046","10201035","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","睡美人","2","56011036","201047","10201036","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","七七香","2","56011037","201049","10201037","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與七七香的羈絆","2","56011038","201050","10201038","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","可愛到爆的超強魔法少女","2","56011039","201051","10201039","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","霞","2","56011040","201053","10201040","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與霞的羈絆","2","56011041","201054","10201041","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","知性的美少女名偵探","2","56011042","201055","10201042","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","美里","2","56011043","201057","10201043","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與美里的羈絆","2","56011044","201058","10201044","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","你看，是媽媽哦～","2","56011045","201059","10201045","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","鈴奈","2","56011046","201061","10201046","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與鈴奈的羈絆","2","56011047","201062","10201047","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","秀才你真的是秀才耶","2","56011048","201063","10201048","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","香織","2","56011049","201065","10201049","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與香織的羈絆","2","56011050","201066","10201050","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","船到橋頭自然直～♪","2","56011051","201067","10201051","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","伊緒","2","56011052","201069","10201052","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與伊緒的羈絆","2","56011053","201070","10201053","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","要開始特別授課囉♪","2","56011054","201071","10201054","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","美美","2","56011055","201073","10201055","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與美美的羈絆","2","56011056","201074","10201056","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","嚕啦啦～嚕啦啦～♪","2","56011057","201075","10201057","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","胡桃","2","56011058","201077","10201058","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與胡桃的羈絆","2","56011059","201078","10201059","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","伴隨著勇氣……！","2","56011060","201079","10201060","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","依里","2","56011061","201081","10201061","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與依里的羈絆","2","56011062","201082","10201062","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","傲嬌的害羞女孩","2","56011063","201083","10201063","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","綾音","2","56011064","201085","10201064","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","與綾音的羈絆","2","56011065","201086","10201065","2018/01/01 15:00:00"
"0","2030/01/01 23:59:59","噗吉全力揮擊","2","56011066","201087","10201066","2018/01/01 15:00:00"
