e494dcf1658347b54cbef8a294122745d4b178fb55ad764319f91e58eb3c9827,78e981ad45931f9fcf23965aa3858d667b552220d2e2bd82b5c33d5440d12d4f,246630f65410760be8c92e5ec637a4f8da6abd425e3cd3f045342cfa23a48103,a4aa9c35356c1c7b37ff1f4de760280b8d5c320585b041419596cc86819bd90e,0a4659af87cc2742b35a607aa62ebd2da5c926ae8a9cba28746197ed5497ca97
"1","0","3030100","0","1"
"1","0","3050100","0","2"
"1","0","3040100","0","3"
"1","0","3020100","0","4"
"1","0","2040100","0","5"
"2","0","2040100","0","5"
"1","0","2020100","0","6"
"2","0","2020100","0","6"
"1","314","1030100","0","7"
"1","0","4030100","0","8"
"1","502","1050100","0","9"
"1","0","4020100","0","10"
"1","0","2030100","0","11"
"2","0","2030100","0","11"
"1","0","3040100","10301010","12"
"1","202","1020100","0","13"
"1","406","1040102","20201010","14"
"1","105","1010200","0","15"
"2","0","2010200","0","15"
"3","0","2010200","0","15"
"1","0","3050200","0","16"
"1","0","3040200","0","17"
"1","0","3020200","0","18"
"1","0","2040200","0","19"
"2","0","2040200","0","19"
"1","0","2020200","0","20"
"2","0","2020200","0","20"
"1","315","1030200","0","21"
"1","205","1020200","0","22"
"1","509","1050200","0","23"
"1","0","4020200","0","24"
"1","0","2030200","0","25"
"2","0","2030200","0","25"
"1","0","4030200","0","26"
"1","0","3020200","10101020","27"
"1","408","1040200","20201020","28"
"1","0","3040200","10101020","29"
"1","0","3010200","10101020","30"
"1","102","1010300","0","31"
"2","0","2010300","0","31"
"3","0","2010300","0","31"
"1","0","3050300","0","32"
"1","0","3040300","0","33"
"1","0","3020300","0","34"
"1","0","2040300","0","35"
"2","0","2040300","0","35"
"1","0","2020300","0","36"
"2","0","2020300","0","36"
"1","306","1030300","0","37"
"1","206","1020300","0","38"
"1","502","1050300","0","39"
"1","0","4020300","0","40"
"1","0","2030300","0","41"
"2","0","2030300","0","41"
"1","0","4030300","0","42"
"1","0","3020300","10101030","43"
"1","406","1040300","20201030","44"
"1","0","3010300","10101050","45"
"1","0","3040300","10101050","46"
"1","0","3030300","10101050","47"
"1","0","3010300","10101050","48"
"1","0","3020300","10101050","49"
"1","112","1010300","30102050","50"
