ce1276411287125306e5ed17b10d24a0c84cb174097a3fc0d2315a0c14bcc784,e9b6b28bb3d9a37117363ed251739a24b844a65f31128bdd830fe0514a9726e6,387da15452096acabd532643f96567707f92d27a295bb98bc018ea8eb80e2128,d333fdb614fc0cef2d2cb0f5e1e9a09cd739c3455ee2fe8f6947600acce63096,7c67e69b0b9699a553aaf88d34a298b9b9b43f28c926f4766f564c5315054821,519aa82045d9310dd4566164915d138e5ed7a8d2457641ae1b1cdc43cc9df6b3,7e3ed0fb4da07fb67e12791463291b81e6969ea1cb87f91a35a8249a5ce82076,d3b20717e9ca41f3fa9fedb4f62664434a588e44f0415372ca61731eaf62975e,78592b8c3c71e2ef87e3e4a1ed11b1940f121e4e3a7d91ff2c9cc02676e7ae04,dc952ebee3bf203e974a51072b04df3191c6eff0b417472e28591bbce9a387e6,ae86d11f39c040cdcb16ab60356004a079b0b9e1f3969de059fb059d03da79a7,39545654ee3a44354f609d366c3dd7aa414b346d0e641b42d6b99b4c8398db7f,02033cb148cf4d09d96b0972eabe590b7595651ad9a88c7ad72703a91241b94c,2c597a789e131a3195c4f9e5e25ba0dc512b65f39a57a10987d8dc4c16f378d1
"bgm_M32","0","0","1","201","bgm_M32","0","20001","0","0","20001101","塔爾格姆地區","0","1"
"bgm_M32","0","0","1","201","bgm_M32","0","20001","0","0","20001201","塔爾格姆地區","0","0"
"bgm_M98","0","0","1","201","bgm_M98_2","0","20002","0","0","20002101","馬席納地區","0","0"
"bgm_M98","0","0","1","201","bgm_M98_2","0","20002","0","0","20002201","馬席納地區","0","0"
"bgm_M106","0","0","1","201","bgm_M106","0","20003","0","0","20003101","蘭德索爾郊外","0","0"
"bgm_M106","0","0","1","201","bgm_M106","0","20003","0","0","20003201","蘭德索爾郊外","0","0"
"bgm_M112","0","0","1","201","bgm_M112","0","20004","0","0","20004101","塔帕斯海灘 周邊","0","0"
"bgm_M112","0","0","1","201","bgm_M112","0","20004","0","0","20004201","塔帕斯海灘 周邊","0","0"
"bgm_M121","0","0","1","201","bgm_M121","0","20005","0","0","20005101","伊爾席翁的孤島","0","0"
"bgm_M121","0","0","1","201","bgm_M121","0","20005","0","0","20005201","伊爾席翁的孤島","0","0"
"bgm_M128","0","0","1","201","bgm_M128","0","20006","85","0","20006101","王城蘭德索爾","0","0"
"bgm_M128","0","0","1","201","bgm_M128","0","20006","0","0","20006201","王城蘭德索爾","0","0"
"bgm_M135","0","0","1","201","bgm_M135","0","20007","0","0","20007101","蘭德索爾郊外","0","1"
